Ses05F_script01_3_F000 :Happiness; ()
Ses05F_script01_3_F001 :Happiness; ()
Ses05F_script01_3_F002 :Happiness; ()
Ses05F_script01_3_F003 :Happiness; ()
Ses05F_script01_3_F004 :Frustration; ()
Ses05F_script01_3_F005 :Frustration; ()
Ses05F_script01_3_F006 :Sadness; ()
Ses05F_script01_3_F007 :Frustration; ()
Ses05F_script01_3_F008 :Frustration; ()
Ses05F_script01_3_F009 :Frustration; ()
Ses05F_script01_3_F010 :Excited; ()
Ses05F_script01_3_F011 :Excited; ()
Ses05F_script01_3_F012 :Excited; ()
Ses05F_script01_3_F013 :Excited; ()
Ses05F_script01_3_F014 :Excited; ()
Ses05F_script01_3_F015 :Happiness; ()
Ses05F_script01_3_F016 :Happiness; ()
Ses05F_script01_3_F017 :Happiness; ()
Ses05F_script01_3_F018 :Happiness; ()
Ses05F_script01_3_F019 :Happiness; ()
Ses05F_script01_3_F020 :Sadness; ()
Ses05F_script01_3_F021 :Sadness; ()
Ses05F_script01_3_F022 :Sadness; ()
Ses05F_script01_3_F023 :Sadness; ()
Ses05F_script01_3_F024 :Sadness; ()
Ses05F_script01_3_F025 :Sadness; ()
Ses05F_script01_3_F026 :Happiness; ()
Ses05F_script01_3_M000 :Excited; ()
Ses05F_script01_3_M001 :Excited; ()
Ses05F_script01_3_M002 :Excited; ()
Ses05F_script01_3_M003 :Excited; ()
Ses05F_script01_3_M004 :Frustration; ()
Ses05F_script01_3_M005 :Frustration; ()
Ses05F_script01_3_M006 :Excited; ()
Ses05F_script01_3_M007 :Frustration; ()
Ses05F_script01_3_M008 :Excited; ()
Ses05F_script01_3_M009 :Excited; ()
Ses05F_script01_3_M010 :Excited; ()
Ses05F_script01_3_M011 :Excited; ()
Ses05F_script01_3_M012 :Excited; ()
Ses05F_script01_3_M013 :Excited; ()
Ses05F_script01_3_M014 :Excited; ()
Ses05F_script01_3_M015 :Excited; ()
Ses05F_script01_3_M016 :Excited; ()
Ses05F_script01_3_M017 :Excited; ()
Ses05F_script01_3_M018 :Excited; ()
Ses05F_script01_3_M019 :Excited; ()
Ses05F_script01_3_M020 :Excited; ()
Ses05F_script01_3_M021 :Frustration; ()
Ses05F_script01_3_M022 :Frustration; ()
Ses05F_script01_3_M023 :Sadness; ()
Ses05F_script01_3_M024 :Sadness; ()
Ses05F_script01_3_M025 :Sadness; ()
Ses05F_script01_3_M026 :Sadness; ()
Ses05F_script01_3_M027 :Sadness; ()
Ses05F_script01_3_M028 :Sadness; ()
Ses05F_script01_3_M029 :Frustration; ()
Ses05F_script01_3_M030 :Sadness; ()
Ses05F_script01_3_M031 :Frustration; ()
Ses05F_script01_3_M032 :Sadness; ()
Ses05F_script01_3_M033 :Sadness; ()
Ses05F_script01_3_M034 :Frustration; ()
Ses05F_script01_3_M035 :Frustration; ()
Ses05F_script01_3_M036 :Frustration; ()
Ses05F_script01_3_M037 :Frustration; ()
Ses05F_script01_3_M038 :Frustration; ()
Ses05F_script01_3_M039 :Excited; ()
Ses05F_script01_3_M040 :Excited; ()
