Ses05F_script03_1_F000 :Neutral state; ()
Ses05F_script03_1_F001 :Neutral state; ()
Ses05F_script03_1_F002 :Neutral state; ()
Ses05F_script03_1_F003 :Neutral state; ()
Ses05F_script03_1_F004 :Neutral state; ()
Ses05F_script03_1_F005 :Excited; ()
Ses05F_script03_1_F006 :Excited; ()
Ses05F_script03_1_F007 :Excited; ()
Ses05F_script03_1_F008 :Neutral state; ()
Ses05F_script03_1_F009 :Neutral state; ()
Ses05F_script03_1_F010 :Neutral state; ()
Ses05F_script03_1_F011 :Neutral state; ()
Ses05F_script03_1_F012 :Neutral state; ()
Ses05F_script03_1_F013 :Neutral state; ()
Ses05F_script03_1_F014 :Neutral state; ()
Ses05F_script03_1_F015 :Neutral state; ()
Ses05F_script03_1_F016 :Neutral state; ()
Ses05F_script03_1_F017 :Neutral state; ()
Ses05F_script03_1_F018 :Neutral state; ()
Ses05F_script03_1_F019 :Neutral state; ()
Ses05F_script03_1_F020 :Neutral state; ()
Ses05F_script03_1_F021 :Neutral state; ()
Ses05F_script03_1_F022 :Disgust; ()
Ses05F_script03_1_F023 :Neutral state; ()
Ses05F_script03_1_F024 :Neutral state; ()
Ses05F_script03_1_F025 :Excited; ()
Ses05F_script03_1_F026 :Excited; :Happiness; ()
Ses05F_script03_1_F027 :Neutral state; ()
Ses05F_script03_1_F028 :Neutral state; ()
Ses05F_script03_1_F029 :Neutral state; ()
Ses05F_script03_1_F030 :Excited; ()
Ses05F_script03_1_F031 :Happiness; ()
Ses05F_script03_1_F032 :Neutral state; ()
Ses05F_script03_1_F033 :Neutral state; ()
Ses05F_script03_1_M000 :Excited; ()
Ses05F_script03_1_M001 :Excited; ()
Ses05F_script03_1_M002 :Excited; ()
Ses05F_script03_1_M003 :Excited; ()
Ses05F_script03_1_M004 :Excited; ()
Ses05F_script03_1_M005 :Excited; ()
Ses05F_script03_1_M006 :Excited; ()
Ses05F_script03_1_M007 :Excited; ()
Ses05F_script03_1_M008 :Excited; :Happiness; ()
Ses05F_script03_1_M009 :Excited; ()
Ses05F_script03_1_M010 :Neutral state; ()
Ses05F_script03_1_M011 :Excited; ()
Ses05F_script03_1_M012 :Excited; :Happiness; ()
Ses05F_script03_1_M013 :Excited; ()
Ses05F_script03_1_M014 :Excited; ()
Ses05F_script03_1_M015 :Excited; ()
Ses05F_script03_1_M016 :Excited; ()
Ses05F_script03_1_M017 :Excited; ()
Ses05F_script03_1_M018 :Excited; ()
Ses05F_script03_1_M019 :Excited; ()
Ses05F_script03_1_M020 :Excited; ()
Ses05F_script03_1_M021 :Excited; ()
Ses05F_script03_1_M022 :Excited; ()
Ses05F_script03_1_M023 :Excited; :Happiness; ()
Ses05F_script03_1_M024 :Excited; ()
Ses05F_script03_1_M025 :Excited; ()
Ses05F_script03_1_M026 :Excited; ()
Ses05F_script03_1_M027 :Excited; ()
Ses05F_script03_1_M028 :Excited; ()
Ses05F_script03_1_M029 :Excited; ()
Ses05F_script03_1_M030 :Neutral state; ()
Ses05F_script03_1_M031 :Excited; ()
Ses05F_script03_1_M032 :Excited; ()
Ses05F_script03_1_M033 :Excited; ()
