Ses05F_impro04_F000 :Sadness; ()
Ses05F_impro04_F001 :Frustration; :Sadness; ()
Ses05F_impro04_F002 :Frustration; ()
Ses05F_impro04_F003 :Frustration; ()
Ses05F_impro04_F004 :Frustration; ()
Ses05F_impro04_F005 :Frustration; ()
Ses05F_impro04_F006 :Anger; ()
Ses05F_impro04_F007 :Anger; ()
Ses05F_impro04_F008 :Anger; ()
Ses05F_impro04_F009 :Frustration; ()
Ses05F_impro04_F010 :Frustration; ()
Ses05F_impro04_F011 :Frustration; ()
Ses05F_impro04_F012 :Frustration; ()
Ses05F_impro04_F013 :Frustration; ()
Ses05F_impro04_F014 :Frustration; ()
Ses05F_impro04_F015 :Sadness; ()
Ses05F_impro04_F016 :Sadness; ()
Ses05F_impro04_F017 :Sadness; ()
Ses05F_impro04_F018 :Sadness; ()
Ses05F_impro04_F019 :Sadness; ()
Ses05F_impro04_F020 :Frustration; ()
Ses05F_impro04_F021 :Frustration; ()
Ses05F_impro04_F022 :Sadness; ()
Ses05F_impro04_F023 :Sadness; ()
Ses05F_impro04_F024 :Frustration; ()
Ses05F_impro04_F025 :Frustration; ()
Ses05F_impro04_F026 :Frustration; ()
Ses05F_impro04_F027 :Frustration; ()
Ses05F_impro04_F028 :Frustration; ()
Ses05F_impro04_F029 :Frustration; ()
Ses05F_impro04_F030 :Frustration; ()
Ses05F_impro04_F031 :Frustration; ()
Ses05F_impro04_F032 :Frustration; ()
Ses05F_impro04_F033 :Frustration; ()
Ses05F_impro04_F034 :Frustration; ()
Ses05F_impro04_F035 :Frustration; ()
Ses05F_impro04_F036 :Frustration; ()
Ses05F_impro04_F037 :Frustration; ()
Ses05F_impro04_F038 :Frustration; ()
Ses05F_impro04_F039 :Frustration; ()
Ses05F_impro04_F040 :Sadness; ()
Ses05F_impro04_F041 :Sadness; ()
Ses05F_impro04_F042 :Sadness; ()
Ses05F_impro04_F043 :Sadness; ()
Ses05F_impro04_F044 :Neutral state; ()
Ses05F_impro04_F045 :Excited; ()
Ses05F_impro04_F046 :Excited; ()
Ses05F_impro04_M000 :Frustration; ()
Ses05F_impro04_M001 :Frustration; ()
Ses05F_impro04_M002 :Frustration; ()
Ses05F_impro04_M003 :Frustration; ()
Ses05F_impro04_M004 :Frustration; ()
Ses05F_impro04_M005 :Frustration; ()
Ses05F_impro04_M006 :Frustration; ()
Ses05F_impro04_M007 :Anger; ()
Ses05F_impro04_M008 :Frustration; ()
Ses05F_impro04_M009 :Frustration; ()
Ses05F_impro04_M010 :Frustration; ()
Ses05F_impro04_M011 :Frustration; ()
Ses05F_impro04_M012 :Frustration; ()
Ses05F_impro04_M013 :Frustration; ()
Ses05F_impro04_M014 :Frustration; ()
Ses05F_impro04_M015 :Frustration; ()
Ses05F_impro04_M016 :Neutral state; ()
Ses05F_impro04_M017 :Neutral state; ()
Ses05F_impro04_M018 :Frustration; ()
Ses05F_impro04_M019 :Frustration; ()
Ses05F_impro04_M020 :Frustration; ()
Ses05F_impro04_M021 :Frustration; ()
Ses05F_impro04_M022 :Frustration; ()
Ses05F_impro04_M023 :Frustration; ()
Ses05F_impro04_M024 :Frustration; ()
Ses05F_impro04_M025 :Frustration; ()
Ses05F_impro04_M026 :Frustration; ()
Ses05F_impro04_M027 :Frustration; ()
Ses05F_impro04_M028 :Neutral state; ()
Ses05F_impro04_M029 :Neutral state; ()
Ses05F_impro04_M030 :Neutral state; ()
Ses05F_impro04_M031 :Neutral state; ()
Ses05F_impro04_M032 :Frustration; ()
Ses05F_impro04_M033 :Frustration; ()
Ses05F_impro04_M034 :Frustration; ()
Ses05F_impro04_M035 :Frustration; ()
Ses05F_impro04_M036 :Frustration; ()
Ses05F_impro04_M037 :Frustration; ()
Ses05F_impro04_M038 :Neutral state; ()
Ses05F_impro04_M039 :Neutral state; ()
Ses05F_impro04_M040 :Neutral state; ()
Ses05F_impro04_M041 :Neutral state; ()
Ses05F_impro04_M042 :Neutral state; ()
Ses05F_impro04_M043 :Neutral state; ()
