Ses05F_script03_2_F000 :Frustration; ()
Ses05F_script03_2_F001 :Frustration; ()
Ses05F_script03_2_F002 :Frustration; ()
Ses05F_script03_2_F003 :Frustration; ()
Ses05F_script03_2_F004 :Frustration; :Excited; ()
Ses05F_script03_2_F005 :Frustration; ()
Ses05F_script03_2_F006 :Frustration; ()
Ses05F_script03_2_F007 :Frustration; ()
Ses05F_script03_2_F008 :Frustration; ()
Ses05F_script03_2_F009 :Frustration; ()
Ses05F_script03_2_F010 :Frustration; ()
Ses05F_script03_2_F011 :Frustration; ()
Ses05F_script03_2_F012 :Frustration; ()
Ses05F_script03_2_F013 :Frustration; ()
Ses05F_script03_2_F014 :Frustration; ()
Ses05F_script03_2_F015 :Frustration; ()
Ses05F_script03_2_F016 :Frustration; ()
Ses05F_script03_2_F017 :Anger; ()
Ses05F_script03_2_F018 :Anger; ()
Ses05F_script03_2_F019 :Anger; ()
Ses05F_script03_2_F020 :Anger; ()
Ses05F_script03_2_F021 :Anger; ()
Ses05F_script03_2_F022 :Anger; ()
Ses05F_script03_2_F023 :Anger; ()
Ses05F_script03_2_F024 :Anger; ()
Ses05F_script03_2_F025 :Frustration; ()
Ses05F_script03_2_F026 :Anger; ()
Ses05F_script03_2_F027 :Anger; ()
Ses05F_script03_2_F028 :Anger; ()
Ses05F_script03_2_F029 :Anger; ()
Ses05F_script03_2_F030 :Anger; ()
Ses05F_script03_2_F031 :Anger; ()
Ses05F_script03_2_F032 :Anger; ()
Ses05F_script03_2_F033 :Anger; ()
Ses05F_script03_2_F034 :Anger; ()
Ses05F_script03_2_F035 :Anger; ()
Ses05F_script03_2_F036 :Anger; ()
Ses05F_script03_2_F037 :Anger; ()
Ses05F_script03_2_F038 :Anger; ()
Ses05F_script03_2_F039 :Anger; ()
Ses05F_script03_2_F040 :Anger; ()
Ses05F_script03_2_F041 :Anger; ()
Ses05F_script03_2_M000 :Frustration; ()
Ses05F_script03_2_M001 :Frustration; ()
Ses05F_script03_2_M002 :Frustration; ()
Ses05F_script03_2_M003 :Frustration; ()
Ses05F_script03_2_M004 :Anger; ()
Ses05F_script03_2_M005 :Anger; ()
Ses05F_script03_2_M006 :Frustration; ()
Ses05F_script03_2_M007 :Anger; ()
Ses05F_script03_2_M008 :Anger; ()
Ses05F_script03_2_M009 :Frustration; ()
Ses05F_script03_2_M010 :Frustration; ()
Ses05F_script03_2_M011 :Frustration; ()
Ses05F_script03_2_M012 :Frustration; ()
Ses05F_script03_2_M013 :Frustration; :Anger; ()
Ses05F_script03_2_M014 :Anger; ()
Ses05F_script03_2_M015 :Frustration; ()
Ses05F_script03_2_M016 :Anger; ()
Ses05F_script03_2_M017 :Frustration; ()
Ses05F_script03_2_M018 :Frustration; ()
Ses05F_script03_2_M019 :Anger; ()
Ses05F_script03_2_M020 :Frustration; ()
Ses05F_script03_2_M021 :Frustration; ()
Ses05F_script03_2_M022 :Anger; ()
Ses05F_script03_2_M023 :Frustration; ()
Ses05F_script03_2_M024 :Anger; ()
Ses05F_script03_2_M025 :Anger; ()
Ses05F_script03_2_M026 :Anger; ()
Ses05F_script03_2_M027 :Frustration; ()
Ses05F_script03_2_M028 :Frustration; ()
Ses05F_script03_2_M029 :Frustration; ()
Ses05F_script03_2_M030 :Frustration; ()
Ses05F_script03_2_M031 :Frustration; ()
Ses05F_script03_2_M032 :Frustration; ()
Ses05F_script03_2_M033 :Frustration; ()
Ses05F_script03_2_M034 :Frustration; ()
Ses05F_script03_2_M035 :Frustration; ()
Ses05F_script03_2_M036 :Frustration; ()
Ses05F_script03_2_M037 :Anger; ()
Ses05F_script03_2_M038 :Anger; ()
Ses05F_script03_2_M039 :Anger; ()
Ses05F_script03_2_M040 :Anger; ()
Ses05F_script03_2_M041 :Anger; ()
Ses05F_script03_2_M042 :Anger; ()
Ses05F_script03_2_M043 :Anger; ()
