Ses05M_script01_1b_F000 :Sadness; ()
Ses05M_script01_1b_F001 :Surprise; ()
Ses05M_script01_1b_F002 :Sadness; ()
Ses05M_script01_1b_F003 :Sadness; :Surprise; ()
Ses05M_script01_1b_F004 :Sadness; ()
Ses05M_script01_1b_F005 :Sadness; ()
Ses05M_script01_1b_F006 :Surprise; ()
Ses05M_script01_1b_F007 :Surprise; ()
Ses05M_script01_1b_F008 :Surprise; ()
Ses05M_script01_1b_F009 :Anger; ()
Ses05M_script01_1b_F010 :Sadness; ()
Ses05M_script01_1b_F011 :Sadness; ()
Ses05M_script01_1b_F012 :Anger; ()
Ses05M_script01_1b_F013 :Sadness; ()
Ses05M_script01_1b_F014 :Sadness; ()
Ses05M_script01_1b_F015 :Sadness; ()
Ses05M_script01_1b_F016 :Anger; ()
Ses05M_script01_1b_F017 :Sadness; ()
Ses05M_script01_1b_F018 :Anger; ()
Ses05M_script01_1b_F019 :Anger; ()
Ses05M_script01_1b_F020 :Sadness; ()
Ses05M_script01_1b_F021 :Sadness; ()
Ses05M_script01_1b_F022 :Neutral state; ()
Ses05M_script01_1b_F023 :Sadness; ()
Ses05M_script01_1b_F024 :Neutral state; ()
Ses05M_script01_1b_F025 :Anger; ()
Ses05M_script01_1b_F026 :Neutral state; ()
Ses05M_script01_1b_F027 :Sadness; :Anger; ()
Ses05M_script01_1b_F028 :Sadness; ()
Ses05M_script01_1b_F029 :Sadness; ()
Ses05M_script01_1b_F030 :Surprise; ()
Ses05M_script01_1b_F031 :Surprise; ()
Ses05M_script01_1b_F032 :Surprise; ()
Ses05M_script01_1b_F033 :Anger; ()
Ses05M_script01_1b_F034 :Anger; ()
Ses05M_script01_1b_F035 :Anger; ()
Ses05M_script01_1b_F036 :Anger; ()
Ses05M_script01_1b_F037 :Sadness; ()
Ses05M_script01_1b_F038 :Anger; ()
Ses05M_script01_1b_M000 :Sadness; ()
Ses05M_script01_1b_M001 :Sadness; ()
Ses05M_script01_1b_M002 :Sadness; ()
Ses05M_script01_1b_M003 :Sadness; ()
Ses05M_script01_1b_M004 :Sadness; ()
Ses05M_script01_1b_M005 :Sadness; ()
Ses05M_script01_1b_M006 :Sadness; ()
Ses05M_script01_1b_M007 :Sadness; ()
Ses05M_script01_1b_M008 :Frustration; ()
Ses05M_script01_1b_M009 :Frustration; ()
Ses05M_script01_1b_M010 :Frustration; ()
Ses05M_script01_1b_M011 :Sadness; ()
Ses05M_script01_1b_M012 :Frustration; ()
Ses05M_script01_1b_M013 :Sadness; ()
Ses05M_script01_1b_M014 :Sadness; ()
Ses05M_script01_1b_M015 :Sadness; ()
Ses05M_script01_1b_M016 :Frustration; ()
Ses05M_script01_1b_M017 :Anger; ()
Ses05M_script01_1b_M018 :Frustration; ()
Ses05M_script01_1b_M019 :Anger; ()
Ses05M_script01_1b_M020 :Anger; ()
Ses05M_script01_1b_M021 :Frustration; ()
Ses05M_script01_1b_M022 :Anger; ()
Ses05M_script01_1b_M023 :Sadness; ()
Ses05M_script01_1b_M024 :Sadness; ()
Ses05M_script01_1b_M025 :Anger; ()
Ses05M_script01_1b_M026 :Anger; ()
Ses05M_script01_1b_M027 :Frustration; ()
Ses05M_script01_1b_M028 :Frustration; ()
Ses05M_script01_1b_M029 :Frustration; ()
Ses05M_script01_1b_M030 :Anger; ()
Ses05M_script01_1b_M031 :Anger; ()
Ses05M_script01_1b_M032 :Anger; ()
Ses05M_script01_1b_M033 :Anger; ()
Ses05M_script01_1b_M034 :Anger; ()
Ses05M_script01_1b_M035 :Anger; ()
Ses05M_script01_1b_M036 :Anger; ()
Ses05M_script01_1b_M037 :Anger; ()
Ses05M_script01_1b_M038 :Anger; ()
Ses05M_script01_1b_M039 :Frustration; ()
Ses05M_script01_1b_M040 :Anger; ()
Ses05M_script01_1b_M041 :Anger; ()
