Ses05M_impro08_F000 :Frustration; ()
Ses05M_impro08_F001 :Frustration; ()
Ses05M_impro08_F002 :Frustration; ()
Ses05M_impro08_F003 :Frustration; ()
Ses05M_impro08_F004 :Frustration; ()
Ses05M_impro08_F005 :Frustration; ()
Ses05M_impro08_F006 :Frustration; ()
Ses05M_impro08_F007 :Frustration; ()
Ses05M_impro08_F008 :Neutral state; ()
Ses05M_impro08_F009 :Frustration; ()
Ses05M_impro08_F010 :Frustration; ()
Ses05M_impro08_F011 :Frustration; ()
Ses05M_impro08_F012 :Frustration; ()
Ses05M_impro08_F013 :Frustration; ()
Ses05M_impro08_F014 :Frustration; ()
Ses05M_impro08_F015 :Neutral state; ()
Ses05M_impro08_F016 :Neutral state; ()
Ses05M_impro08_F017 :Neutral state; ()
Ses05M_impro08_F018 :Neutral state; ()
Ses05M_impro08_F019 :Neutral state; ()
Ses05M_impro08_F020 :Neutral state; ()
Ses05M_impro08_F021 :Neutral state; ()
Ses05M_impro08_F022 :Excited; ()
Ses05M_impro08_F023 :Frustration; ()
Ses05M_impro08_F024 :Frustration; ()
Ses05M_impro08_F025 :Happiness; ()
Ses05M_impro08_F026 :Happiness; ()
Ses05M_impro08_F027 :Excited; ()
Ses05M_impro08_F028 :Excited; ()
Ses05M_impro08_M000 :Neutral state; ()
Ses05M_impro08_M001 :Neutral state; ()
Ses05M_impro08_M002 :Neutral state; ()
Ses05M_impro08_M003 :Neutral state; ()
Ses05M_impro08_M004 :Neutral state; ()
Ses05M_impro08_M005 :Neutral state; ()
Ses05M_impro08_M006 :Neutral state; ()
Ses05M_impro08_M007 :Neutral state; ()
Ses05M_impro08_M008 :Neutral state; ()
Ses05M_impro08_M009 :Neutral state; ()
Ses05M_impro08_M010 :Neutral state; ()
Ses05M_impro08_M011 :Neutral state; ()
Ses05M_impro08_M012 :Neutral state; ()
Ses05M_impro08_M013 :Neutral state; ()
Ses05M_impro08_M014 :Neutral state; ()
Ses05M_impro08_M015 :Neutral state; ()
Ses05M_impro08_M016 :Neutral state; ()
Ses05M_impro08_M017 :Neutral state; ()
Ses05M_impro08_M018 :Neutral state; ()
Ses05M_impro08_M019 :Neutral state; ()
Ses05M_impro08_M020 :Neutral state; ()
Ses05M_impro08_M021 :Neutral state; ()
Ses05M_impro08_M022 :Excited; ()
Ses05M_impro08_M023 :Excited; ()
Ses05M_impro08_M024 :Excited; ()
Ses05M_impro08_M025 :Excited; ()
Ses05M_impro08_M026 :Happiness; ()
Ses05M_impro08_M027 :Happiness; ()
Ses05M_impro08_M028 :Happiness; ()
