Ses05M_script02_1_F000 :Frustration; :Sadness; ()
Ses05M_script02_1_F001 :Frustration; ()
Ses05M_script02_1_F002 :Frustration; ()
Ses05M_script02_1_F003 :Frustration; ()
Ses05M_script02_1_F004 :Frustration; ()
Ses05M_script02_1_F005 :Sadness; ()
Ses05M_script02_1_F006 :Frustration; ()
Ses05M_script02_1_F007 :Frustration; ()
Ses05M_script02_1_F008 :Frustration; ()
Ses05M_script02_1_F009 :Frustration; ()
Ses05M_script02_1_F010 :Frustration; ()
Ses05M_script02_1_F011 :Sadness; ()
Ses05M_script02_1_F012 :Frustration; ()
Ses05M_script02_1_F013 :Frustration; ()
Ses05M_script02_1_F014 :Frustration; ()
Ses05M_script02_1_F015 :Frustration; ()
Ses05M_script02_1_F016 :Sadness; ()
Ses05M_script02_1_F017 :Sadness; ()
Ses05M_script02_1_F018 :Frustration; ()
Ses05M_script02_1_F019 :Frustration; :Sadness; ()
Ses05M_script02_1_F020 :Sadness; ()
Ses05M_script02_1_M000 :Frustration; ()
Ses05M_script02_1_M001 :Frustration; ()
Ses05M_script02_1_M002 :Frustration; ()
Ses05M_script02_1_M003 :Frustration; ()
Ses05M_script02_1_M004 :Frustration; ()
Ses05M_script02_1_M005 :Excited; ()
Ses05M_script02_1_M006 :Excited; :Frustration; ()
Ses05M_script02_1_M007 :Excited; ()
Ses05M_script02_1_M008 :Excited; ()
Ses05M_script02_1_M009 :Excited; ()
Ses05M_script02_1_M010 :Excited; ()
Ses05M_script02_1_M011 :Frustration; ()
Ses05M_script02_1_M012 :Frustration; ()
Ses05M_script02_1_M013 :Frustration; ()
Ses05M_script02_1_M014 :Frustration; ()
Ses05M_script02_1_M015 :Frustration; ()
Ses05M_script02_1_M016 :Frustration; ()
Ses05M_script02_1_M017 :Frustration; ()
Ses05M_script02_1_M018 :Excited; :Frustration; ()
Ses05M_script02_1_M019 :Excited; ()
Ses05M_script02_1_M020 :Excited; ()
Ses05M_script02_1_M021 :Excited; ()
Ses05M_script02_1_M022 :Excited; ()
Ses05M_script02_1_M023 :Excited; :Frustration; ()
Ses05M_script02_1_M024 :Frustration; ()
Ses05M_script02_1_M025 :Frustration; ()
Ses05M_script02_1_M026 :Excited; ()
Ses05M_script02_1_M027 :Excited; ()
Ses05M_script02_1_M028 :Excited; ()
Ses05M_script02_1_M029 :Excited; ()
Ses05M_script02_1_M030 :Excited; ()
Ses05M_script02_1_M031 :Excited; ()
Ses05M_script02_1_M032 :Excited; ()
Ses05M_script02_1_M033 :Frustration; ()
