Ses05M_script03_1_F000 :Fear; ()
Ses05M_script03_1_F001 :Fear; ()
Ses05M_script03_1_F002 :Fear; ()
Ses05M_script03_1_F003 :Happiness; ()
Ses05M_script03_1_F004 :Happiness; ()
Ses05M_script03_1_F005 :Happiness; ()
Ses05M_script03_1_F006 :Happiness; ()
Ses05M_script03_1_F007 :Happiness; ()
Ses05M_script03_1_F008 :Happiness; ()
Ses05M_script03_1_F009 :Happiness; ()
Ses05M_script03_1_F010 :Happiness; ()
Ses05M_script03_1_F011 :Neutral state; ()
Ses05M_script03_1_F012 :Neutral state; ()
Ses05M_script03_1_F013 :Neutral state; ()
Ses05M_script03_1_F014 :Happiness; ()
Ses05M_script03_1_F015 :Neutral state; ()
Ses05M_script03_1_F016 :Sadness; ()
Ses05M_script03_1_F017 :Neutral state; ()
Ses05M_script03_1_F018 :Sadness; ()
Ses05M_script03_1_F019 :Happiness; ()
Ses05M_script03_1_F020 :Neutral state; ()
Ses05M_script03_1_F021 :Happiness; ()
Ses05M_script03_1_F022 :Happiness; ()
Ses05M_script03_1_F023 :Happiness; ()
Ses05M_script03_1_F024 :Happiness; ()
Ses05M_script03_1_F025 :Happiness; ()
Ses05M_script03_1_F026 :Happiness; ()
Ses05M_script03_1_F027 :Sadness; ()
Ses05M_script03_1_F028 :Happiness; ()
Ses05M_script03_1_F029 :Happiness; ()
Ses05M_script03_1_F030 :Happiness; ()
Ses05M_script03_1_F031 :Neutral state; ()
Ses05M_script03_1_M000 :Happiness; ()
Ses05M_script03_1_M001 :Excited; ()
Ses05M_script03_1_M002 :Fear; ()
Ses05M_script03_1_M003 :Neutral state; ()
Ses05M_script03_1_M004 :Happiness; ()
Ses05M_script03_1_M005 :Frustration; ()
Ses05M_script03_1_M006 :Happiness; ()
Ses05M_script03_1_M007 :Happiness; ()
Ses05M_script03_1_M008 :Happiness; ()
Ses05M_script03_1_M009 :Happiness; ()
Ses05M_script03_1_M010 :Happiness; ()
Ses05M_script03_1_M011 :Happiness; ()
Ses05M_script03_1_M012 :Happiness; ()
Ses05M_script03_1_M013 :Happiness; ()
Ses05M_script03_1_M014 :Happiness; ()
Ses05M_script03_1_M015 :Happiness; ()
Ses05M_script03_1_M016 :Happiness; ()
Ses05M_script03_1_M017 :Happiness; ()
Ses05M_script03_1_M018 :Happiness; ()
Ses05M_script03_1_M019 :Happiness; ()
Ses05M_script03_1_M020 :Happiness; ()
Ses05M_script03_1_M021 :Happiness; ()
Ses05M_script03_1_M022 :Happiness; ()
Ses05M_script03_1_M023 :Happiness; ()
Ses05M_script03_1_M024 :Happiness; ()
Ses05M_script03_1_M025 :Happiness; ()
Ses05M_script03_1_M026 :Happiness; ()
Ses05M_script03_1_M027 :Happiness; ()
Ses05M_script03_1_M028 :Happiness; ()
Ses05M_script03_1_M029 :Happiness; ()
Ses05M_script03_1_M030 :Happiness; ()
Ses05M_script03_1_M031 :Neutral state; ()
Ses05M_script03_1_M032 :Happiness; ()
Ses05M_script03_1_M033 :Happiness; ()
Ses05M_script03_1_M034 :Happiness; ()
