Ses05M_script01_1_F000 :Sadness; ()
Ses05M_script01_1_F001 :Sadness; ()
Ses05M_script01_1_F002 :Surprise; ()
Ses05M_script01_1_F003 :Sadness; ()
Ses05M_script01_1_F004 :Sadness; ()
Ses05M_script01_1_F005 :Sadness; ()
Ses05M_script01_1_F006 :Sadness; ()
Ses05M_script01_1_F007 :Sadness; ()
Ses05M_script01_1_F008 :Surprise; ()
Ses05M_script01_1_F009 :Surprise; ()
Ses05M_script01_1_F010 :Anger; ()
Ses05M_script01_1_F011 :Anger; ()
Ses05M_script01_1_F012 :Neutral state; ()
Ses05M_script01_1_F013 :Sadness; ()
Ses05M_script01_1_F014 :Anger; ()
Ses05M_script01_1_F015 :Sadness; ()
Ses05M_script01_1_F016 :Sadness; ()
Ses05M_script01_1_F017 :Sadness; ()
Ses05M_script01_1_F018 :Anger; ()
Ses05M_script01_1_F019 :Anger; ()
Ses05M_script01_1_F020 :Anger; ()
Ses05M_script01_1_F021 :Anger; ()
Ses05M_script01_1_F022 :Anger; ()
Ses05M_script01_1_F023 :Neutral state; ()
Ses05M_script01_1_F024 :Neutral state; ()
Ses05M_script01_1_F025 :Sadness; ()
Ses05M_script01_1_F026 :Neutral state; ()
Ses05M_script01_1_F027 :Anger; ()
Ses05M_script01_1_F028 :Anger; ()
Ses05M_script01_1_F029 :Frustration; ()
Ses05M_script01_1_F030 :Sadness; ()
Ses05M_script01_1_F031 :Surprise; ()
Ses05M_script01_1_F032 :Surprise; ()
Ses05M_script01_1_F033 :Surprise; ()
Ses05M_script01_1_F034 :Sadness; ()
Ses05M_script01_1_F035 :Anger; ()
Ses05M_script01_1_F036 :Anger; ()
Ses05M_script01_1_F037 :Sadness; ()
Ses05M_script01_1_F038 :Neutral state; ()
Ses05M_script01_1_M000 :Sadness; ()
Ses05M_script01_1_M001 :Sadness; ()
Ses05M_script01_1_M002 :Sadness; ()
Ses05M_script01_1_M003 :Sadness; ()
Ses05M_script01_1_M004 :Sadness; ()
Ses05M_script01_1_M005 :Sadness; ()
Ses05M_script01_1_M006 :Sadness; ()
Ses05M_script01_1_M007 :Sadness; ()
Ses05M_script01_1_M008 :Sadness; ()
Ses05M_script01_1_M009 :Frustration; ()
Ses05M_script01_1_M010 :Anger; ()
Ses05M_script01_1_M011 :Anger; ()
Ses05M_script01_1_M012 :Anger; ()
Ses05M_script01_1_M013 :Anger; ()
Ses05M_script01_1_M014 :Sadness; ()
Ses05M_script01_1_M015 :Frustration; ()
Ses05M_script01_1_M016 :Neutral state; ()
Ses05M_script01_1_M017 :Sadness; ()
Ses05M_script01_1_M018 :Frustration; ()
Ses05M_script01_1_M019 :Anger; ()
Ses05M_script01_1_M020 :Anger; ()
Ses05M_script01_1_M021 :Anger; ()
Ses05M_script01_1_M022 :Anger; ()
Ses05M_script01_1_M023 :Anger; ()
Ses05M_script01_1_M024 :Frustration; ()
Ses05M_script01_1_M025 :Anger; ()
Ses05M_script01_1_M026 :Sadness; ()
Ses05M_script01_1_M027 :Anger; ()
Ses05M_script01_1_M028 :Anger; ()
Ses05M_script01_1_M029 :Anger; ()
Ses05M_script01_1_M030 :Frustration; ()
Ses05M_script01_1_M031 :Sadness; ()
Ses05M_script01_1_M032 :Anger; ()
Ses05M_script01_1_M033 :Anger; ()
Ses05M_script01_1_M034 :Anger; ()
Ses05M_script01_1_M035 :Anger; ()
Ses05M_script01_1_M036 :Anger; ()
Ses05M_script01_1_M037 :Anger; ()
Ses05M_script01_1_M038 :Frustration; ()
Ses05M_script01_1_M039 :Anger; ()
Ses05M_script01_1_M040 :Anger; ()
