Ses05F_script02_1_F000 :Sadness; ()
Ses05F_script02_1_F001 :Frustration; ()
Ses05F_script02_1_F002 :Frustration; ()
Ses05F_script02_1_F003 :Frustration; ()
Ses05F_script02_1_F004 :Frustration; ()
Ses05F_script02_1_F005 :Sadness; ()
Ses05F_script02_1_F006 :Frustration; ()
Ses05F_script02_1_F007 :Sadness; ()
Ses05F_script02_1_F008 :Frustration; ()
Ses05F_script02_1_F009 :Sadness; ()
Ses05F_script02_1_F010 :Frustration; ()
Ses05F_script02_1_F011 :Frustration; ()
Ses05F_script02_1_F012 :Frustration; ()
Ses05F_script02_1_F013 :Frustration; ()
Ses05F_script02_1_F014 :Frustration; ()
Ses05F_script02_1_F015 :Frustration; ()
Ses05F_script02_1_F016 :Sadness; ()
Ses05F_script02_1_F017 :Frustration; ()
Ses05F_script02_1_F018 :Frustration; ()
Ses05F_script02_1_F019 :Frustration; :Sadness; ()
Ses05F_script02_1_M000 :Sadness; ()
Ses05F_script02_1_M001 :Frustration; ()
Ses05F_script02_1_M002 :Frustration; ()
Ses05F_script02_1_M003 :Excited; ()
Ses05F_script02_1_M004 :Frustration; ()
Ses05F_script02_1_M005 :Frustration; ()
Ses05F_script02_1_M006 :Frustration; ()
Ses05F_script02_1_M007 :Frustration; ()
Ses05F_script02_1_M008 :Frustration; ()
Ses05F_script02_1_M009 :Excited; ()
Ses05F_script02_1_M010 :Frustration; ()
Ses05F_script02_1_M011 :Frustration; ()
Ses05F_script02_1_M012 :Excited; ()
Ses05F_script02_1_M013 :Frustration; ()
Ses05F_script02_1_M014 :Excited; ()
Ses05F_script02_1_M015 :Excited; ()
Ses05F_script02_1_M016 :Excited; ()
Ses05F_script02_1_M017 :Frustration; ()
Ses05F_script02_1_M018 :Excited; ()
Ses05F_script02_1_M019 :Excited; ()
Ses05F_script02_1_M020 :Excited; ()
Ses05F_script02_1_M021 :Excited; ()
Ses05F_script02_1_M022 :Excited; ()
Ses05F_script02_1_M023 :Frustration; ()
Ses05F_script02_1_M024 :Frustration; ()
Ses05F_script02_1_M025 :Frustration; ()
Ses05F_script02_1_M026 :Frustration; ()
Ses05F_script02_1_M027 :Frustration; ()
Ses05F_script02_1_M028 :Excited; ()
Ses05F_script02_1_M029 :Excited; ()
Ses05F_script02_1_M030 :Excited; ()
Ses05F_script02_1_M031 :Excited; ()
Ses05F_script02_1_M032 :Excited; ()
Ses05F_script02_1_M033 :Excited; ()
Ses05F_script02_1_M034 :Excited; ()
