Ses05M_impro04_F000 :Frustration; ()
Ses05M_impro04_F001 :Neutral state; ()
Ses05M_impro04_F002 :Neutral state; ()
Ses05M_impro04_F003 :Neutral state; ()
Ses05M_impro04_F004 :Frustration; ()
Ses05M_impro04_F005 :Frustration; ()
Ses05M_impro04_F006 :Neutral state; ()
Ses05M_impro04_F007 :Frustration; ()
Ses05M_impro04_F008 :Neutral state; ()
Ses05M_impro04_F009 :Neutral state; ()
Ses05M_impro04_F010 :Neutral state; ()
Ses05M_impro04_F011 :Neutral state; ()
Ses05M_impro04_F012 :Neutral state; ()
Ses05M_impro04_F013 :Neutral state; ()
Ses05M_impro04_F014 :Neutral state; ()
Ses05M_impro04_F015 :Neutral state; ()
Ses05M_impro04_F016 :Frustration; ()
Ses05M_impro04_F017 :Frustration; ()
Ses05M_impro04_F018 :Frustration; ()
Ses05M_impro04_F019 :Frustration; ()
Ses05M_impro04_F020 :Frustration; ()
Ses05M_impro04_F021 :Frustration; ()
Ses05M_impro04_F022 :Frustration; ()
Ses05M_impro04_F023 :Frustration; ()
Ses05M_impro04_F024 :Frustration; ()
Ses05M_impro04_F025 :Frustration; ()
Ses05M_impro04_F026 :Frustration; ()
Ses05M_impro04_F027 :Neutral state; ()
Ses05M_impro04_F028 :Neutral state; ()
Ses05M_impro04_F029 :Neutral state; ()
Ses05M_impro04_F030 :Neutral state; ()
Ses05M_impro04_F031 :Neutral state; ()
Ses05M_impro04_F032 :Frustration; ()
Ses05M_impro04_F033 :Frustration; ()
Ses05M_impro04_F034 :Neutral state; ()
Ses05M_impro04_F035 :Neutral state; ()
Ses05M_impro04_F036 :Neutral state; ()
Ses05M_impro04_F037 :Neutral state; ()
Ses05M_impro04_F038 :Frustration; ()
Ses05M_impro04_M000 :Frustration; ()
Ses05M_impro04_M001 :Frustration; ()
Ses05M_impro04_M002 :Frustration; ()
Ses05M_impro04_M003 :Frustration; ()
Ses05M_impro04_M004 :Frustration; ()
Ses05M_impro04_M005 :Frustration; ()
Ses05M_impro04_M006 :Frustration; ()
Ses05M_impro04_M007 :Frustration; ()
Ses05M_impro04_M008 :Frustration; ()
Ses05M_impro04_M009 :Frustration; ()
Ses05M_impro04_M010 :Frustration; ()
Ses05M_impro04_M011 :Frustration; ()
Ses05M_impro04_M012 :Frustration; ()
Ses05M_impro04_M013 :Frustration; ()
Ses05M_impro04_M014 :Frustration; ()
Ses05M_impro04_M015 :Frustration; ()
Ses05M_impro04_M016 :Frustration; ()
Ses05M_impro04_M017 :Frustration; ()
Ses05M_impro04_M018 :Anger; ()
Ses05M_impro04_M019 :Anger; ()
Ses05M_impro04_M020 :Anger; ()
Ses05M_impro04_M021 :Anger; ()
Ses05M_impro04_M022 :Frustration; ()
Ses05M_impro04_M023 :Frustration; ()
Ses05M_impro04_M024 :Frustration; ()
Ses05M_impro04_M025 :Frustration; ()
Ses05M_impro04_M026 :Frustration; ()
Ses05M_impro04_M027 :Frustration; ()
Ses05M_impro04_M028 :Frustration; ()
Ses05M_impro04_M029 :Frustration; ()
Ses05M_impro04_M030 :Frustration; ()
Ses05M_impro04_M031 :Frustration; ()
Ses05M_impro04_M032 :Frustration; ()
Ses05M_impro04_M033 :Frustration; ()
Ses05M_impro04_M034 :Frustration; ()
Ses05M_impro04_M035 :Frustration; ()
Ses05M_impro04_M036 :Frustration; :Anger; ()
Ses05M_impro04_M037 :Frustration; ()
Ses05M_impro04_M038 :Anger; ()
Ses05M_impro04_M039 :Anger; ()
Ses05M_impro04_M040 :Anger; ()
Ses05M_impro04_M041 :Sadness; :Anger; ()
