Ses05F_impro05_F000 :Neutral state; ()
Ses05F_impro05_F001 :Neutral state; ()
Ses05F_impro05_F002 :Neutral state; ()
Ses05F_impro05_F003 :Frustration; ()
Ses05F_impro05_F004 :Neutral state; ()
Ses05F_impro05_F005 :Neutral state; ()
Ses05F_impro05_F006 :Neutral state; ()
Ses05F_impro05_F007 :Neutral state; ()
Ses05F_impro05_F008 :Frustration; ()
Ses05F_impro05_F009 :Frustration; ()
Ses05F_impro05_F010 :Neutral state; ()
Ses05F_impro05_F011 :Anger; ()
Ses05F_impro05_F012 :Frustration; ()
Ses05F_impro05_F013 :Frustration; ()
Ses05F_impro05_F014 :Frustration; ()
Ses05F_impro05_F015 :Anger; ()
Ses05F_impro05_F016 :Anger; ()
Ses05F_impro05_F017 :Anger; ()
Ses05F_impro05_F018 :Anger; ()
Ses05F_impro05_F019 :Anger; ()
Ses05F_impro05_F020 :Anger; ()
Ses05F_impro05_F021 :Anger; ()
Ses05F_impro05_F022 :Anger; ()
Ses05F_impro05_F023 :Anger; ()
Ses05F_impro05_F024 :Surprise; :Anger; ()
Ses05F_impro05_F025 :Sadness; ()
Ses05F_impro05_F026 :Anger; ()
Ses05F_impro05_F027 :Anger; ()
Ses05F_impro05_F028 :Anger; ()
Ses05F_impro05_F029 :Anger; ()
Ses05F_impro05_F030 :Frustration; ()
Ses05F_impro05_F031 :Anger; ()
Ses05F_impro05_F032 :Anger; ()
Ses05F_impro05_F033 :Anger; ()
Ses05F_impro05_F034 :Anger; ()
Ses05F_impro05_F035 :Frustration; ()
Ses05F_impro05_F036 :Anger; ()
Ses05F_impro05_F037 :Frustration; ()
Ses05F_impro05_F038 :Anger; ()
Ses05F_impro05_F039 :Anger; ()
Ses05F_impro05_F040 :Anger; ()
Ses05F_impro05_F041 :Anger; ()
Ses05F_impro05_F042 :Anger; ()
Ses05F_impro05_F043 :Anger; ()
Ses05F_impro05_F044 :Anger; ()
Ses05F_impro05_F045 :Anger; ()
Ses05F_impro05_M000 :Neutral state; ()
Ses05F_impro05_M001 :Neutral state; ()
Ses05F_impro05_M002 :Neutral state; ()
Ses05F_impro05_M003 :Neutral state; ()
Ses05F_impro05_M004 :Neutral state; ()
Ses05F_impro05_M005 :Neutral state; ()
Ses05F_impro05_M006 :Neutral state; ()
Ses05F_impro05_M007 :Neutral state; ()
Ses05F_impro05_M008 :Frustration; ()
Ses05F_impro05_M009 :Frustration; ()
Ses05F_impro05_M010 :Frustration; ()
Ses05F_impro05_M011 :Frustration; ()
Ses05F_impro05_M012 :Neutral state; ()
Ses05F_impro05_M013 :Frustration; ()
Ses05F_impro05_M014 :Neutral state; ()
Ses05F_impro05_M015 :Neutral state; ()
Ses05F_impro05_M016 :Neutral state; ()
Ses05F_impro05_M017 :Neutral state; ()
Ses05F_impro05_M018 :Neutral state; ()
Ses05F_impro05_M019 :Neutral state; ()
Ses05F_impro05_M020 :Frustration; ()
Ses05F_impro05_M021 :Frustration; ()
Ses05F_impro05_M022 :Neutral state; ()
Ses05F_impro05_M023 :Neutral state; ()
Ses05F_impro05_M024 :Frustration; ()
Ses05F_impro05_M025 :Neutral state; ()
Ses05F_impro05_M026 :Frustration; ()
Ses05F_impro05_M027 :Frustration; ()
Ses05F_impro05_M028 :Frustration; ()
Ses05F_impro05_M029 :Frustration; ()
Ses05F_impro05_M030 :Neutral state; ()
Ses05F_impro05_M031 :Neutral state; ()
Ses05F_impro05_M032 :Neutral state; ()
Ses05F_impro05_M033 :Neutral state; ()
Ses05F_impro05_M034 :Neutral state; ()
Ses05F_impro05_M035 :Frustration; ()
Ses05F_impro05_M036 :Frustration; ()
Ses05F_impro05_M037 :Neutral state; ()
Ses05F_impro05_M038 :Frustration; ()
Ses05F_impro05_M039 :Frustration; ()
Ses05F_impro05_M040 :Neutral state; ()
Ses05F_impro05_M041 :Frustration; ()
Ses05F_impro05_M042 :Frustration; ()
Ses05F_impro05_M043 :Frustration; ()
Ses05F_impro05_M044 :Frustration; ()
Ses05F_impro05_M045 :Frustration; ()
Ses05F_impro05_M046 :Frustration; ()
Ses05F_impro05_M047 :Frustration; ()
Ses05F_impro05_M048 :Neutral state; ()
Ses05F_impro05_M049 :Frustration; ()
Ses05F_impro05_M050 :Frustration; ()
Ses05F_impro05_M051 :Neutral state; ()
Ses05F_impro05_M052 :Neutral state; ()
Ses05F_impro05_M053 :Neutral state; ()
