Ses05F_impro07_F000 :Happiness; ()
Ses05F_impro07_F001 :Excited; ()
Ses05F_impro07_F002 :Excited; ()
Ses05F_impro07_F003 :Happiness; ()
Ses05F_impro07_F004 :Happiness; ()
Ses05F_impro07_F005 :Happiness; ()
Ses05F_impro07_F006 :Happiness; ()
Ses05F_impro07_F007 :Neutral state; ()
Ses05F_impro07_F008 :Surprise; ()
Ses05F_impro07_F009 :Happiness; ()
Ses05F_impro07_F010 :Happiness; ()
Ses05F_impro07_F011 :Excited; ()
Ses05F_impro07_F012 :Excited; ()
Ses05F_impro07_F013 :Excited; ()
Ses05F_impro07_F014 :Excited; ()
Ses05F_impro07_F015 :Excited; ()
Ses05F_impro07_F016 :Happiness; ()
Ses05F_impro07_F017 :Happiness; ()
Ses05F_impro07_F018 :Happiness; ()
Ses05F_impro07_F019 :Happiness; ()
Ses05F_impro07_F020 :Happiness; ()
Ses05F_impro07_F021 :Excited; ()
Ses05F_impro07_F022 :Happiness; ()
Ses05F_impro07_F023 :Happiness; ()
Ses05F_impro07_F024 :Happiness; ()
Ses05F_impro07_F025 :Happiness; ()
Ses05F_impro07_F026 :Happiness; ()
Ses05F_impro07_F027 :Happiness; ()
Ses05F_impro07_F028 :Happiness; ()
Ses05F_impro07_F029 :Happiness; ()
Ses05F_impro07_F030 :Excited; ()
Ses05F_impro07_F031 :Happiness; ()
Ses05F_impro07_F032 :Happiness; ()
Ses05F_impro07_F033 :Happiness; ()
Ses05F_impro07_F034 :Happiness; ()
Ses05F_impro07_F035 :Happiness; ()
Ses05F_impro07_F036 :Happiness; ()
Ses05F_impro07_F037 :Happiness; ()
Ses05F_impro07_F038 :Excited; ()
Ses05F_impro07_F039 :Excited; ()
Ses05F_impro07_M000 :Happiness; ()
Ses05F_impro07_M001 :Surprise; ()
Ses05F_impro07_M002 :Excited; ()
Ses05F_impro07_M003 :Happiness; ()
Ses05F_impro07_M004 :Happiness; ()
Ses05F_impro07_M005 :Happiness; ()
Ses05F_impro07_M006 :Happiness; ()
Ses05F_impro07_M007 :Happiness; ()
Ses05F_impro07_M008 :Excited; ()
Ses05F_impro07_M009 :Happiness; ()
Ses05F_impro07_M010 :Happiness; ()
Ses05F_impro07_M011 :Happiness; ()
Ses05F_impro07_M012 :Excited; ()
Ses05F_impro07_M013 :Excited; ()
Ses05F_impro07_M014 :Happiness; ()
Ses05F_impro07_M015 :Excited; ()
Ses05F_impro07_M016 :Excited; ()
Ses05F_impro07_M017 :Happiness; ()
Ses05F_impro07_M018 :Happiness; ()
Ses05F_impro07_M019 :Happiness; ()
Ses05F_impro07_M020 :Happiness; ()
Ses05F_impro07_M021 :Happiness; ()
Ses05F_impro07_M022 :Happiness; ()
Ses05F_impro07_M023 :Happiness; ()
Ses05F_impro07_M024 :Excited; ()
Ses05F_impro07_M025 :Excited; ()
Ses05F_impro07_M026 :Excited; ()
Ses05F_impro07_M027 :Happiness; ()
Ses05F_impro07_M028 :Happiness; ()
Ses05F_impro07_M029 :Happiness; ()
Ses05F_impro07_M030 :Happiness; ()
Ses05F_impro07_M031 :Excited; ()
Ses05F_impro07_M032 :Happiness; ()
Ses05F_impro07_M033 :Happiness; ()
Ses05F_impro07_M034 :Happiness; ()
Ses05F_impro07_M035 :Happiness; ()
Ses05F_impro07_M036 :Excited; ()
