Ses03F_script03_2_F000 :Frustration; ()
Ses03F_script03_2_F001 :Excited; ()
Ses03F_script03_2_F002 :Frustration; ()
Ses03F_script03_2_F003 :Frustration; ()
Ses03F_script03_2_F004 :Frustration; ()
Ses03F_script03_2_F005 :Frustration; ()
Ses03F_script03_2_F006 :Frustration; ()
Ses03F_script03_2_F007 :Frustration; ()
Ses03F_script03_2_F008 :Frustration; ()
Ses03F_script03_2_F009 :Frustration; ()
Ses03F_script03_2_F010 :Frustration; ()
Ses03F_script03_2_F011 :Frustration; ()
Ses03F_script03_2_F012 :Frustration; ()
Ses03F_script03_2_F013 :Frustration; ()
Ses03F_script03_2_F014 :Frustration; ()
Ses03F_script03_2_F015 :Anger; ()
Ses03F_script03_2_F016 :Frustration; ()
Ses03F_script03_2_F017 :Frustration; ()
Ses03F_script03_2_F018 :Anger; ()
Ses03F_script03_2_F019 :Anger; ()
Ses03F_script03_2_F020 :Frustration; ()
Ses03F_script03_2_F021 :Frustration; ()
Ses03F_script03_2_F022 :Frustration; ()
Ses03F_script03_2_F023 :Anger; ()
Ses03F_script03_2_F024 :Frustration; ()
Ses03F_script03_2_F025 :Frustration; ()
Ses03F_script03_2_F026 :Anger; ()
Ses03F_script03_2_F027 :Frustration; ()
Ses03F_script03_2_F028 :Frustration; ()
Ses03F_script03_2_F029 :Frustration; ()
Ses03F_script03_2_F030 :Frustration; ()
Ses03F_script03_2_F031 :Frustration; ()
Ses03F_script03_2_F032 :Frustration; ()
Ses03F_script03_2_F033 :Frustration; ()
Ses03F_script03_2_F034 :Frustration; ()
Ses03F_script03_2_F035 :Anger; ()
Ses03F_script03_2_F036 :Anger; ()
Ses03F_script03_2_F037 :Anger; ()
Ses03F_script03_2_F038 :Anger; ()
Ses03F_script03_2_F039 :Anger; ()
Ses03F_script03_2_F040 :Anger; ()
Ses03F_script03_2_F041 :Anger; ()
Ses03F_script03_2_F042 :Anger; ()
Ses03F_script03_2_F043 :Anger; ()
Ses03F_script03_2_M000 :Anger; ()
Ses03F_script03_2_M001 :Anger; ()
Ses03F_script03_2_M002 :Anger; ()
Ses03F_script03_2_M003 :Frustration; ()
Ses03F_script03_2_M004 :Frustration; ()
Ses03F_script03_2_M005 :Anger; ()
Ses03F_script03_2_M006 :Anger; ()
Ses03F_script03_2_M007 :Anger; ()
Ses03F_script03_2_M008 :Anger; ()
Ses03F_script03_2_M009 :Frustration; ()
Ses03F_script03_2_M010 :Frustration; ()
Ses03F_script03_2_M011 :Frustration; :Sadness; ()
Ses03F_script03_2_M012 :Frustration; :Sadness; ()
Ses03F_script03_2_M013 :Frustration; ()
Ses03F_script03_2_M014 :Anger; ()
Ses03F_script03_2_M015 :Anger; ()
Ses03F_script03_2_M016 :Anger; ()
Ses03F_script03_2_M017 :Anger; ()
Ses03F_script03_2_M018 :Frustration; ()
Ses03F_script03_2_M019 :Frustration; ()
Ses03F_script03_2_M020 :Anger; ()
Ses03F_script03_2_M021 :Frustration; ()
Ses03F_script03_2_M022 :Frustration; ()
Ses03F_script03_2_M023 :Frustration; ()
Ses03F_script03_2_M024 :Anger; ()
Ses03F_script03_2_M025 :Anger; ()
Ses03F_script03_2_M026 :Anger; ()
Ses03F_script03_2_M027 :Anger; ()
Ses03F_script03_2_M028 :Anger; ()
Ses03F_script03_2_M029 :Anger; ()
Ses03F_script03_2_M030 :Anger; ()
Ses03F_script03_2_M031 :Frustration; ()
Ses03F_script03_2_M032 :Frustration; ()
Ses03F_script03_2_M033 :Frustration; ()
Ses03F_script03_2_M034 :Anger; ()
Ses03F_script03_2_M035 :Frustration; ()
Ses03F_script03_2_M036 :Frustration; ()
Ses03F_script03_2_M037 :Frustration; ()
Ses03F_script03_2_M038 :Frustration; ()
Ses03F_script03_2_M039 :Frustration; ()
Ses03F_script03_2_M040 :Frustration; ()
Ses03F_script03_2_M041 :Anger; ()
Ses03F_script03_2_M042 :Anger; ()
Ses03F_script03_2_M043 :Anger; ()
Ses03F_script03_2_M044 :Anger; ()
