Ses03F_impro07_F000 :Happiness; ()
Ses03F_impro07_F001 :Happiness; ()
Ses03F_impro07_F002 :Happiness; ()
Ses03F_impro07_F003 :Surprise; ()
Ses03F_impro07_F004 :Happiness; ()
Ses03F_impro07_F005 :Happiness; ()
Ses03F_impro07_F006 :Happiness; ()
Ses03F_impro07_F007 :Happiness; ()
Ses03F_impro07_F008 :Excited; :Happiness; ()
Ses03F_impro07_F009 :Happiness; ()
Ses03F_impro07_F010 :Happiness; ()
Ses03F_impro07_F011 :Happiness; ()
Ses03F_impro07_F012 :Happiness; ()
Ses03F_impro07_F013 :Happiness; ()
Ses03F_impro07_F014 :Happiness; ()
Ses03F_impro07_F015 :Neutral state; ()
Ses03F_impro07_F016 :Excited; :Happiness; ()
Ses03F_impro07_F017 :Happiness; ()
Ses03F_impro07_F018 :Happiness; ()
Ses03F_impro07_F019 :Happiness; ()
Ses03F_impro07_F020 :Happiness; ()
Ses03F_impro07_F021 :Happiness; ()
Ses03F_impro07_F022 :Happiness; ()
Ses03F_impro07_F023 :Happiness; ()
Ses03F_impro07_F024 :Excited; :Happiness; ()
Ses03F_impro07_F025 :Happiness; ()
Ses03F_impro07_F026 :Happiness; ()
Ses03F_impro07_F027 :Happiness; ()
Ses03F_impro07_F028 :Neutral state; ()
Ses03F_impro07_F029 :Happiness; ()
Ses03F_impro07_F030 :Happiness; ()
Ses03F_impro07_F031 :Neutral state; ()
Ses03F_impro07_F032 :Happiness; ()
Ses03F_impro07_F033 :Neutral state; ()
Ses03F_impro07_F034 :Happiness; ()
Ses03F_impro07_F035 :Happiness; ()
Ses03F_impro07_M000 :Neutral state; ()
Ses03F_impro07_M001 :Neutral state; ()
Ses03F_impro07_M002 :Neutral state; ()
Ses03F_impro07_M003 :Neutral state; ()
Ses03F_impro07_M004 :Neutral state; ()
Ses03F_impro07_M005 :Neutral state; ()
Ses03F_impro07_M006 :Neutral state; ()
Ses03F_impro07_M007 :Excited; ()
Ses03F_impro07_M008 :Excited; ()
Ses03F_impro07_M009 :Surprise; ()
Ses03F_impro07_M010 :Surprise; ()
Ses03F_impro07_M011 :Excited; ()
Ses03F_impro07_M012 :Neutral state; ()
Ses03F_impro07_M013 :Excited; ()
Ses03F_impro07_M014 :Happiness; ()
Ses03F_impro07_M015 :Excited; ()
Ses03F_impro07_M016 :Happiness; ()
Ses03F_impro07_M017 :Surprise; ()
Ses03F_impro07_M018 :Surprise; ()
Ses03F_impro07_M019 :Happiness; ()
Ses03F_impro07_M020 :Neutral state; ()
Ses03F_impro07_M021 :Neutral state; ()
Ses03F_impro07_M022 :Neutral state; ()
Ses03F_impro07_M023 :Neutral state; ()
Ses03F_impro07_M024 :Happiness; ()
Ses03F_impro07_M025 :Neutral state; ()
Ses03F_impro07_M026 :Excited; ()
Ses03F_impro07_M027 :Happiness; ()
Ses03F_impro07_M028 :Happiness; ()
Ses03F_impro07_M029 :Excited; ()
Ses03F_impro07_M030 :Happiness; ()
Ses03F_impro07_M031 :Neutral state; ()
Ses03F_impro07_M032 :Happiness; ()
Ses03F_impro07_M033 :Neutral state; ()
Ses03F_impro07_M034 :Happiness; ()
Ses03F_impro07_M035 :Happiness; ()
