Ses03F_script03_1_F000 :Neutral state; ()
Ses03F_script03_1_F001 :Neutral state; ()
Ses03F_script03_1_F002 :Fear; ()
Ses03F_script03_1_F003 :Fear; ()
Ses03F_script03_1_F004 :Happiness; ()
Ses03F_script03_1_F005 :Neutral state; ()
Ses03F_script03_1_F006 :Happiness; ()
Ses03F_script03_1_F007 :Happiness; ()
Ses03F_script03_1_F008 :Happiness; ()
Ses03F_script03_1_F009 :Happiness; ()
Ses03F_script03_1_F010 :Happiness; ()
Ses03F_script03_1_F011 :Happiness; ()
Ses03F_script03_1_F012 :Happiness; ()
Ses03F_script03_1_F013 :Happiness; ()
Ses03F_script03_1_F014 :Sadness; ()
Ses03F_script03_1_F015 :Sadness; ()
Ses03F_script03_1_F016 :Sadness; ()
Ses03F_script03_1_F017 :Happiness; ()
Ses03F_script03_1_F018 :Happiness; ()
Ses03F_script03_1_F019 :Happiness; ()
Ses03F_script03_1_F020 :Happiness; ()
Ses03F_script03_1_F021 :Happiness; ()
Ses03F_script03_1_F022 :Happiness; ()
Ses03F_script03_1_F023 :Happiness; ()
Ses03F_script03_1_F024 :Happiness; ()
Ses03F_script03_1_F025 :Happiness; ()
Ses03F_script03_1_F026 :Happiness; ()
Ses03F_script03_1_F027 :Happiness; ()
Ses03F_script03_1_F028 :Happiness; ()
Ses03F_script03_1_M000 :Neutral state; ()
Ses03F_script03_1_M001 :Neutral state; ()
Ses03F_script03_1_M002 :Neutral state; ()
Ses03F_script03_1_M003 :Fear; ()
Ses03F_script03_1_M004 :Neutral state; ()
Ses03F_script03_1_M005 :Neutral state; ()
Ses03F_script03_1_M006 :Anger; ()
Ses03F_script03_1_M007 :Happiness; ()
Ses03F_script03_1_M008 :Happiness; ()
Ses03F_script03_1_M009 :Happiness; ()
Ses03F_script03_1_M010 :Happiness; ()
Ses03F_script03_1_M011 :Happiness; ()
Ses03F_script03_1_M012 :Happiness; ()
Ses03F_script03_1_M013 :Happiness; ()
Ses03F_script03_1_M014 :Happiness; ()
Ses03F_script03_1_M015 :Happiness; ()
Ses03F_script03_1_M016 :Happiness; ()
Ses03F_script03_1_M017 :Happiness; ()
Ses03F_script03_1_M018 :Happiness; ()
Ses03F_script03_1_M019 :Happiness; ()
Ses03F_script03_1_M020 :Happiness; ()
Ses03F_script03_1_M021 :Happiness; ()
Ses03F_script03_1_M022 :Happiness; ()
Ses03F_script03_1_M023 :Happiness; ()
Ses03F_script03_1_M024 :Disgust; ()
Ses03F_script03_1_M025 :Happiness; ()
Ses03F_script03_1_M026 :Happiness; ()
Ses03F_script03_1_M027 :Happiness; ()
Ses03F_script03_1_M028 :Surprise; ()
Ses03F_script03_1_M029 :Happiness; ()
Ses03F_script03_1_M030 :Happiness; ()
Ses03F_script03_1_M031 :Happiness; ()
