Ses03M_script02_2_F000 :Anger; ()
Ses03M_script02_2_F001 :Anger; ()
Ses03M_script02_2_F002 :Anger; ()
Ses03M_script02_2_F003 :Anger; ()
Ses03M_script02_2_F004 :Anger; ()
Ses03M_script02_2_F005 :Sadness; ()
Ses03M_script02_2_F006 :Sadness; ()
Ses03M_script02_2_F007 :Frustration; ()
Ses03M_script02_2_F008 :Frustration; ()
Ses03M_script02_2_F009 :Anger; ()
Ses03M_script02_2_F010 :Anger; ()
Ses03M_script02_2_F011 :Anger; ()
Ses03M_script02_2_F012 :Frustration; ()
Ses03M_script02_2_F013 :Anger; ()
Ses03M_script02_2_F014 :Frustration; ()
Ses03M_script02_2_F015 :Frustration; ()
Ses03M_script02_2_F016 :Anger; ()
Ses03M_script02_2_F017 :Frustration; ()
Ses03M_script02_2_F018 :Sadness; ()
Ses03M_script02_2_F019 :Happiness; ()
Ses03M_script02_2_F020 :Happiness; ()
Ses03M_script02_2_F021 :Happiness; ()
Ses03M_script02_2_F022 :Happiness; ()
Ses03M_script02_2_F023 :Sadness; ()
Ses03M_script02_2_F024 :Sadness; ()
Ses03M_script02_2_F025 :Sadness; ()
Ses03M_script02_2_F026 :Sadness; ()
Ses03M_script02_2_F027 :Frustration; ()
Ses03M_script02_2_F028 :Disgust; ()
Ses03M_script02_2_F029 :Frustration; ()
Ses03M_script02_2_F030 :Frustration; ()
Ses03M_script02_2_F031 :Anger; ()
Ses03M_script02_2_F032 :Frustration; ()
Ses03M_script02_2_F033 :Anger; ()
Ses03M_script02_2_F034 :Sadness; ()
Ses03M_script02_2_F035 :Sadness; ()
Ses03M_script02_2_F036 :Sadness; ()
Ses03M_script02_2_F037 :Sadness; ()
Ses03M_script02_2_F038 :Frustration; ()
Ses03M_script02_2_F039 :Frustration; ()
Ses03M_script02_2_F040 :Sadness; ()
Ses03M_script02_2_F041 :Happiness; ()
Ses03M_script02_2_F042 :Happiness; ()
Ses03M_script02_2_F043 :Happiness; ()
Ses03M_script02_2_F044 :Happiness; ()
Ses03M_script02_2_F045 :Happiness; ()
Ses03M_script02_2_F046 :Happiness; ()
Ses03M_script02_2_F047 :Happiness; ()
Ses03M_script02_2_F048 :Happiness; ()
Ses03M_script02_2_F049 :Happiness; ()
Ses03M_script02_2_M000 :Excited; ()
Ses03M_script02_2_M001 :Frustration; ()
Ses03M_script02_2_M002 :Frustration; ()
Ses03M_script02_2_M003 :Frustration; ()
Ses03M_script02_2_M004 :Surprise; ()
Ses03M_script02_2_M005 :Frustration; ()
Ses03M_script02_2_M006 :Anger; ()
Ses03M_script02_2_M007 :Anger; ()
Ses03M_script02_2_M008 :Anger; ()
Ses03M_script02_2_M009 :Frustration; ()
Ses03M_script02_2_M010 :Anger; ()
Ses03M_script02_2_M011 :Frustration; ()
Ses03M_script02_2_M012 :Frustration; ()
Ses03M_script02_2_M013 :Frustration; ()
Ses03M_script02_2_M014 :Neutral state; ()
Ses03M_script02_2_M015 :Frustration; ()
Ses03M_script02_2_M016 :Anger; ()
Ses03M_script02_2_M017 :Neutral state; ()
Ses03M_script02_2_M018 :Frustration; ()
Ses03M_script02_2_M019 :Neutral state; ()
Ses03M_script02_2_M020 :Sadness; ()
Ses03M_script02_2_M021 :Sadness; ()
Ses03M_script02_2_M022 :Sadness; ()
Ses03M_script02_2_M023 :Sadness; ()
Ses03M_script02_2_M024 :Frustration; ()
Ses03M_script02_2_M025 :Happiness; ()
Ses03M_script02_2_M026 :Frustration; ()
Ses03M_script02_2_M027 :Frustration; ()
Ses03M_script02_2_M028 :Anger; ()
Ses03M_script02_2_M029 :Anger; ()
Ses03M_script02_2_M030 :Anger; ()
Ses03M_script02_2_M031 :Anger; ()
Ses03M_script02_2_M032 :Anger; ()
Ses03M_script02_2_M033 :Anger; ()
Ses03M_script02_2_M034 :Sadness; ()
Ses03M_script02_2_M035 :Sadness; ()
Ses03M_script02_2_M036 :Sadness; ()
Ses03M_script02_2_M037 :Sadness; ()
Ses03M_script02_2_M038 :Happiness; ()
Ses03M_script02_2_M039 :Happiness; ()
Ses03M_script02_2_M040 :Sadness; ()
Ses03M_script02_2_M041 :Happiness; ()
Ses03M_script02_2_M042 :Happiness; ()
Ses03M_script02_2_M043 :Happiness; ()
Ses03M_script02_2_M044 :Neutral state; ()
Ses03M_script02_2_M045 :Happiness; ()
Ses03M_script02_2_M046 :Happiness; ()
