Ses03F_impro08_F000 :Neutral state; ()
Ses03F_impro08_F001 :Neutral state; ()
Ses03F_impro08_F002 :Frustration; ()
Ses03F_impro08_F003 :Frustration; ()
Ses03F_impro08_F004 :Neutral state; ()
Ses03F_impro08_F005 :Neutral state; ()
Ses03F_impro08_F006 :Neutral state; ()
Ses03F_impro08_F007 :Neutral state; ()
Ses03F_impro08_F008 :Neutral state; ()
Ses03F_impro08_F009 :Neutral state; ()
Ses03F_impro08_F010 :Frustration; ()
Ses03F_impro08_F011 :Neutral state; ()
Ses03F_impro08_F012 :Neutral state; ()
Ses03F_impro08_F013 :Neutral state; ()
Ses03F_impro08_F014 :Frustration; ()
Ses03F_impro08_F015 :Frustration; ()
Ses03F_impro08_F016 :Frustration; ()
Ses03F_impro08_F017 :Frustration; ()
Ses03F_impro08_F018 :Frustration; ()
Ses03F_impro08_F019 :Frustration; ()
Ses03F_impro08_F020 :Neutral state; ()
Ses03F_impro08_F021 :Neutral state; ()
Ses03F_impro08_F022 :Frustration; ()
Ses03F_impro08_F023 :Neutral state; ()
Ses03F_impro08_F024 :Neutral state; ()
Ses03F_impro08_F025 :Neutral state; ()
Ses03F_impro08_F026 :Frustration; ()
Ses03F_impro08_F027 :Neutral state; ()
Ses03F_impro08_F028 :Neutral state; ()
Ses03F_impro08_F029 :Frustration; ()
Ses03F_impro08_M000 :Anger; ()
Ses03F_impro08_M001 :Frustration; ()
Ses03F_impro08_M002 :Frustration; ()
Ses03F_impro08_M003 :Anger; ()
Ses03F_impro08_M004 :Anger; ()
Ses03F_impro08_M005 :Anger; ()
Ses03F_impro08_M006 :Anger; ()
Ses03F_impro08_M007 :Anger; ()
Ses03F_impro08_M008 :Anger; ()
Ses03F_impro08_M009 :Surprise; :Anger; ()
Ses03F_impro08_M010 :Surprise; :Anger; ()
Ses03F_impro08_M011 :Anger; ()
Ses03F_impro08_M012 :Anger; ()
Ses03F_impro08_M013 :Anger; ()
Ses03F_impro08_M014 :Anger; ()
Ses03F_impro08_M015 :Anger; ()
Ses03F_impro08_M016 :Anger; ()
Ses03F_impro08_M017 :Anger; ()
Ses03F_impro08_M018 :Anger; ()
Ses03F_impro08_M019 :Neutral state; ()
Ses03F_impro08_M020 :Anger; ()
Ses03F_impro08_M021 :Neutral state; ()
Ses03F_impro08_M022 :Anger; ()
Ses03F_impro08_M023 :Anger; ()
Ses03F_impro08_M024 :Anger; ()
Ses03F_impro08_M025 :Anger; ()
Ses03F_impro08_M026 :Frustration; ()
