Ses03M_impro01_F000 :Anger; ()
Ses03M_impro01_F001 :Anger; ()
Ses03M_impro01_F002 :Frustration; ()
Ses03M_impro01_F003 :Anger; ()
Ses03M_impro01_F004 :Frustration; ()
Ses03M_impro01_F005 :Anger; ()
Ses03M_impro01_F006 :Anger; ()
Ses03M_impro01_F007 :Anger; ()
Ses03M_impro01_F008 :Frustration; ()
Ses03M_impro01_F009 :Frustration; ()
Ses03M_impro01_F010 :Frustration; ()
Ses03M_impro01_F011 :Frustration; ()
Ses03M_impro01_F012 :Frustration; ()
Ses03M_impro01_F013 :Frustration; ()
Ses03M_impro01_F014 :Anger; ()
Ses03M_impro01_F015 :Anger; ()
Ses03M_impro01_F016 :Anger; ()
Ses03M_impro01_F017 :Anger; ()
Ses03M_impro01_F018 :Frustration; ()
Ses03M_impro01_F019 :Anger; ()
Ses03M_impro01_F020 :Anger; ()
Ses03M_impro01_F021 :Frustration; ()
Ses03M_impro01_F022 :Anger; ()
Ses03M_impro01_F023 :Anger; ()
Ses03M_impro01_F024 :Frustration; ()
Ses03M_impro01_F025 :Anger; ()
Ses03M_impro01_M000 :Frustration; ()
Ses03M_impro01_M001 :Frustration; ()
Ses03M_impro01_M002 :Frustration; ()
Ses03M_impro01_M003 :Surprise; ()
Ses03M_impro01_M004 :Anger; ()
Ses03M_impro01_M005 :Frustration; ()
Ses03M_impro01_M006 :Frustration; ()
Ses03M_impro01_M007 :Anger; ()
Ses03M_impro01_M008 :Frustration; ()
Ses03M_impro01_M009 :Frustration; ()
Ses03M_impro01_M010 :Anger; ()
Ses03M_impro01_M011 :Anger; ()
Ses03M_impro01_M012 :Anger; ()
Ses03M_impro01_M013 :Anger; ()
Ses03M_impro01_M014 :Anger; ()
Ses03M_impro01_M015 :Anger; ()
Ses03M_impro01_M016 :Anger; ()
Ses03M_impro01_M017 :Anger; ()
Ses03M_impro01_M018 :Anger; ()
Ses03M_impro01_M019 :Anger; ()
Ses03M_impro01_M020 :Anger; ()
Ses03M_impro01_M021 :Anger; ()
Ses03M_impro01_M022 :Anger; ()
Ses03M_impro01_M023 :Anger; ()
Ses03M_impro01_M024 :Anger; ()
Ses03M_impro01_M025 :Anger; ()
Ses03M_impro01_M026 :Frustration; ()
Ses03M_impro01_M027 :Anger; ()
Ses03M_impro01_M028 :Anger; ()
Ses03M_impro01_M029 :Anger; ()
