Ses03M_script02_1_F000 :Other; (annoyed)
Ses03M_script02_1_F001 :Other; (annoyed)
Ses03M_script02_1_F002 :Other; (annoyed)
Ses03M_script02_1_F003 :Other; (annoyed)
Ses03M_script02_1_F004 :Other; (annoyed)
Ses03M_script02_1_F005 :Neutral state; ()
Ses03M_script02_1_F006 :Other; (annoyed)
Ses03M_script02_1_F007 :Frustration; ()
Ses03M_script02_1_F008 :Frustration; ()
Ses03M_script02_1_F009 :Frustration; ()
Ses03M_script02_1_F010 :Frustration; ()
Ses03M_script02_1_F011 :Neutral state; ()
Ses03M_script02_1_F012 :Other; (annoyed)
Ses03M_script02_1_F013 :Frustration; :Other; (annoyed)
Ses03M_script02_1_F014 :Other; (annoyed)
Ses03M_script02_1_F015 :Frustration; ()
Ses03M_script02_1_F016 :Neutral state; ()
Ses03M_script02_1_F017 :Other; (annoyed)
Ses03M_script02_1_F018 :Frustration; ()
Ses03M_script02_1_F019 :Frustration; ()
Ses03M_script02_1_F020 :Other; (annoyed)
Ses03M_script02_1_F021 :Other; (annoyed)
Ses03M_script02_1_F022 :Other; (annoyed)
Ses03M_script02_1_M000 :Neutral state; ()
Ses03M_script02_1_M001 :Neutral state; ()
Ses03M_script02_1_M002 :Neutral state; ()
Ses03M_script02_1_M003 :Excited; ()
Ses03M_script02_1_M004 :Excited; ()
Ses03M_script02_1_M005 :Excited; ()
Ses03M_script02_1_M006 :Neutral state; ()
Ses03M_script02_1_M007 :Neutral state; ()
Ses03M_script02_1_M008 :Neutral state; ()
Ses03M_script02_1_M009 :Neutral state; ()
Ses03M_script02_1_M010 :Neutral state; ()
Ses03M_script02_1_M011 :Neutral state; ()
Ses03M_script02_1_M012 :Neutral state; ()
Ses03M_script02_1_M013 :Neutral state; ()
Ses03M_script02_1_M014 :Neutral state; ()
Ses03M_script02_1_M015 :Neutral state; ()
Ses03M_script02_1_M016 :Neutral state; ()
Ses03M_script02_1_M017 :Neutral state; ()
Ses03M_script02_1_M018 :Neutral state; ()
Ses03M_script02_1_M019 :Neutral state; ()
Ses03M_script02_1_M020 :Frustration; ()
Ses03M_script02_1_M021 :Neutral state; ()
Ses03M_script02_1_M022 :Neutral state; ()
Ses03M_script02_1_M023 :Excited; ()
Ses03M_script02_1_M024 :Neutral state; ()
Ses03M_script02_1_M025 :Neutral state; ()
Ses03M_script02_1_M026 :Excited; ()
Ses03M_script02_1_M027 :Excited; ()
Ses03M_script02_1_M028 :Neutral state; ()
Ses03M_script02_1_M029 :Neutral state; ()
Ses03M_script02_1_M030 :Other; (confused)
Ses03M_script02_1_M031 :Other; (confused)
Ses03M_script02_1_M032 :Neutral state; ()
Ses03M_script02_1_M033 :Frustration; ()
Ses03M_script02_1_M034 :Excited; ()
Ses03M_script02_1_M035 :Excited; ()
Ses03M_script02_1_M036 :Neutral state; ()
Ses03M_script02_1_M037 :Neutral state; ()
Ses03M_script02_1_M038 :Neutral state; ()
Ses03M_script02_1_M039 :Neutral state; ()
Ses03M_script02_1_M040 :Neutral state; ()
Ses03M_script02_1_M041 :Excited; ()
Ses03M_script02_1_M042 :Neutral state; ()
Ses03M_script02_1_M043 :Neutral state; ()
Ses03M_script02_1_M044 :Frustration; ()
