Ses03M_impro02_F000 :Excited; ()
Ses03M_impro02_F001 :Excited; ()
Ses03M_impro02_F002 :Excited; ()
Ses03M_impro02_F003 :Happiness; ()
Ses03M_impro02_F004 :Frustration; ()
Ses03M_impro02_F005 :Frustration; ()
Ses03M_impro02_F006 :Frustration; ()
Ses03M_impro02_F007 :Frustration; ()
Ses03M_impro02_F008 :Frustration; ()
Ses03M_impro02_F009 :Frustration; ()
Ses03M_impro02_F010 :Frustration; ()
Ses03M_impro02_F011 :Frustration; ()
Ses03M_impro02_F012 :Frustration; ()
Ses03M_impro02_F013 :Sadness; ()
Ses03M_impro02_F014 :Frustration; ()
Ses03M_impro02_F015 :Sadness; ()
Ses03M_impro02_F016 :Sadness; ()
Ses03M_impro02_F017 :Sadness; ()
Ses03M_impro02_F018 :Frustration; ()
Ses03M_impro02_F019 :Frustration; ()
Ses03M_impro02_F020 :Frustration; ()
Ses03M_impro02_F021 :Frustration; ()
Ses03M_impro02_F022 :Sadness; ()
Ses03M_impro02_F023 :Sadness; ()
Ses03M_impro02_F024 :Sadness; :Anger; ()
Ses03M_impro02_F025 :Frustration; ()
Ses03M_impro02_F026 :Sadness; :Fear; ()
Ses03M_impro02_F027 :Frustration; ()
Ses03M_impro02_F028 :Frustration; ()
Ses03M_impro02_F029 :Sadness; ()
Ses03M_impro02_F030 :Sadness; ()
Ses03M_impro02_F031 :Sadness; ()
Ses03M_impro02_F032 :Sadness; ()
Ses03M_impro02_F033 :Sadness; ()
Ses03M_impro02_F034 :Frustration; ()
Ses03M_impro02_F035 :Frustration; ()
Ses03M_impro02_F036 :Frustration; ()
Ses03M_impro02_F037 :Frustration; ()
Ses03M_impro02_M000 :Sadness; ()
Ses03M_impro02_M001 :Sadness; ()
Ses03M_impro02_M002 :Sadness; ()
Ses03M_impro02_M003 :Sadness; ()
Ses03M_impro02_M004 :Sadness; ()
Ses03M_impro02_M005 :Sadness; ()
Ses03M_impro02_M006 :Sadness; ()
Ses03M_impro02_M007 :Frustration; ()
Ses03M_impro02_M008 :Frustration; ()
Ses03M_impro02_M009 :Frustration; ()
Ses03M_impro02_M010 :Frustration; ()
Ses03M_impro02_M011 :Sadness; ()
Ses03M_impro02_M012 :Sadness; ()
Ses03M_impro02_M013 :Sadness; ()
Ses03M_impro02_M014 :Frustration; ()
Ses03M_impro02_M015 :Frustration; ()
Ses03M_impro02_M016 :Sadness; ()
Ses03M_impro02_M017 :Frustration; ()
Ses03M_impro02_M018 :Frustration; ()
Ses03M_impro02_M019 :Sadness; ()
Ses03M_impro02_M020 :Frustration; ()
Ses03M_impro02_M021 :Frustration; ()
Ses03M_impro02_M022 :Frustration; ()
Ses03M_impro02_M023 :Frustration; ()
Ses03M_impro02_M024 :Sadness; ()
Ses03M_impro02_M025 :Sadness; ()
Ses03M_impro02_M026 :Sadness; ()
Ses03M_impro02_M027 :Frustration; ()
Ses03M_impro02_M028 :Frustration; ()
Ses03M_impro02_M029 :Sadness; ()
Ses03M_impro02_M030 :Sadness; ()
Ses03M_impro02_M031 :Sadness; ()
Ses03M_impro02_M032 :Frustration; ()
Ses03M_impro02_M033 :Anger; ()
Ses03M_impro02_M034 :Frustration; ()
Ses03M_impro02_M035 :Frustration; ()
Ses03M_impro02_M036 :Frustration; ()
Ses03M_impro02_M037 :Frustration; ()
