Ses03F_impro02_F000 :Neutral state; ()
Ses03F_impro02_F001 :Neutral state; ()
Ses03F_impro02_F002 :Neutral state; ()
Ses03F_impro02_F003 :Neutral state; ()
Ses03F_impro02_F004 :Neutral state; ()
Ses03F_impro02_F005 :Neutral state; ()
Ses03F_impro02_F006 :Sadness; ()
Ses03F_impro02_F007 :Neutral state; ()
Ses03F_impro02_F008 :Sadness; ()
Ses03F_impro02_F009 :Sadness; ()
Ses03F_impro02_F010 :Sadness; ()
Ses03F_impro02_F011 :Sadness; ()
Ses03F_impro02_F012 :Sadness; ()
Ses03F_impro02_F013 :Sadness; ()
Ses03F_impro02_F014 :Neutral state; ()
Ses03F_impro02_F015 :Sadness; ()
Ses03F_impro02_F016 :Sadness; ()
Ses03F_impro02_F017 :Frustration; ()
Ses03F_impro02_F018 :Sadness; ()
Ses03F_impro02_F019 :Sadness; ()
Ses03F_impro02_F020 :Sadness; ()
Ses03F_impro02_F021 :Sadness; ()
Ses03F_impro02_F022 :Sadness; ()
Ses03F_impro02_F023 :Sadness; ()
Ses03F_impro02_F024 :Sadness; ()
Ses03F_impro02_F025 :Sadness; ()
Ses03F_impro02_F026 :Sadness; ()
Ses03F_impro02_F027 :Sadness; ()
Ses03F_impro02_F028 :Sadness; ()
Ses03F_impro02_F029 :Sadness; ()
Ses03F_impro02_F030 :Sadness; ()
Ses03F_impro02_F031 :Sadness; ()
Ses03F_impro02_F032 :Sadness; ()
Ses03F_impro02_F033 :Neutral state; ()
Ses03F_impro02_F034 :Sadness; ()
Ses03F_impro02_F035 :Sadness; ()
Ses03F_impro02_F036 :Sadness; ()
Ses03F_impro02_F037 :Sadness; ()
Ses03F_impro02_F038 :Sadness; ()
Ses03F_impro02_F039 :Sadness; ()
Ses03F_impro02_F040 :Sadness; ()
Ses03F_impro02_F041 :Sadness; ()
Ses03F_impro02_F042 :Sadness; ()
Ses03F_impro02_F043 :Sadness; ()
Ses03F_impro02_M000 :Neutral state; ()
Ses03F_impro02_M001 :Happiness; ()
Ses03F_impro02_M002 :Neutral state; ()
Ses03F_impro02_M003 :Surprise; ()
Ses03F_impro02_M004 :Surprise; ()
Ses03F_impro02_M005 :Surprise; ()
Ses03F_impro02_M006 :Sadness; ()
Ses03F_impro02_M007 :Anger; ()
Ses03F_impro02_M008 :Sadness; ()
Ses03F_impro02_M009 :Sadness; ()
Ses03F_impro02_M010 :Sadness; ()
Ses03F_impro02_M011 :Sadness; ()
Ses03F_impro02_M012 :Sadness; ()
Ses03F_impro02_M013 :Sadness; ()
Ses03F_impro02_M014 :Sadness; ()
Ses03F_impro02_M015 :Sadness; ()
Ses03F_impro02_M016 :Sadness; ()
Ses03F_impro02_M017 :Sadness; ()
Ses03F_impro02_M018 :Sadness; ()
Ses03F_impro02_M019 :Sadness; ()
Ses03F_impro02_M020 :Sadness; ()
Ses03F_impro02_M021 :Sadness; ()
Ses03F_impro02_M022 :Sadness; ()
Ses03F_impro02_M023 :Sadness; ()
Ses03F_impro02_M024 :Sadness; ()
Ses03F_impro02_M025 :Sadness; ()
Ses03F_impro02_M026 :Sadness; ()
Ses03F_impro02_M027 :Anger; ()
Ses03F_impro02_M028 :Sadness; ()
Ses03F_impro02_M029 :Sadness; ()
Ses03F_impro02_M030 :Sadness; ()
Ses03F_impro02_M031 :Sadness; ()
