Ses03F_script03_2_F000 :Anger; ()
Ses03F_script03_2_F001 :Anger; ()
Ses03F_script03_2_F002 :Anger; ()
Ses03F_script03_2_F003 :Anger; ()
Ses03F_script03_2_F004 :Neutral state; ()
Ses03F_script03_2_F005 :Neutral state; ()
Ses03F_script03_2_F006 :Anger; ()
Ses03F_script03_2_F007 :Anger; ()
Ses03F_script03_2_F008 :Neutral state; ()
Ses03F_script03_2_F009 :Neutral state; ()
Ses03F_script03_2_F010 :Neutral state; ()
Ses03F_script03_2_F011 :Anger; ()
Ses03F_script03_2_F012 :Anger; ()
Ses03F_script03_2_F013 :Neutral state; ()
Ses03F_script03_2_F014 :Anger; ()
Ses03F_script03_2_F015 :Anger; ()
Ses03F_script03_2_F016 :Anger; ()
Ses03F_script03_2_F017 :Neutral state; ()
Ses03F_script03_2_F018 :Anger; ()
Ses03F_script03_2_F019 :Frustration; ()
Ses03F_script03_2_F020 :Anger; ()
Ses03F_script03_2_F021 :Anger; ()
Ses03F_script03_2_F022 :Anger; ()
Ses03F_script03_2_F023 :Anger; ()
Ses03F_script03_2_F024 :Anger; ()
Ses03F_script03_2_F025 :Anger; ()
Ses03F_script03_2_F026 :Anger; ()
Ses03F_script03_2_F027 :Anger; ()
Ses03F_script03_2_F028 :Anger; ()
Ses03F_script03_2_F029 :Frustration; ()
Ses03F_script03_2_F030 :Frustration; ()
Ses03F_script03_2_F031 :Anger; ()
Ses03F_script03_2_F032 :Anger; ()
Ses03F_script03_2_F033 :Anger; ()
Ses03F_script03_2_F034 :Anger; ()
Ses03F_script03_2_F035 :Anger; ()
Ses03F_script03_2_F036 :Frustration; ()
Ses03F_script03_2_F037 :Anger; ()
Ses03F_script03_2_F038 :Anger; ()
Ses03F_script03_2_F039 :Anger; ()
Ses03F_script03_2_F040 :Anger; ()
Ses03F_script03_2_F041 :Anger; ()
Ses03F_script03_2_F042 :Anger; ()
Ses03F_script03_2_F043 :Anger; ()
Ses03F_script03_2_M000 :Anger; ()
Ses03F_script03_2_M001 :Anger; ()
Ses03F_script03_2_M002 :Anger; ()
Ses03F_script03_2_M003 :Anger; ()
Ses03F_script03_2_M004 :Anger; ()
Ses03F_script03_2_M005 :Anger; ()
Ses03F_script03_2_M006 :Surprise; ()
Ses03F_script03_2_M007 :Anger; ()
Ses03F_script03_2_M008 :Anger; ()
Ses03F_script03_2_M009 :Neutral state; ()
Ses03F_script03_2_M010 :Neutral state; ()
Ses03F_script03_2_M011 :Neutral state; ()
Ses03F_script03_2_M012 :Neutral state; ()
Ses03F_script03_2_M013 :Anger; ()
Ses03F_script03_2_M014 :Anger; ()
Ses03F_script03_2_M015 :Anger; ()
Ses03F_script03_2_M016 :Anger; ()
Ses03F_script03_2_M017 :Anger; ()
Ses03F_script03_2_M018 :Anger; ()
Ses03F_script03_2_M019 :Anger; ()
Ses03F_script03_2_M020 :Anger; ()
Ses03F_script03_2_M021 :Anger; ()
Ses03F_script03_2_M022 :Anger; ()
Ses03F_script03_2_M023 :Anger; ()
Ses03F_script03_2_M024 :Anger; ()
Ses03F_script03_2_M025 :Frustration; ()
Ses03F_script03_2_M026 :Anger; ()
Ses03F_script03_2_M027 :Anger; ()
Ses03F_script03_2_M028 :Anger; ()
Ses03F_script03_2_M029 :Anger; ()
Ses03F_script03_2_M030 :Anger; ()
Ses03F_script03_2_M031 :Anger; ()
Ses03F_script03_2_M032 :Anger; ()
Ses03F_script03_2_M033 :Anger; ()
Ses03F_script03_2_M034 :Anger; ()
Ses03F_script03_2_M035 :Neutral state; ()
Ses03F_script03_2_M036 :Neutral state; ()
Ses03F_script03_2_M037 :Neutral state; ()
Ses03F_script03_2_M038 :Anger; ()
Ses03F_script03_2_M039 :Anger; ()
Ses03F_script03_2_M040 :Anger; ()
Ses03F_script03_2_M041 :Anger; ()
Ses03F_script03_2_M042 :Anger; ()
Ses03F_script03_2_M043 :Anger; ()
Ses03F_script03_2_M044 :Anger; ()
