Ses03F_script01_1_F000 :Fear; ()
Ses03F_script01_1_F001 :Fear; ()
Ses03F_script01_1_F002 :Fear; ()
Ses03F_script01_1_F003 :Frustration; :Fear; ()
Ses03F_script01_1_F004 :Frustration; ()
Ses03F_script01_1_F005 :Sadness; ()
Ses03F_script01_1_F006 :Anger; ()
Ses03F_script01_1_F007 :Frustration; ()
Ses03F_script01_1_F008 :Frustration; ()
Ses03F_script01_1_F009 :Frustration; ()
Ses03F_script01_1_F010 :Frustration; ()
Ses03F_script01_1_F011 :Frustration; ()
Ses03F_script01_1_F012 :Frustration; ()
Ses03F_script01_1_F013 :Frustration; ()
Ses03F_script01_1_F014 :Frustration; ()
Ses03F_script01_1_F015 :Frustration; ()
Ses03F_script01_1_F016 :Frustration; ()
Ses03F_script01_1_F017 :Anger; ()
Ses03F_script01_1_F018 :Anger; ()
Ses03F_script01_1_F019 :Anger; ()
Ses03F_script01_1_F020 :Anger; ()
Ses03F_script01_1_F021 :Frustration; ()
Ses03F_script01_1_F022 :Frustration; ()
Ses03F_script01_1_F023 :Frustration; ()
Ses03F_script01_1_F024 :Frustration; ()
Ses03F_script01_1_F025 :Frustration; ()
Ses03F_script01_1_F026 :Frustration; ()
Ses03F_script01_1_F027 :Frustration; ()
Ses03F_script01_1_F028 :Frustration; ()
Ses03F_script01_1_F029 :Frustration; ()
Ses03F_script01_1_F030 :Frustration; ()
Ses03F_script01_1_F031 :Frustration; ()
Ses03F_script01_1_F032 :Frustration; ()
Ses03F_script01_1_F033 :Frustration; ()
Ses03F_script01_1_F034 :Frustration; ()
Ses03F_script01_1_F035 :Frustration; ()
Ses03F_script01_1_F036 :Frustration; ()
Ses03F_script01_1_F037 :Frustration; ()
Ses03F_script01_1_F038 :Frustration; ()
Ses03F_script01_1_F039 :Frustration; ()
Ses03F_script01_1_F040 :Frustration; ()
Ses03F_script01_1_F041 :Frustration; ()
Ses03F_script01_1_F042 :Frustration; ()
Ses03F_script01_1_F043 :Frustration; ()
Ses03F_script01_1_F044 :Frustration; ()
Ses03F_script01_1_F045 :Frustration; ()
Ses03F_script01_1_F046 :Frustration; ()
Ses03F_script01_1_F047 :Frustration; ()
Ses03F_script01_1_F048 :Frustration; ()
Ses03F_script01_1_F049 :Frustration; ()
Ses03F_script01_1_F050 :Frustration; ()
Ses03F_script01_1_F051 :Frustration; ()
Ses03F_script01_1_F052 :Sadness; ()
Ses03F_script01_1_F053 :Sadness; ()
Ses03F_script01_1_M000 :Neutral state; ()
Ses03F_script01_1_M001 :Neutral state; ()
Ses03F_script01_1_M002 :Neutral state; ()
Ses03F_script01_1_M003 :Neutral state; ()
Ses03F_script01_1_M004 :Neutral state; ()
Ses03F_script01_1_M005 :Neutral state; ()
Ses03F_script01_1_M006 :Neutral state; ()
Ses03F_script01_1_M007 :Neutral state; ()
Ses03F_script01_1_M008 :Neutral state; ()
Ses03F_script01_1_M009 :Frustration; ()
Ses03F_script01_1_M010 :Frustration; ()
Ses03F_script01_1_M011 :Frustration; ()
Ses03F_script01_1_M012 :Frustration; ()
Ses03F_script01_1_M013 :Frustration; ()
Ses03F_script01_1_M014 :Frustration; ()
Ses03F_script01_1_M015 :Frustration; ()
Ses03F_script01_1_M016 :Frustration; ()
Ses03F_script01_1_M017 :Frustration; ()
Ses03F_script01_1_M018 :Frustration; ()
Ses03F_script01_1_M019 :Frustration; ()
Ses03F_script01_1_M020 :Frustration; ()
Ses03F_script01_1_M021 :Anger; ()
Ses03F_script01_1_M022 :Anger; ()
Ses03F_script01_1_M023 :Anger; ()
Ses03F_script01_1_M024 :Anger; ()
Ses03F_script01_1_M025 :Anger; ()
Ses03F_script01_1_M026 :Sadness; ()
Ses03F_script01_1_M027 :Anger; ()
Ses03F_script01_1_M028 :Neutral state; ()
Ses03F_script01_1_M029 :Neutral state; ()
Ses03F_script01_1_M030 :Neutral state; ()
Ses03F_script01_1_M031 :Neutral state; ()
Ses03F_script01_1_M032 :Frustration; ()
Ses03F_script01_1_M033 :Frustration; ()
Ses03F_script01_1_M034 :Frustration; ()
Ses03F_script01_1_M035 :Frustration; ()
Ses03F_script01_1_M036 :Frustration; ()
Ses03F_script01_1_M037 :Frustration; ()
Ses03F_script01_1_M038 :Frustration; ()
Ses03F_script01_1_M039 :Frustration; ()
Ses03F_script01_1_M040 :Sadness; ()
Ses03F_script01_1_M041 :Neutral state; ()
Ses03F_script01_1_M042 :Neutral state; ()
Ses03F_script01_1_M043 :Anger; ()
Ses03F_script01_1_M044 :Anger; ()
Ses03F_script01_1_M045 :Anger; ()
Ses03F_script01_1_M046 :Anger; ()
Ses03F_script01_1_M047 :Anger; ()
Ses03F_script01_1_M048 :Frustration; ()
Ses03F_script01_1_M049 :Frustration; ()
Ses03F_script01_1_M050 :Frustration; ()
Ses03F_script01_1_M051 :Frustration; ()
Ses03F_script01_1_M052 :Frustration; ()
Ses03F_script01_1_M053 :Neutral state; ()
