Ses03F_impro03_F000 :Happiness; ()
Ses03F_impro03_F001 :Happiness; ()
Ses03F_impro03_F002 :Happiness; ()
Ses03F_impro03_F003 :Happiness; ()
Ses03F_impro03_F004 :Happiness; ()
Ses03F_impro03_F005 :Happiness; ()
Ses03F_impro03_F006 :Happiness; ()
Ses03F_impro03_F007 :Excited; ()
Ses03F_impro03_F008 :Happiness; ()
Ses03F_impro03_F009 :Excited; ()
Ses03F_impro03_F010 :Happiness; ()
Ses03F_impro03_F011 :Excited; ()
Ses03F_impro03_F012 :Excited; ()
Ses03F_impro03_F013 :Happiness; ()
Ses03F_impro03_F014 :Happiness; ()
Ses03F_impro03_F015 :Happiness; ()
Ses03F_impro03_F016 :Happiness; ()
Ses03F_impro03_F017 :Happiness; ()
Ses03F_impro03_F018 :Happiness; ()
Ses03F_impro03_F019 :Happiness; ()
Ses03F_impro03_F020 :Happiness; ()
Ses03F_impro03_F021 :Happiness; ()
Ses03F_impro03_F022 :Happiness; ()
Ses03F_impro03_F023 :Happiness; ()
Ses03F_impro03_F024 :Excited; ()
Ses03F_impro03_M000 :Surprise; ()
Ses03F_impro03_M001 :Happiness; ()
Ses03F_impro03_M002 :Surprise; ()
Ses03F_impro03_M003 :Happiness; ()
Ses03F_impro03_M004 :Happiness; ()
Ses03F_impro03_M005 :Happiness; ()
Ses03F_impro03_M006 :Happiness; ()
Ses03F_impro03_M007 :Happiness; ()
Ses03F_impro03_M008 :Happiness; ()
Ses03F_impro03_M009 :Surprise; ()
Ses03F_impro03_M010 :Surprise; ()
Ses03F_impro03_M011 :Surprise; ()
Ses03F_impro03_M012 :Happiness; ()
Ses03F_impro03_M013 :Happiness; ()
Ses03F_impro03_M014 :Surprise; ()
Ses03F_impro03_M015 :Happiness; ()
Ses03F_impro03_M016 :Excited; ()
Ses03F_impro03_M017 :Happiness; ()
Ses03F_impro03_M018 :Happiness; ()
Ses03F_impro03_M019 :Happiness; ()
Ses03F_impro03_M020 :Surprise; ()
Ses03F_impro03_M021 :Excited; ()
