Ses03F_script02_1_F000 :Sadness; ()
Ses03F_script02_1_F001 :Frustration; ()
Ses03F_script02_1_F002 :Frustration; ()
Ses03F_script02_1_F003 :Frustration; ()
Ses03F_script02_1_F004 :Frustration; ()
Ses03F_script02_1_F005 :Frustration; ()
Ses03F_script02_1_F006 :Frustration; ()
Ses03F_script02_1_F007 :Frustration; ()
Ses03F_script02_1_F008 :Frustration; ()
Ses03F_script02_1_F009 :Frustration; ()
Ses03F_script02_1_F010 :Sadness; ()
Ses03F_script02_1_F011 :Sadness; ()
Ses03F_script02_1_F012 :Frustration; ()
Ses03F_script02_1_F013 :Frustration; ()
Ses03F_script02_1_F014 :Frustration; ()
Ses03F_script02_1_F015 :Sadness; ()
Ses03F_script02_1_F016 :Frustration; ()
Ses03F_script02_1_F017 :Frustration; ()
Ses03F_script02_1_F018 :Frustration; ()
Ses03F_script02_1_F019 :Frustration; ()
Ses03F_script02_1_F020 :Frustration; ()
Ses03F_script02_1_F021 :Frustration; :Sadness; ()
Ses03F_script02_1_M000 :Excited; ()
Ses03F_script02_1_M001 :Excited; ()
Ses03F_script02_1_M002 :Excited; ()
Ses03F_script02_1_M003 :Excited; ()
Ses03F_script02_1_M004 :Excited; ()
Ses03F_script02_1_M005 :Excited; ()
Ses03F_script02_1_M006 :Excited; ()
Ses03F_script02_1_M007 :Frustration; ()
Ses03F_script02_1_M008 :Frustration; ()
Ses03F_script02_1_M009 :Excited; ()
Ses03F_script02_1_M010 :Excited; ()
Ses03F_script02_1_M011 :Excited; ()
Ses03F_script02_1_M012 :Excited; ()
Ses03F_script02_1_M013 :Excited; ()
Ses03F_script02_1_M014 :Excited; ()
Ses03F_script02_1_M015 :Excited; ()
Ses03F_script02_1_M016 :Excited; ()
Ses03F_script02_1_M017 :Excited; ()
Ses03F_script02_1_M018 :Frustration; ()
Ses03F_script02_1_M019 :Frustration; ()
Ses03F_script02_1_M020 :Frustration; ()
Ses03F_script02_1_M021 :Frustration; ()
Ses03F_script02_1_M022 :Frustration; ()
Ses03F_script02_1_M023 :Frustration; ()
Ses03F_script02_1_M024 :Frustration; ()
Ses03F_script02_1_M025 :Frustration; ()
Ses03F_script02_1_M026 :Frustration; ()
Ses03F_script02_1_M027 :Frustration; ()
Ses03F_script02_1_M028 :Frustration; ()
Ses03F_script02_1_M029 :Frustration; ()
Ses03F_script02_1_M030 :Frustration; ()
Ses03F_script02_1_M031 :Frustration; ()
Ses03F_script02_1_M032 :Frustration; ()
Ses03F_script02_1_M033 :Frustration; :Sadness; ()
Ses03F_script02_1_M034 :Frustration; ()
Ses03F_script02_1_M035 :Anger; ()
Ses03F_script02_1_M036 :Frustration; ()
Ses03F_script02_1_M037 :Frustration; ()
Ses03F_script02_1_M038 :Excited; :Frustration; ()
Ses03F_script02_1_M039 :Excited; ()
Ses03F_script02_1_M040 :Excited; ()
Ses03F_script02_1_M041 :Excited; ()
Ses03F_script02_1_M042 :Excited; ()
Ses03F_script02_1_M043 :Excited; ()
Ses03F_script02_1_M044 :Excited; ()
