Ses03M_script02_1_F000 :Neutral state; ()
Ses03M_script02_1_F001 :Neutral state; ()
Ses03M_script02_1_F002 :Anger; ()
Ses03M_script02_1_F003 :Anger; ()
Ses03M_script02_1_F004 :Anger; ()
Ses03M_script02_1_F005 :Neutral state; ()
Ses03M_script02_1_F006 :Neutral state; ()
Ses03M_script02_1_F007 :Anger; ()
Ses03M_script02_1_F008 :Anger; ()
Ses03M_script02_1_F009 :Anger; ()
Ses03M_script02_1_F010 :Anger; ()
Ses03M_script02_1_F011 :Anger; ()
Ses03M_script02_1_F012 :Anger; ()
Ses03M_script02_1_F013 :Anger; ()
Ses03M_script02_1_F014 :Anger; ()
Ses03M_script02_1_F015 :Frustration; ()
Ses03M_script02_1_F016 :Neutral state; ()
Ses03M_script02_1_F017 :Anger; ()
Ses03M_script02_1_F018 :Anger; ()
Ses03M_script02_1_F019 :Anger; ()
Ses03M_script02_1_F020 :Anger; ()
Ses03M_script02_1_F021 :Anger; ()
Ses03M_script02_1_F022 :Anger; ()
Ses03M_script02_1_M000 :Excited; ()
Ses03M_script02_1_M001 :Excited; ()
Ses03M_script02_1_M002 :Excited; ()
Ses03M_script02_1_M003 :Excited; ()
Ses03M_script02_1_M004 :Excited; ()
Ses03M_script02_1_M005 :Excited; ()
Ses03M_script02_1_M006 :Excited; ()
Ses03M_script02_1_M007 :Happiness; ()
Ses03M_script02_1_M008 :Happiness; ()
Ses03M_script02_1_M009 :Happiness; ()
Ses03M_script02_1_M010 :Happiness; ()
Ses03M_script02_1_M011 :Happiness; ()
Ses03M_script02_1_M012 :Happiness; ()
Ses03M_script02_1_M013 :Happiness; ()
Ses03M_script02_1_M014 :Excited; ()
Ses03M_script02_1_M015 :Excited; ()
Ses03M_script02_1_M016 :Excited; ()
Ses03M_script02_1_M017 :Happiness; ()
Ses03M_script02_1_M018 :Surprise; ()
Ses03M_script02_1_M019 :Happiness; ()
Ses03M_script02_1_M020 :Anger; ()
Ses03M_script02_1_M021 :Anger; ()
Ses03M_script02_1_M022 :Anger; ()
Ses03M_script02_1_M023 :Excited; ()
Ses03M_script02_1_M024 :Excited; ()
Ses03M_script02_1_M025 :Excited; ()
Ses03M_script02_1_M026 :Excited; ()
Ses03M_script02_1_M027 :Excited; ()
Ses03M_script02_1_M028 :Happiness; ()
Ses03M_script02_1_M029 :Sadness; ()
Ses03M_script02_1_M030 :Happiness; ()
Ses03M_script02_1_M031 :Happiness; ()
Ses03M_script02_1_M032 :Happiness; ()
Ses03M_script02_1_M033 :Frustration; ()
Ses03M_script02_1_M034 :Excited; ()
Ses03M_script02_1_M035 :Excited; ()
Ses03M_script02_1_M036 :Excited; ()
Ses03M_script02_1_M037 :Excited; ()
Ses03M_script02_1_M038 :Excited; ()
Ses03M_script02_1_M039 :Excited; ()
Ses03M_script02_1_M040 :Excited; ()
Ses03M_script02_1_M041 :Excited; ()
Ses03M_script02_1_M042 :Excited; ()
Ses03M_script02_1_M043 :Excited; ()
Ses03M_script02_1_M044 :Anger; ()
