Ses03M_script01_1_F000 :Sadness; ()
Ses03M_script01_1_F001 :Frustration; ()
Ses03M_script01_1_F002 :Fear; ()
Ses03M_script01_1_F003 :Anger; ()
Ses03M_script01_1_F004 :Sadness; ()
Ses03M_script01_1_F005 :Sadness; ()
Ses03M_script01_1_F006 :Anger; ()
Ses03M_script01_1_F007 :Frustration; ()
Ses03M_script01_1_F008 :Sadness; ()
Ses03M_script01_1_F009 :Frustration; ()
Ses03M_script01_1_F010 :Frustration; ()
Ses03M_script01_1_F011 :Frustration; ()
Ses03M_script01_1_F012 :Frustration; ()
Ses03M_script01_1_F013 :Frustration; :Sadness; ()
Ses03M_script01_1_F014 :Sadness; ()
Ses03M_script01_1_F015 :Frustration; ()
Ses03M_script01_1_F016 :Anger; ()
Ses03M_script01_1_F017 :Anger; ()
Ses03M_script01_1_F018 :Frustration; ()
Ses03M_script01_1_F019 :Frustration; ()
Ses03M_script01_1_F020 :Anger; ()
Ses03M_script01_1_F021 :Frustration; ()
Ses03M_script01_1_F022 :Anger; ()
Ses03M_script01_1_F023 :Frustration; ()
Ses03M_script01_1_F024 :Sadness; ()
Ses03M_script01_1_F025 :Frustration; ()
Ses03M_script01_1_F026 :Frustration; ()
Ses03M_script01_1_F027 :Frustration; ()
Ses03M_script01_1_F028 :Neutral state; ()
Ses03M_script01_1_F029 :Fear; ()
Ses03M_script01_1_F030 :Sadness; ()
Ses03M_script01_1_F031 :Frustration; ()
Ses03M_script01_1_F032 :Frustration; :Sadness; ()
Ses03M_script01_1_F033 :Frustration; ()
Ses03M_script01_1_F034 :Frustration; ()
Ses03M_script01_1_F035 :Frustration; ()
Ses03M_script01_1_F036 :Anger; ()
Ses03M_script01_1_F037 :Anger; ()
Ses03M_script01_1_F038 :Anger; ()
Ses03M_script01_1_F039 :Frustration; ()
Ses03M_script01_1_F040 :Sadness; ()
Ses03M_script01_1_F041 :Sadness; ()
Ses03M_script01_1_F042 :Frustration; ()
Ses03M_script01_1_F043 :Sadness; :Anger; ()
Ses03M_script01_1_F044 :Frustration; ()
Ses03M_script01_1_F045 :Sadness; ()
Ses03M_script01_1_F046 :Sadness; ()
Ses03M_script01_1_M000 :Sadness; ()
Ses03M_script01_1_M001 :Sadness; ()
Ses03M_script01_1_M002 :Sadness; ()
Ses03M_script01_1_M003 :Sadness; ()
Ses03M_script01_1_M004 :Sadness; ()
Ses03M_script01_1_M005 :Sadness; ()
Ses03M_script01_1_M006 :Sadness; ()
Ses03M_script01_1_M007 :Sadness; ()
Ses03M_script01_1_M008 :Frustration; ()
Ses03M_script01_1_M009 :Anger; ()
Ses03M_script01_1_M010 :Frustration; ()
Ses03M_script01_1_M011 :Anger; ()
Ses03M_script01_1_M012 :Anger; ()
Ses03M_script01_1_M013 :Frustration; ()
Ses03M_script01_1_M014 :Anger; ()
Ses03M_script01_1_M015 :Frustration; ()
Ses03M_script01_1_M016 :Anger; ()
Ses03M_script01_1_M017 :Frustration; ()
Ses03M_script01_1_M018 :Neutral state; ()
Ses03M_script01_1_M019 :Neutral state; ()
Ses03M_script01_1_M020 :Frustration; ()
Ses03M_script01_1_M021 :Frustration; ()
Ses03M_script01_1_M022 :Anger; ()
Ses03M_script01_1_M023 :Frustration; ()
Ses03M_script01_1_M024 :Frustration; ()
Ses03M_script01_1_M025 :Frustration; ()
Ses03M_script01_1_M026 :Frustration; :Sadness; :Anger; ()
Ses03M_script01_1_M027 :Anger; ()
Ses03M_script01_1_M028 :Neutral state; ()
Ses03M_script01_1_M029 :Frustration; ()
Ses03M_script01_1_M030 :Sadness; ()
Ses03M_script01_1_M031 :Sadness; ()
Ses03M_script01_1_M032 :Frustration; ()
Ses03M_script01_1_M033 :Frustration; ()
Ses03M_script01_1_M034 :Frustration; ()
Ses03M_script01_1_M035 :Frustration; ()
Ses03M_script01_1_M036 :Sadness; ()
Ses03M_script01_1_M037 :Sadness; ()
Ses03M_script01_1_M038 :Sadness; ()
Ses03M_script01_1_M039 :Anger; ()
Ses03M_script01_1_M040 :Anger; ()
Ses03M_script01_1_M041 :Anger; ()
Ses03M_script01_1_M042 :Frustration; ()
Ses03M_script01_1_M043 :Frustration; ()
Ses03M_script01_1_M044 :Frustration; ()
Ses03M_script01_1_M045 :Sadness; ()
Ses03M_script01_1_M046 :Sadness; ()
Ses03M_script01_1_M047 :Sadness; ()
