Ses03M_impro03_F000 :Happiness; ()
Ses03M_impro03_F001 :Happiness; ()
Ses03M_impro03_F002 :Surprise; ()
Ses03M_impro03_F003 :Happiness; ()
Ses03M_impro03_F004 :Happiness; ()
Ses03M_impro03_F005 :Happiness; ()
Ses03M_impro03_F006 :Happiness; ()
Ses03M_impro03_F007 :Happiness; ()
Ses03M_impro03_F008 :Surprise; ()
Ses03M_impro03_F009 :Happiness; ()
Ses03M_impro03_F010 :Happiness; ()
Ses03M_impro03_F011 :Happiness; ()
Ses03M_impro03_F012 :Happiness; ()
Ses03M_impro03_F013 :Happiness; ()
Ses03M_impro03_F014 :Disgust; ()
Ses03M_impro03_F015 :Neutral state; ()
Ses03M_impro03_F016 :Happiness; ()
Ses03M_impro03_F017 :Happiness; ()
Ses03M_impro03_F018 :Neutral state; ()
Ses03M_impro03_F019 :Happiness; ()
Ses03M_impro03_F020 :Surprise; ()
Ses03M_impro03_F021 :Happiness; ()
Ses03M_impro03_F022 :Happiness; ()
Ses03M_impro03_F023 :Happiness; ()
Ses03M_impro03_F024 :Happiness; ()
Ses03M_impro03_F025 :Happiness; ()
Ses03M_impro03_F026 :Happiness; ()
Ses03M_impro03_F027 :Happiness; ()
Ses03M_impro03_F028 :Surprise; ()
Ses03M_impro03_F029 :Surprise; ()
Ses03M_impro03_F030 :Surprise; ()
Ses03M_impro03_F031 :Surprise; ()
Ses03M_impro03_F032 :Surprise; ()
Ses03M_impro03_F033 :Happiness; ()
Ses03M_impro03_F034 :Neutral state; ()
Ses03M_impro03_F035 :Surprise; ()
Ses03M_impro03_F036 :Neutral state; ()
Ses03M_impro03_F037 :Sadness; ()
Ses03M_impro03_F038 :Surprise; ()
Ses03M_impro03_F039 :Surprise; ()
Ses03M_impro03_F040 :Anger; ()
Ses03M_impro03_F041 :Anger; ()
Ses03M_impro03_F042 :Disgust; ()
Ses03M_impro03_M000 :Happiness; ()
Ses03M_impro03_M001 :Happiness; ()
Ses03M_impro03_M002 :Excited; ()
Ses03M_impro03_M003 :Excited; ()
Ses03M_impro03_M004 :Happiness; ()
Ses03M_impro03_M005 :Happiness; ()
Ses03M_impro03_M006 :Happiness; ()
Ses03M_impro03_M007 :Happiness; ()
Ses03M_impro03_M008 :Happiness; ()
Ses03M_impro03_M009 :Happiness; ()
Ses03M_impro03_M010 :Happiness; ()
Ses03M_impro03_M011 :Happiness; ()
Ses03M_impro03_M012 :Happiness; ()
Ses03M_impro03_M013 :Happiness; ()
Ses03M_impro03_M014 :Happiness; ()
Ses03M_impro03_M015 :Happiness; ()
Ses03M_impro03_M016 :Happiness; ()
Ses03M_impro03_M017 :Happiness; ()
Ses03M_impro03_M018 :Happiness; ()
Ses03M_impro03_M019 :Happiness; ()
Ses03M_impro03_M020 :Happiness; ()
Ses03M_impro03_M021 :Happiness; ()
Ses03M_impro03_M022 :Happiness; ()
Ses03M_impro03_M023 :Happiness; ()
Ses03M_impro03_M024 :Happiness; ()
Ses03M_impro03_M025 :Happiness; ()
Ses03M_impro03_M026 :Happiness; ()
Ses03M_impro03_M027 :Happiness; ()
Ses03M_impro03_M028 :Neutral state; ()
Ses03M_impro03_M029 :Happiness; ()
Ses03M_impro03_M030 :Happiness; ()
Ses03M_impro03_M031 :Happiness; ()
Ses03M_impro03_M032 :Happiness; ()
Ses03M_impro03_M033 :Neutral state; ()
Ses03M_impro03_M034 :Happiness; ()
Ses03M_impro03_M035 :Excited; ()
Ses03M_impro03_M036 :Happiness; ()
Ses03M_impro03_M037 :Happiness; ()
Ses03M_impro03_M038 :Neutral state; ()
Ses03M_impro03_M039 :Happiness; ()
Ses03M_impro03_M040 :Excited; ()
