Ses03F_script02_2_F000 :Neutral state; ()
Ses03F_script02_2_F001 :Neutral state; ()
Ses03F_script02_2_F002 :Neutral state; ()
Ses03F_script02_2_F003 :Neutral state; ()
Ses03F_script02_2_F004 :Neutral state; ()
Ses03F_script02_2_F005 :Anger; ()
Ses03F_script02_2_F006 :Frustration; ()
Ses03F_script02_2_F007 :Neutral state; ()
Ses03F_script02_2_F008 :Frustration; ()
Ses03F_script02_2_F009 :Neutral state; ()
Ses03F_script02_2_F010 :Neutral state; ()
Ses03F_script02_2_F011 :Neutral state; ()
Ses03F_script02_2_F012 :Frustration; ()
Ses03F_script02_2_F013 :Frustration; ()
Ses03F_script02_2_F014 :Frustration; ()
Ses03F_script02_2_F015 :Frustration; ()
Ses03F_script02_2_F016 :Sadness; ()
Ses03F_script02_2_F017 :Sadness; ()
Ses03F_script02_2_F018 :Sadness; ()
Ses03F_script02_2_F019 :Sadness; ()
Ses03F_script02_2_F020 :Sadness; ()
Ses03F_script02_2_F021 :Sadness; ()
Ses03F_script02_2_F022 :Sadness; ()
Ses03F_script02_2_F023 :Happiness; ()
Ses03F_script02_2_F024 :Sadness; ()
Ses03F_script02_2_F025 :Sadness; ()
Ses03F_script02_2_F026 :Sadness; ()
Ses03F_script02_2_F027 :Sadness; ()
Ses03F_script02_2_F028 :Sadness; ()
Ses03F_script02_2_F029 :Frustration; ()
Ses03F_script02_2_F030 :Frustration; ()
Ses03F_script02_2_F031 :Frustration; ()
Ses03F_script02_2_F032 :Frustration; ()
Ses03F_script02_2_F033 :Frustration; ()
Ses03F_script02_2_F034 :Frustration; ()
Ses03F_script02_2_F035 :Frustration; ()
Ses03F_script02_2_F036 :Sadness; ()
Ses03F_script02_2_F037 :Neutral state; ()
Ses03F_script02_2_F038 :Sadness; ()
Ses03F_script02_2_F039 :Frustration; :Sadness; ()
Ses03F_script02_2_F040 :Sadness; ()
Ses03F_script02_2_F041 :Frustration; ()
Ses03F_script02_2_F042 :Frustration; ()
Ses03F_script02_2_F043 :Neutral state; ()
Ses03F_script02_2_F044 :Neutral state; ()
Ses03F_script02_2_F045 :Neutral state; ()
Ses03F_script02_2_F046 :Neutral state; ()
Ses03F_script02_2_F047 :Neutral state; ()
Ses03F_script02_2_F048 :Happiness; ()
Ses03F_script02_2_F049 :Neutral state; ()
Ses03F_script02_2_F050 :Neutral state; ()
Ses03F_script02_2_F051 :Sadness; ()
Ses03F_script02_2_F052 :Neutral state; ()
Ses03F_script02_2_M000 :Neutral state; ()
Ses03F_script02_2_M001 :Neutral state; ()
Ses03F_script02_2_M002 :Frustration; ()
Ses03F_script02_2_M003 :Frustration; ()
Ses03F_script02_2_M004 :Frustration; ()
Ses03F_script02_2_M005 :Neutral state; ()
Ses03F_script02_2_M006 :Frustration; ()
Ses03F_script02_2_M007 :Frustration; ()
Ses03F_script02_2_M008 :Neutral state; ()
Ses03F_script02_2_M009 :Frustration; ()
Ses03F_script02_2_M010 :Frustration; ()
Ses03F_script02_2_M011 :Frustration; ()
Ses03F_script02_2_M012 :Frustration; ()
Ses03F_script02_2_M013 :Frustration; ()
Ses03F_script02_2_M014 :Other; (confused)
Ses03F_script02_2_M015 :Other; (confused)
Ses03F_script02_2_M016 :Neutral state; ()
Ses03F_script02_2_M017 :Neutral state; ()
Ses03F_script02_2_M018 :Neutral state; ()
Ses03F_script02_2_M019 :Neutral state; ()
Ses03F_script02_2_M020 :Neutral state; ()
Ses03F_script02_2_M021 :Neutral state; ()
Ses03F_script02_2_M022 :Neutral state; ()
Ses03F_script02_2_M023 :Frustration; ()
Ses03F_script02_2_M024 :Frustration; ()
Ses03F_script02_2_M025 :Frustration; ()
Ses03F_script02_2_M026 :Anger; ()
Ses03F_script02_2_M027 :Frustration; :Anger; ()
Ses03F_script02_2_M028 :Frustration; :Anger; ()
Ses03F_script02_2_M029 :Frustration; ()
Ses03F_script02_2_M030 :Frustration; ()
Ses03F_script02_2_M031 :Frustration; ()
Ses03F_script02_2_M032 :Frustration; ()
Ses03F_script02_2_M033 :Frustration; ()
Ses03F_script02_2_M034 :Frustration; ()
Ses03F_script02_2_M035 :Frustration; ()
Ses03F_script02_2_M036 :Frustration; ()
Ses03F_script02_2_M037 :Surprise; ()
Ses03F_script02_2_M038 :Neutral state; ()
Ses03F_script02_2_M039 :Neutral state; ()
Ses03F_script02_2_M040 :Neutral state; ()
Ses03F_script02_2_M041 :Happiness; ()
Ses03F_script02_2_M042 :Neutral state; ()
Ses03F_script02_2_M043 :Neutral state; ()
Ses03F_script02_2_M044 :Neutral state; ()
Ses03F_script02_2_M045 :Neutral state; ()
