Ses03M_script01_1_F000 :Neutral state; ()
Ses03M_script01_1_F001 :Surprise; ()
Ses03M_script01_1_F002 :Surprise; ()
Ses03M_script01_1_F003 :Neutral state; ()
Ses03M_script01_1_F004 :Neutral state; ()
Ses03M_script01_1_F005 :Sadness; ()
Ses03M_script01_1_F006 :Frustration; ()
Ses03M_script01_1_F007 :Frustration; ()
Ses03M_script01_1_F008 :Sadness; ()
Ses03M_script01_1_F009 :Neutral state; ()
Ses03M_script01_1_F010 :Neutral state; ()
Ses03M_script01_1_F011 :Neutral state; ()
Ses03M_script01_1_F012 :Neutral state; ()
Ses03M_script01_1_F013 :Frustration; ()
Ses03M_script01_1_F014 :Frustration; ()
Ses03M_script01_1_F015 :Frustration; ()
Ses03M_script01_1_F016 :Frustration; :Anger; ()
Ses03M_script01_1_F017 :Neutral state; ()
Ses03M_script01_1_F018 :Neutral state; ()
Ses03M_script01_1_F019 :Neutral state; ()
Ses03M_script01_1_F020 :Frustration; ()
Ses03M_script01_1_F021 :Neutral state; ()
Ses03M_script01_1_F022 :Frustration; ()
Ses03M_script01_1_F023 :Neutral state; ()
Ses03M_script01_1_F024 :Neutral state; ()
Ses03M_script01_1_F025 :Frustration; ()
Ses03M_script01_1_F026 :Frustration; ()
Ses03M_script01_1_F027 :Neutral state; ()
Ses03M_script01_1_F028 :Neutral state; ()
Ses03M_script01_1_F029 :Neutral state; ()
Ses03M_script01_1_F030 :Neutral state; ()
Ses03M_script01_1_F031 :Frustration; ()
Ses03M_script01_1_F032 :Frustration; :Sadness; ()
Ses03M_script01_1_F033 :Frustration; ()
Ses03M_script01_1_F034 :Frustration; ()
Ses03M_script01_1_F035 :Neutral state; ()
Ses03M_script01_1_F036 :Surprise; ()
Ses03M_script01_1_F037 :Frustration; ()
Ses03M_script01_1_F038 :Frustration; ()
Ses03M_script01_1_F039 :Other; (annoyed)
Ses03M_script01_1_F040 :Neutral state; ()
Ses03M_script01_1_F041 :Frustration; ()
Ses03M_script01_1_F042 :Frustration; ()
Ses03M_script01_1_F043 :Frustration; ()
Ses03M_script01_1_F044 :Frustration; ()
Ses03M_script01_1_F045 :Sadness; ()
Ses03M_script01_1_F046 :Neutral state; ()
Ses03M_script01_1_M000 :Neutral state; ()
Ses03M_script01_1_M001 :Neutral state; ()
Ses03M_script01_1_M002 :Neutral state; ()
Ses03M_script01_1_M003 :Neutral state; ()
Ses03M_script01_1_M004 :Neutral state; ()
Ses03M_script01_1_M005 :Neutral state; ()
Ses03M_script01_1_M006 :Neutral state; ()
Ses03M_script01_1_M007 :Neutral state; ()
Ses03M_script01_1_M008 :Frustration; ()
Ses03M_script01_1_M009 :Frustration; ()
Ses03M_script01_1_M010 :Frustration; ()
Ses03M_script01_1_M011 :Frustration; ()
Ses03M_script01_1_M012 :Frustration; :Sadness; ()
Ses03M_script01_1_M013 :Neutral state; ()
Ses03M_script01_1_M014 :Frustration; ()
Ses03M_script01_1_M015 :Frustration; ()
Ses03M_script01_1_M016 :Frustration; ()
Ses03M_script01_1_M017 :Neutral state; ()
Ses03M_script01_1_M018 :Frustration; ()
Ses03M_script01_1_M019 :Neutral state; ()
Ses03M_script01_1_M020 :Frustration; ()
Ses03M_script01_1_M021 :Neutral state; ()
Ses03M_script01_1_M022 :Frustration; :Anger; ()
Ses03M_script01_1_M023 :Frustration; ()
Ses03M_script01_1_M024 :Frustration; ()
Ses03M_script01_1_M025 :Frustration; :Sadness; ()
Ses03M_script01_1_M026 :Frustration; :Sadness; ()
Ses03M_script01_1_M027 :Frustration; ()
Ses03M_script01_1_M028 :Frustration; ()
Ses03M_script01_1_M029 :Neutral state; ()
Ses03M_script01_1_M030 :Neutral state; ()
Ses03M_script01_1_M031 :Neutral state; ()
Ses03M_script01_1_M032 :Neutral state; ()
Ses03M_script01_1_M033 :Frustration; ()
Ses03M_script01_1_M034 :Frustration; ()
Ses03M_script01_1_M035 :Frustration; ()
Ses03M_script01_1_M036 :Frustration; ()
Ses03M_script01_1_M037 :Neutral state; ()
Ses03M_script01_1_M038 :Neutral state; ()
Ses03M_script01_1_M039 :Frustration; ()
Ses03M_script01_1_M040 :Frustration; ()
Ses03M_script01_1_M041 :Frustration; :Anger; ()
Ses03M_script01_1_M042 :Frustration; ()
Ses03M_script01_1_M043 :Neutral state; ()
Ses03M_script01_1_M044 :Neutral state; ()
Ses03M_script01_1_M045 :Frustration; ()
Ses03M_script01_1_M046 :Neutral state; ()
Ses03M_script01_1_M047 :Neutral state; ()
