Ses03M_script01_3_F000 :Happiness; ()
Ses03M_script01_3_F001 :Happiness; ()
Ses03M_script01_3_F002 :Happiness; ()
Ses03M_script01_3_F003 :Happiness; ()
Ses03M_script01_3_F004 :Sadness; ()
Ses03M_script01_3_F005 :Sadness; ()
Ses03M_script01_3_F006 :Sadness; ()
Ses03M_script01_3_F007 :Sadness; ()
Ses03M_script01_3_F008 :Sadness; ()
Ses03M_script01_3_F009 :Happiness; ()
Ses03M_script01_3_F010 :Happiness; ()
Ses03M_script01_3_F011 :Sadness; :Happiness; ()
Ses03M_script01_3_F012 :Happiness; ()
Ses03M_script01_3_F013 :Happiness; ()
Ses03M_script01_3_F014 :Happiness; ()
Ses03M_script01_3_F015 :Happiness; ()
Ses03M_script01_3_F016 :Happiness; ()
Ses03M_script01_3_F017 :Happiness; ()
Ses03M_script01_3_F018 :Happiness; ()
Ses03M_script01_3_F019 :Happiness; ()
Ses03M_script01_3_F020 :Happiness; ()
Ses03M_script01_3_F021 :Happiness; ()
Ses03M_script01_3_F022 :Happiness; ()
Ses03M_script01_3_F023 :Sadness; ()
Ses03M_script01_3_F024 :Sadness; ()
Ses03M_script01_3_F025 :Sadness; ()
Ses03M_script01_3_F026 :Sadness; ()
Ses03M_script01_3_F027 :Sadness; ()
Ses03M_script01_3_F028 :Sadness; ()
Ses03M_script01_3_F029 :Sadness; ()
Ses03M_script01_3_F030 :Sadness; ()
Ses03M_script01_3_F031 :Sadness; ()
Ses03M_script01_3_F032 :Sadness; ()
Ses03M_script01_3_F033 :Sadness; :Anger; ()
Ses03M_script01_3_F034 :Happiness; ()
Ses03M_script01_3_M000 :Happiness; ()
Ses03M_script01_3_M001 :Neutral state; ()
Ses03M_script01_3_M002 :Surprise; ()
Ses03M_script01_3_M003 :Surprise; ()
Ses03M_script01_3_M004 :Neutral state; ()
Ses03M_script01_3_M005 :Happiness; ()
Ses03M_script01_3_M006 :Happiness; ()
Ses03M_script01_3_M007 :Happiness; ()
Ses03M_script01_3_M008 :Happiness; ()
Ses03M_script01_3_M009 :Happiness; ()
Ses03M_script01_3_M010 :Happiness; ()
Ses03M_script01_3_M011 :Happiness; ()
Ses03M_script01_3_M012 :Happiness; ()
Ses03M_script01_3_M013 :Happiness; ()
Ses03M_script01_3_M014 :Sadness; ()
Ses03M_script01_3_M015 :Sadness; ()
Ses03M_script01_3_M016 :Happiness; ()
Ses03M_script01_3_M017 :Neutral state; ()
Ses03M_script01_3_M018 :Happiness; ()
Ses03M_script01_3_M019 :Excited; ()
Ses03M_script01_3_M020 :Happiness; ()
Ses03M_script01_3_M021 :Happiness; ()
Ses03M_script01_3_M022 :Happiness; ()
Ses03M_script01_3_M023 :Sadness; :Happiness; ()
Ses03M_script01_3_M024 :Sadness; ()
Ses03M_script01_3_M025 :Sadness; ()
Ses03M_script01_3_M026 :Sadness; ()
Ses03M_script01_3_M027 :Sadness; ()
Ses03M_script01_3_M028 :Sadness; ()
Ses03M_script01_3_M029 :Sadness; ()
Ses03M_script01_3_M030 :Sadness; ()
Ses03M_script01_3_M031 :Sadness; ()
Ses03M_script01_3_M032 :Sadness; ()
Ses03M_script01_3_M033 :Sadness; ()
Ses03M_script01_3_M034 :Sadness; ()
Ses03M_script01_3_M035 :Excited; ()
Ses03M_script01_3_M036 :Sadness; ()
Ses03M_script01_3_M037 :Sadness; ()
Ses03M_script01_3_M038 :Sadness; ()
Ses03M_script01_3_M039 :Sadness; ()
Ses03M_script01_3_M040 :Sadness; :Anger; ()
Ses03M_script01_3_M041 :Sadness; ()
Ses03M_script01_3_M042 :Sadness; ()
Ses03M_script01_3_M043 :Happiness; ()
Ses03M_script01_3_M044 :Happiness; ()
Ses03M_script01_3_M045 :Happiness; ()
Ses03M_script01_3_M046 :Happiness; ()
