Ses03F_script03_1_F000 :Neutral state; ()
Ses03F_script03_1_F001 :Neutral state; ()
Ses03F_script03_1_F002 :Neutral state; ()
Ses03F_script03_1_F003 :Excited; ()
Ses03F_script03_1_F004 :Excited; ()
Ses03F_script03_1_F005 :Excited; ()
Ses03F_script03_1_F006 :Excited; ()
Ses03F_script03_1_F007 :Neutral state; ()
Ses03F_script03_1_F008 :Neutral state; ()
Ses03F_script03_1_F009 :Excited; ()
Ses03F_script03_1_F010 :Neutral state; ()
Ses03F_script03_1_F011 :Neutral state; ()
Ses03F_script03_1_F012 :Neutral state; ()
Ses03F_script03_1_F013 :Neutral state; ()
Ses03F_script03_1_F014 :Sadness; ()
Ses03F_script03_1_F015 :Sadness; ()
Ses03F_script03_1_F016 :Neutral state; ()
Ses03F_script03_1_F017 :Neutral state; ()
Ses03F_script03_1_F018 :Neutral state; ()
Ses03F_script03_1_F019 :Excited; ()
Ses03F_script03_1_F020 :Neutral state; ()
Ses03F_script03_1_F021 :Happiness; ()
Ses03F_script03_1_F022 :Neutral state; ()
Ses03F_script03_1_F023 :Neutral state; ()
Ses03F_script03_1_F024 :Neutral state; ()
Ses03F_script03_1_F025 :Happiness; ()
Ses03F_script03_1_F026 :Happiness; ()
Ses03F_script03_1_F027 :Excited; ()
Ses03F_script03_1_F028 :Neutral state; ()
Ses03F_script03_1_M000 :Excited; ()
Ses03F_script03_1_M001 :Excited; ()
Ses03F_script03_1_M002 :Excited; ()
Ses03F_script03_1_M003 :Excited; ()
Ses03F_script03_1_M004 :Neutral state; ()
Ses03F_script03_1_M005 :Neutral state; ()
Ses03F_script03_1_M006 :Surprise; ()
Ses03F_script03_1_M007 :Excited; ()
Ses03F_script03_1_M008 :Neutral state; ()
Ses03F_script03_1_M009 :Neutral state; ()
Ses03F_script03_1_M010 :Other; (confused)
Ses03F_script03_1_M011 :Excited; ()
Ses03F_script03_1_M012 :Neutral state; ()
Ses03F_script03_1_M013 :Excited; ()
Ses03F_script03_1_M014 :Neutral state; ()
Ses03F_script03_1_M015 :Neutral state; ()
Ses03F_script03_1_M016 :Neutral state; ()
Ses03F_script03_1_M017 :Neutral state; ()
Ses03F_script03_1_M018 :Neutral state; ()
Ses03F_script03_1_M019 :Neutral state; ()
Ses03F_script03_1_M020 :Excited; ()
Ses03F_script03_1_M021 :Neutral state; ()
Ses03F_script03_1_M022 :Excited; ()
Ses03F_script03_1_M023 :Neutral state; ()
Ses03F_script03_1_M024 :Neutral state; ()
Ses03F_script03_1_M025 :Neutral state; ()
Ses03F_script03_1_M026 :Neutral state; ()
Ses03F_script03_1_M027 :Excited; ()
Ses03F_script03_1_M028 :Neutral state; ()
Ses03F_script03_1_M029 :Neutral state; ()
Ses03F_script03_1_M030 :Neutral state; ()
Ses03F_script03_1_M031 :Neutral state; ()
