Ses03F_script01_3_F000 :Happiness; ()
Ses03F_script01_3_F001 :Happiness; ()
Ses03F_script01_3_F002 :Happiness; ()
Ses03F_script01_3_F003 :Sadness; ()
Ses03F_script01_3_F004 :Frustration; ()
Ses03F_script01_3_F005 :Frustration; ()
Ses03F_script01_3_F006 :Frustration; ()
Ses03F_script01_3_F007 :Sadness; ()
Ses03F_script01_3_F008 :Sadness; ()
Ses03F_script01_3_F009 :Sadness; ()
Ses03F_script01_3_F010 :Sadness; ()
Ses03F_script01_3_F011 :Sadness; ()
Ses03F_script01_3_F012 :Excited; ()
Ses03F_script01_3_F013 :Happiness; ()
Ses03F_script01_3_F014 :Happiness; ()
Ses03F_script01_3_F015 :Frustration; ()
Ses03F_script01_3_F016 :Frustration; ()
Ses03F_script01_3_F017 :Frustration; ()
Ses03F_script01_3_F018 :Happiness; ()
Ses03F_script01_3_F019 :Frustration; ()
Ses03F_script01_3_F020 :Frustration; ()
Ses03F_script01_3_F021 :Happiness; ()
Ses03F_script01_3_F022 :Excited; ()
Ses03F_script01_3_F023 :Happiness; ()
Ses03F_script01_3_F024 :Excited; ()
Ses03F_script01_3_F025 :Sadness; ()
Ses03F_script01_3_F026 :Sadness; ()
Ses03F_script01_3_F027 :Sadness; ()
Ses03F_script01_3_F028 :Sadness; ()
Ses03F_script01_3_F029 :Sadness; ()
Ses03F_script01_3_F030 :Sadness; ()
Ses03F_script01_3_F031 :Sadness; ()
Ses03F_script01_3_F032 :Fear; ()
Ses03F_script01_3_F033 :Excited; :Fear; ()
Ses03F_script01_3_F034 :Excited; ()
Ses03F_script01_3_F035 :Excited; ()
Ses03F_script01_3_M000 :Neutral state; ()
Ses03F_script01_3_M001 :Neutral state; ()
Ses03F_script01_3_M002 :Neutral state; ()
Ses03F_script01_3_M003 :Frustration; ()
Ses03F_script01_3_M004 :Frustration; ()
Ses03F_script01_3_M005 :Frustration; ()
Ses03F_script01_3_M006 :Frustration; ()
Ses03F_script01_3_M007 :Frustration; ()
Ses03F_script01_3_M008 :Frustration; ()
Ses03F_script01_3_M009 :Frustration; ()
Ses03F_script01_3_M010 :Excited; ()
Ses03F_script01_3_M011 :Excited; ()
Ses03F_script01_3_M012 :Excited; ()
Ses03F_script01_3_M013 :Happiness; ()
Ses03F_script01_3_M014 :Happiness; ()
Ses03F_script01_3_M015 :Happiness; ()
Ses03F_script01_3_M016 :Excited; ()
Ses03F_script01_3_M017 :Excited; ()
Ses03F_script01_3_M018 :Excited; ()
Ses03F_script01_3_M019 :Excited; ()
Ses03F_script01_3_M020 :Excited; ()
Ses03F_script01_3_M021 :Excited; ()
Ses03F_script01_3_M022 :Excited; ()
Ses03F_script01_3_M023 :Happiness; ()
Ses03F_script01_3_M024 :Frustration; ()
Ses03F_script01_3_M025 :Sadness; ()
Ses03F_script01_3_M026 :Sadness; ()
Ses03F_script01_3_M027 :Frustration; ()
Ses03F_script01_3_M028 :Sadness; ()
Ses03F_script01_3_M029 :Frustration; ()
Ses03F_script01_3_M030 :Sadness; ()
Ses03F_script01_3_M031 :Sadness; ()
Ses03F_script01_3_M032 :Sadness; ()
Ses03F_script01_3_M033 :Sadness; ()
Ses03F_script01_3_M034 :Sadness; ()
Ses03F_script01_3_M035 :Sadness; ()
Ses03F_script01_3_M036 :Sadness; ()
Ses03F_script01_3_M037 :Sadness; ()
Ses03F_script01_3_M038 :Sadness; ()
Ses03F_script01_3_M039 :Frustration; ()
Ses03F_script01_3_M040 :Frustration; ()
Ses03F_script01_3_M041 :Frustration; ()
Ses03F_script01_3_M042 :Frustration; ()
Ses03F_script01_3_M043 :Frustration; ()
Ses03F_script01_3_M044 :Excited; ()
Ses03F_script01_3_M045 :Excited; ()
Ses03F_script01_3_M046 :Excited; ()
