Ses03M_script01_3_F000 :Excited; ()
Ses03M_script01_3_F001 :Excited; ()
Ses03M_script01_3_F002 :Excited; ()
Ses03M_script01_3_F003 :Excited; ()
Ses03M_script01_3_F004 :Sadness; ()
Ses03M_script01_3_F005 :Frustration; ()
Ses03M_script01_3_F006 :Frustration; :Sadness; ()
Ses03M_script01_3_F007 :Sadness; ()
Ses03M_script01_3_F008 :Frustration; :Sadness; ()
Ses03M_script01_3_F009 :Frustration; ()
Ses03M_script01_3_F010 :Frustration; ()
Ses03M_script01_3_F011 :Excited; ()
Ses03M_script01_3_F012 :Happiness; ()
Ses03M_script01_3_F013 :Excited; ()
Ses03M_script01_3_F014 :Excited; ()
Ses03M_script01_3_F015 :Excited; ()
Ses03M_script01_3_F016 :Excited; ()
Ses03M_script01_3_F017 :Happiness; ()
Ses03M_script01_3_F018 :Happiness; ()
Ses03M_script01_3_F019 :Excited; ()
Ses03M_script01_3_F020 :Excited; ()
Ses03M_script01_3_F021 :Excited; ()
Ses03M_script01_3_F022 :Excited; ()
Ses03M_script01_3_F023 :Frustration; ()
Ses03M_script01_3_F024 :Fear; ()
Ses03M_script01_3_F025 :Frustration; ()
Ses03M_script01_3_F026 :Frustration; ()
Ses03M_script01_3_F027 :Frustration; ()
Ses03M_script01_3_F028 :Frustration; ()
Ses03M_script01_3_F029 :Frustration; ()
Ses03M_script01_3_F030 :Sadness; ()
Ses03M_script01_3_F031 :Sadness; ()
Ses03M_script01_3_F032 :Excited; ()
Ses03M_script01_3_F033 :Sadness; ()
Ses03M_script01_3_F034 :Excited; ()
Ses03M_script01_3_M000 :Fear; ()
Ses03M_script01_3_M001 :Frustration; ()
Ses03M_script01_3_M002 :Frustration; ()
Ses03M_script01_3_M003 :Frustration; ()
Ses03M_script01_3_M004 :Frustration; ()
Ses03M_script01_3_M005 :Frustration; ()
Ses03M_script01_3_M006 :Fear; ()
Ses03M_script01_3_M007 :Excited; ()
Ses03M_script01_3_M008 :Excited; ()
Ses03M_script01_3_M009 :Excited; ()
Ses03M_script01_3_M010 :Frustration; ()
Ses03M_script01_3_M011 :Excited; ()
Ses03M_script01_3_M012 :Excited; ()
Ses03M_script01_3_M013 :Excited; ()
Ses03M_script01_3_M014 :Excited; ()
Ses03M_script01_3_M015 :Fear; ()
Ses03M_script01_3_M016 :Excited; ()
Ses03M_script01_3_M017 :Excited; ()
Ses03M_script01_3_M018 :Excited; ()
Ses03M_script01_3_M019 :Excited; ()
Ses03M_script01_3_M020 :Excited; ()
Ses03M_script01_3_M021 :Excited; ()
Ses03M_script01_3_M022 :Excited; ()
Ses03M_script01_3_M023 :Excited; ()
Ses03M_script01_3_M024 :Frustration; ()
Ses03M_script01_3_M025 :Frustration; ()
Ses03M_script01_3_M026 :Frustration; ()
Ses03M_script01_3_M027 :Frustration; ()
Ses03M_script01_3_M028 :Sadness; ()
Ses03M_script01_3_M029 :Sadness; ()
Ses03M_script01_3_M030 :Sadness; ()
Ses03M_script01_3_M031 :Sadness; ()
Ses03M_script01_3_M032 :Sadness; ()
Ses03M_script01_3_M033 :Sadness; ()
Ses03M_script01_3_M034 :Sadness; ()
Ses03M_script01_3_M035 :Sadness; ()
Ses03M_script01_3_M036 :Frustration; ()
Ses03M_script01_3_M037 :Frustration; ()
Ses03M_script01_3_M038 :Frustration; ()
Ses03M_script01_3_M039 :Frustration; ()
Ses03M_script01_3_M040 :Sadness; ()
Ses03M_script01_3_M041 :Sadness; ()
Ses03M_script01_3_M042 :Sadness; ()
Ses03M_script01_3_M043 :Sadness; ()
Ses03M_script01_3_M044 :Frustration; ()
Ses03M_script01_3_M045 :Excited; ()
Ses03M_script01_3_M046 :Excited; ()
