Ses03F_impro03_F000 :Excited; ()
Ses03F_impro03_F001 :Excited; ()
Ses03F_impro03_F002 :Excited; ()
Ses03F_impro03_F003 :Excited; ()
Ses03F_impro03_F004 :Excited; ()
Ses03F_impro03_F005 :Excited; ()
Ses03F_impro03_F006 :Excited; ()
Ses03F_impro03_F007 :Excited; ()
Ses03F_impro03_F008 :Excited; ()
Ses03F_impro03_F009 :Excited; ()
Ses03F_impro03_F010 :Excited; ()
Ses03F_impro03_F011 :Excited; ()
Ses03F_impro03_F012 :Excited; ()
Ses03F_impro03_F013 :Excited; ()
Ses03F_impro03_F014 :Happiness; ()
Ses03F_impro03_F015 :Happiness; ()
Ses03F_impro03_F016 :Excited; ()
Ses03F_impro03_F017 :Excited; ()
Ses03F_impro03_F018 :Happiness; ()
Ses03F_impro03_F019 :Happiness; ()
Ses03F_impro03_F020 :Excited; ()
Ses03F_impro03_F021 :Happiness; ()
Ses03F_impro03_F022 :Excited; ()
Ses03F_impro03_F023 :Excited; ()
Ses03F_impro03_F024 :Excited; ()
Ses03F_impro03_M000 :Excited; ()
Ses03F_impro03_M001 :Excited; ()
Ses03F_impro03_M002 :Excited; ()
Ses03F_impro03_M003 :Excited; ()
Ses03F_impro03_M004 :Excited; ()
Ses03F_impro03_M005 :Excited; ()
Ses03F_impro03_M006 :Excited; ()
Ses03F_impro03_M007 :Excited; ()
Ses03F_impro03_M008 :Excited; ()
Ses03F_impro03_M009 :Excited; ()
Ses03F_impro03_M010 :Excited; ()
Ses03F_impro03_M011 :Excited; ()
Ses03F_impro03_M012 :Excited; ()
Ses03F_impro03_M013 :Excited; ()
Ses03F_impro03_M014 :Happiness; ()
Ses03F_impro03_M015 :Happiness; ()
Ses03F_impro03_M016 :Happiness; ()
Ses03F_impro03_M017 :Excited; ()
Ses03F_impro03_M018 :Excited; ()
Ses03F_impro03_M019 :Excited; ()
Ses03F_impro03_M020 :Excited; ()
Ses03F_impro03_M021 :Excited; ()
