Ses03M_impro04_F000 :Fear; ()
Ses03M_impro04_F001 :Neutral state; ()
Ses03M_impro04_F002 :Frustration; ()
Ses03M_impro04_F003 :Neutral state; ()
Ses03M_impro04_F004 :Neutral state; ()
Ses03M_impro04_F005 :Frustration; ()
Ses03M_impro04_F006 :Frustration; ()
Ses03M_impro04_F007 :Sadness; ()
Ses03M_impro04_F008 :Sadness; ()
Ses03M_impro04_F009 :Sadness; ()
Ses03M_impro04_F010 :Excited; ()
Ses03M_impro04_F011 :Excited; ()
Ses03M_impro04_F012 :Frustration; ()
Ses03M_impro04_F013 :Frustration; ()
Ses03M_impro04_F014 :Neutral state; ()
Ses03M_impro04_F015 :Neutral state; ()
Ses03M_impro04_F016 :Frustration; ()
Ses03M_impro04_F017 :Frustration; ()
Ses03M_impro04_F018 :Frustration; ()
Ses03M_impro04_F019 :Frustration; ()
Ses03M_impro04_F020 :Frustration; ()
Ses03M_impro04_F021 :Neutral state; ()
Ses03M_impro04_F022 :Frustration; ()
Ses03M_impro04_F023 :Neutral state; ()
Ses03M_impro04_F024 :Frustration; ()
Ses03M_impro04_F025 :Neutral state; ()
Ses03M_impro04_F026 :Frustration; ()
Ses03M_impro04_F027 :Frustration; ()
Ses03M_impro04_F028 :Frustration; ()
Ses03M_impro04_F029 :Neutral state; ()
Ses03M_impro04_F030 :Neutral state; ()
Ses03M_impro04_F031 :Neutral state; ()
Ses03M_impro04_F032 :Neutral state; ()
Ses03M_impro04_M000 :Sadness; ()
Ses03M_impro04_M001 :Frustration; ()
Ses03M_impro04_M002 :Frustration; ()
Ses03M_impro04_M003 :Frustration; ()
Ses03M_impro04_M004 :Anger; ()
Ses03M_impro04_M005 :Frustration; ()
Ses03M_impro04_M006 :Frustration; ()
Ses03M_impro04_M007 :Frustration; ()
Ses03M_impro04_M008 :Anger; ()
Ses03M_impro04_M009 :Frustration; ()
Ses03M_impro04_M010 :Frustration; ()
Ses03M_impro04_M011 :Frustration; ()
Ses03M_impro04_M012 :Frustration; ()
Ses03M_impro04_M013 :Frustration; ()
Ses03M_impro04_M014 :Frustration; ()
Ses03M_impro04_M015 :Frustration; ()
Ses03M_impro04_M016 :Frustration; ()
Ses03M_impro04_M017 :Frustration; ()
Ses03M_impro04_M018 :Frustration; ()
Ses03M_impro04_M019 :Frustration; ()
Ses03M_impro04_M020 :Frustration; ()
Ses03M_impro04_M021 :Frustration; ()
Ses03M_impro04_M022 :Frustration; ()
Ses03M_impro04_M023 :Frustration; ()
Ses03M_impro04_M024 :Frustration; ()
Ses03M_impro04_M025 :Frustration; ()
Ses03M_impro04_M026 :Frustration; ()
Ses03M_impro04_M027 :Anger; ()
Ses03M_impro04_M028 :Frustration; ()
Ses03M_impro04_M029 :Frustration; ()
Ses03M_impro04_M030 :Sadness; :Anger; ()
Ses03M_impro04_M031 :Sadness; ()
Ses03M_impro04_M032 :Anger; ()
Ses03M_impro04_M033 :Frustration; ()
Ses03M_impro04_M034 :Frustration; ()
Ses03M_impro04_M035 :Frustration; ()
Ses03M_impro04_M036 :Frustration; ()
Ses03M_impro04_M037 :Frustration; ()
Ses03M_impro04_M038 :Frustration; ()
Ses03M_impro04_M039 :Frustration; ()
Ses03M_impro04_M040 :Frustration; ()
Ses03M_impro04_M041 :Frustration; ()
