Ses05M_impro02_M000 :act 4; :val 4; :dom 4; ()
Ses05M_impro02_M001 :act 3; :val 4; :dom 4; ()
Ses05M_impro02_M002 :act 4; :val 4; :dom 3; ()
Ses05M_impro02_M003 :act 3; :val 4; :dom 4; ()
Ses05M_impro02_M004 :act 4; :val 4; :dom 3; ()
Ses05M_impro02_M005 :act 3; :val 4; :dom 3; ()
Ses05M_impro02_M006 :act 2; :val 5; :dom 4; ()
Ses05M_impro02_M007 :act 2; :val 5; :dom 4; ()
Ses05M_impro02_M008 :act 3; :val 4; :dom 4; ()
Ses05M_impro02_M009 :act 3; :val 4; :dom 3; ()
Ses05M_impro02_M010 :act 3; :val 5; :dom 3; ()
Ses05M_impro02_M011 :act 2; :val 5; :dom 5; ()
Ses05M_impro02_M012 :act 1; :val 5; :dom 5; ()
Ses05M_impro02_M013 :act 2; :val 5; :dom 4; ()
Ses05M_impro02_M014 :act 2; :val 5; :dom 4; ()
Ses05M_impro02_M015 :act 2; :val 5; :dom 5; ()
Ses05M_impro02_M016 :act 3; :val 4; :dom 4; ()
Ses05M_impro02_M017 :act 2; :val 4; :dom 5; ()
Ses05M_impro02_M018 :act 2; :val 4; :dom 4; ()
Ses05M_impro02_M019 :act 3; :val 4; :dom 3; ()
Ses05M_impro02_M020 :act 3; :val 4; :dom 4; ()
Ses05M_impro02_M021 :act 3; :val 5; :dom 4; ()
Ses05M_impro02_M022 :act 2; :val 2; :dom 5; ()
Ses05M_impro02_M023 :act 2; :val 3; :dom 5; ()
Ses05M_impro02_M024 :act 2; :val 3; :dom 5; ()
Ses05M_impro02_M025 :act 2; :val 4; :dom 5; ()
Ses05M_impro02_M026 :act 2; :val 4; :dom 5; ()
Ses05M_impro02_M027 :act 3; :val 5; :dom 4; ()
Ses05M_impro02_M028 :act 2; :val 3; :dom 5; ()
Ses05M_impro02_M029 :act 2; :val 2; :dom 4; ()
Ses05M_impro02_M030 :act 2; :val 2; :dom 5; ()
Ses05M_impro02_M031 :act 3; :val 3; :dom 4; ()
Ses05M_impro02_M032 :act 3; :val 2; :dom 4; ()
