Ses05F_impro08_M000 :act 1; :val 5; :dom 5; ()
Ses05F_impro08_M001 :act 2; :val 4; :dom 5; ()
Ses05F_impro08_M002 :act 2; :val 4; :dom 5; ()
Ses05F_impro08_M003 :act 3; :val 4; :dom 4; ()
Ses05F_impro08_M004 :act 2; :val 4; :dom 5; ()
Ses05F_impro08_M005 :act 2; :val 5; :dom 5; ()
Ses05F_impro08_M006 :act 3; :val 4; :dom 4; ()
Ses05F_impro08_M007 :act 2; :val 4; :dom 4; ()
Ses05F_impro08_M008 :act 3; :val 3; :dom 4; ()
Ses05F_impro08_M009 :act 2; :val 4; :dom 3; ()
Ses05F_impro08_M010 :act 3; :val 4; :dom 4; ()
Ses05F_impro08_M011 :act 2; :val 4; :dom 5; ()
Ses05F_impro08_M012 :act 3; :val 4; :dom 4; ()
Ses05F_impro08_M013 :act 3; :val 4; :dom 3; ()
Ses05F_impro08_M014 :act 3; :val 3; :dom 3; ()
Ses05F_impro08_M015 :act 3; :val 3; :dom 5; ()
Ses05F_impro08_M016 :act 3; :val 3; :dom 4; ()
Ses05F_impro08_M017 :act 3; :val 3; :dom 3; ()
Ses05F_impro08_M018 :act 2; :val 3; :dom 4; ()
Ses05F_impro08_M019 :act 2; :val 3; :dom 4; ()
Ses05F_impro08_M020 :act 3; :val 3; :dom 4; ()
Ses05F_impro08_M021 :act 3; :val 4; :dom 4; ()
Ses05F_impro08_M022 :act 3; :val 4; :dom 3; ()
Ses05F_impro08_M023 :act 2; :val 4; :dom 4; ()
Ses05F_impro08_M024 :act 2; :val 3; :dom 4; ()
Ses05F_impro08_M025 :act 2; :val 2; :dom 4; ()
Ses05F_impro08_M026 :act 2; :val 2; :dom 4; ()
Ses05F_impro08_M027 :act 4; :val 3; :dom 3; ()
Ses05F_impro08_M028 :act 3; :val 2; :dom 4; ()
Ses05F_impro08_M029 :act 3; :val 2; :dom 4; ()
Ses05F_impro08_M030 :act 3; :val 2; :dom 3; ()
Ses05F_impro08_M031 :act 3; :val 2; :dom 3; ()
Ses05F_impro08_M032 :act 3; :val 3; :dom 3; ()
