Ses05F_impro05_M000 :act 4; :val 3; :dom 4; ()
Ses05F_impro05_M001 :act 4; :val 3; :dom 4; ()
Ses05F_impro05_M002 :act 4; :val 3; :dom 4; ()
Ses05F_impro05_M003 :act 3; :val 3; :dom 4; ()
Ses05F_impro05_M004 :act 4; :val 3; :dom 4; ()
Ses05F_impro05_M005 :act 3; :val 3; :dom 4; ()
Ses05F_impro05_M006 :act 3; :val 3; :dom 4; ()
Ses05F_impro05_M007 :act 4; :val 4; :dom 4; ()
Ses05F_impro05_M008 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M009 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M010 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M011 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M012 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M013 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M014 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M015 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M016 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M017 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M018 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M019 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M020 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M021 :act 4; :val 4; :dom 5; ()
Ses05F_impro05_M022 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M023 :act 4; :val 4; :dom 5; ()
Ses05F_impro05_M024 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M025 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M026 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M027 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M028 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M029 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M030 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M031 :act 4; :val 4; :dom 5; ()
Ses05F_impro05_M032 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M033 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M034 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M035 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M036 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M037 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M038 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M039 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M040 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M041 :act 4; :val 4; :dom 5; ()
Ses05F_impro05_M042 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M043 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M044 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M045 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M046 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M047 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_M048 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M049 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M050 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M051 :act 3; :val 3; :dom 5; ()
Ses05F_impro05_M052 :act 4; :val 3; :dom 5; ()
Ses05F_impro05_M053 :act 4; :val 2; :dom 5; ()
