Ses05F_impro05_M000 :Neutral state; :Overlap; ()
Ses05F_impro05_M001 :Neutral state; :Overlap; ()
Ses05F_impro05_M002 :Neutral state; :Overlap; ()
Ses05F_impro05_M003 :Neutral state; :Overlap; ()
Ses05F_impro05_M004 :Neutral state; :Overlap; ()
Ses05F_impro05_M005 :Neutral state; :Overlap; ()
Ses05F_impro05_M006 :Neutral state; :Overlap; ()
Ses05F_impro05_M007 :Neutral state; :Overlap; ()
Ses05F_impro05_M008 :Frustration; :Overlap; ()
Ses05F_impro05_M009 :Overlap; :Disgust; ()
Ses05F_impro05_M010 :Neutral state; :Overlap; ()
Ses05F_impro05_M011 :Frustration; :Overlap; ()
Ses05F_impro05_M012 :Frustration; :Overlap; ()
Ses05F_impro05_M013 :Frustration; :Overlap; ()
Ses05F_impro05_M014 :Neutral state; :Overlap; ()
Ses05F_impro05_M015 :Neutral state; :Overlap; ()
Ses05F_impro05_M016 :Other; :Overlap; (Annoyed)
Ses05F_impro05_M017 :Neutral state; :Overlap; ()
Ses05F_impro05_M018 :Neutral state; :Overlap; ()
Ses05F_impro05_M019 :Other; :Overlap; (Annoyed)
Ses05F_impro05_M020 :Frustration; :Overlap; ()
Ses05F_impro05_M021 :Frustration; :Overlap; ()
Ses05F_impro05_M022 :Neutral state; :Overlap; ()
Ses05F_impro05_M023 :Other; :Overlap; (Annoyed)
Ses05F_impro05_M024 :Frustration; :Overlap; ()
Ses05F_impro05_M025 :Frustration; :Overlap; ()
Ses05F_impro05_M026 :Other; :Overlap; (Annoyed)
Ses05F_impro05_M027 :Frustration; :Overlap; ()
Ses05F_impro05_M028 :Neutral state; :Overlap; ()
Ses05F_impro05_M029 :Neutral state; :Overlap; ()
Ses05F_impro05_M030 :Neutral state; :Overlap; ()
Ses05F_impro05_M031 :Sadness; :Overlap; (Condescension)
Ses05F_impro05_M032 :Neutral state; :Overlap; ()
Ses05F_impro05_M033 :Neutral state; :Overlap; ()
Ses05F_impro05_M034 :Overlap; :Surprise; ()
Ses05F_impro05_M035 :Neutral state; :Overlap; ()
Ses05F_impro05_M036 :Neutral state; :Overlap; ()
Ses05F_impro05_M037 :Overlap; :Surprise; ()
Ses05F_impro05_M038 :Frustration; :Overlap; ()
Ses05F_impro05_M039 :Frustration; :Overlap; ()
Ses05F_impro05_M040 :Overlap; :Disgust; ()
Ses05F_impro05_M041 :Overlap; :Disgust; ()
Ses05F_impro05_M042 :Other; :Overlap; (Annoyed)
Ses05F_impro05_M043 :Overlap; :Disgust; ()
Ses05F_impro05_M044 :Neutral state; :Overlap; ()
Ses05F_impro05_M045 :Frustration; :Overlap; ()
Ses05F_impro05_M046 :Frustration; :Overlap; ()
Ses05F_impro05_M047 :Frustration; :Overlap; ()
Ses05F_impro05_M048 :Neutral state; :Overlap; ()
Ses05F_impro05_M049 :Neutral state; :Overlap; ()
Ses05F_impro05_M050 :Neutral state; :Overlap; ()
Ses05F_impro05_M051 :Overlap; :Surprise; ()
Ses05F_impro05_M052 :Neutral state; :Overlap; ()
Ses05F_impro05_M053 :Neutral state; :Overlap; ()
