Ses05M_impro06_M000 :act 4; :val 4; :dom 3; ()
Ses05M_impro06_M001 :act 3; :val 4; :dom 3; ()
Ses05M_impro06_M002 :act 3; :val 4; :dom 3; ()
Ses05M_impro06_M003 :act 3; :val 4; :dom 4; ()
Ses05M_impro06_M004 :act 2; :val 4; :dom 4; ()
Ses05M_impro06_M005 :act 2; :val 2; :dom 4; ()
Ses05M_impro06_M006 :act 2; :val 3; :dom 4; ()
Ses05M_impro06_M007 :act 3; :val 3; :dom 4; ()
Ses05M_impro06_M008 :act 3; :val 4; :dom 3; ()
Ses05M_impro06_M009 :act 3; :val 4; :dom 3; ()
Ses05M_impro06_M010 :act 2; :val 4; :dom 4; ()
Ses05M_impro06_M011 :act 2; :val 4; :dom 3; ()
Ses05M_impro06_M012 :act 2; :val 4; :dom 4; ()
Ses05M_impro06_M013 :act 2; :val 5; :dom 4; ()
Ses05M_impro06_M014 :act 3; :val 4; :dom 4; ()
Ses05M_impro06_M015 :act 2; :val 5; :dom 4; ()
Ses05M_impro06_M016 :act 1; :val 5; :dom 4; ()
Ses05M_impro06_M017 :act 3; :val 4; :dom 3; ()
Ses05M_impro06_M018 :act 3; :val 4; :dom 3; ()
Ses05M_impro06_M019 :act 3; :val 5; :dom 3; ()
Ses05M_impro06_M020 :act 4; :val 4; :dom 2; ()
