Ses05F_impro07_M000 :act 2; :val 1; :dom 2; ()
Ses05F_impro07_M001 :act 2; :val 2; :dom 2; ()
Ses05F_impro07_M002 :act 2; :val 1; :dom 2; ()
Ses05F_impro07_M003 :act 3; :val 2; :dom 2; ()
Ses05F_impro07_M004 :act 3; :val 2; :dom 2; ()
Ses05F_impro07_M005 :act 3; :val 2; :dom 3; ()
Ses05F_impro07_M006 :act 3; :val 4; :dom 4; ()
Ses05F_impro07_M007 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M008 :act 2; :val 1; :dom 4; ()
Ses05F_impro07_M009 :act 3; :val 3; :dom 3; ()
Ses05F_impro07_M010 :act 3; :val 2; :dom 3; ()
Ses05F_impro07_M011 :act 3; :val 2; :dom 3; ()
Ses05F_impro07_M012 :act 2; :val 1; :dom 3; ()
Ses05F_impro07_M013 :act 2; :val 1; :dom 4; ()
Ses05F_impro07_M014 :act 3; :val 2; :dom 3; ()
Ses05F_impro07_M015 :act 2; :val 2; :dom 4; ()
Ses05F_impro07_M016 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M017 :act 2; :val 2; :dom 3; ()
Ses05F_impro07_M018 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M019 :act 4; :val 3; :dom 3; ()
Ses05F_impro07_M020 :act 3; :val 3; :dom 4; ()
Ses05F_impro07_M021 :act 3; :val 3; :dom 4; ()
Ses05F_impro07_M022 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M023 :act 4; :val 3; :dom 4; ()
Ses05F_impro07_M024 :act 2; :val 1; :dom 4; ()
Ses05F_impro07_M025 :act 2; :val 2; :dom 4; ()
Ses05F_impro07_M026 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M027 :act 3; :val 2; :dom 3; ()
Ses05F_impro07_M028 :act 2; :val 3; :dom 4; ()
Ses05F_impro07_M029 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M030 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M031 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M032 :act 2; :val 1; :dom 4; ()
Ses05F_impro07_M033 :act 3; :val 2; :dom 3; ()
Ses05F_impro07_M034 :act 3; :val 3; :dom 3; ()
Ses05F_impro07_M035 :act 3; :val 2; :dom 4; ()
Ses05F_impro07_M036 :act 3; :val 2; :dom 4; ()
