Ses01M_impro04_M000 :act 5; :val 4; :dom 1; ()
Ses01M_impro04_M001 :act 3; :val 5; :dom 1; ()
Ses01M_impro04_M002 :act 4; :val 5; :dom 1; ()
Ses01M_impro04_M003 :act 2; :val 4; :dom 2; ()
Ses01M_impro04_M004 :act 3; :val 4; :dom 2; ()
Ses01M_impro04_M005 :act 2; :val 4; :dom 3; ()
Ses01M_impro04_M006 :act 2; :val 3; :dom 4; ()
Ses01M_impro04_M007 :act 2; :val 4; :dom 4; ()
Ses01M_impro04_M008 :act 5; :val 4; :dom 4; ()
Ses01M_impro04_M009 :act 2; :val 4; :dom 4; ()
Ses01M_impro04_M010 :act 4; :val 4; :dom 2; ()
Ses01M_impro04_M011 :act 2; :val 2; :dom 3; ()
Ses01M_impro04_M012 :act 2; :val 2; :dom 3; ()
Ses01M_impro04_M013 :act 2; :val 4; :dom 4; ()
Ses01M_impro04_M014 :act 3; :val 4; :dom 4; ()
Ses01M_impro04_M015 :act 2; :val 4; :dom 4; ()
Ses01M_impro04_M016 :act 2; :val 3; :dom 4; ()
Ses01M_impro04_M017 :act 3; :val 4; :dom 4; ()
Ses01M_impro04_M018 :act 2; :val 5; :dom 3; ()
Ses01M_impro04_M019 :act 2; :val 4; :dom 3; ()
Ses01M_impro04_M020 :act 3; :val 4; :dom 3; ()
Ses01M_impro04_M021 :act 2; :val 4; :dom 2; ()
Ses01M_impro04_M022 :act 4; :val 4; :dom 1; ()
Ses01M_impro04_M023 :act 2; :val 4; :dom 4; ()
Ses01M_impro04_M024 :act 3; :val 4; :dom 2; ()
Ses01M_impro04_M025 :act 4; :val 5; :dom 1; ()
