Ses01F_impro01_M000 :act 4; :val 4; :dom 2; ()
Ses01F_impro01_M001 :act 4; :val 4; :dom 3; ()
Ses01F_impro01_M002 :act 3; :val 4; :dom 3; ()
Ses01F_impro01_M003 :act 3; :val 4; :dom 3; ()
Ses01F_impro01_M004 :act 3; :val 4; :dom 3; ()
Ses01F_impro01_M005 :act 3; :val 4; :dom 4; ()
Ses01F_impro01_M006 :act 3; :val 4; :dom 4; ()
Ses01F_impro01_M007 :act 3; :val 4; :dom 4; ()
Ses01F_impro01_M008 :act 3; :val 4; :dom 4; ()
Ses01F_impro01_M009 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_M010 :act 2; :val 4; :dom 4; ()
Ses01F_impro01_M011 :act 3; :val 4; :dom 4; ()
Ses01F_impro01_M012 :act 3; :val 4; :dom 3; ()
Ses01F_impro01_M013 :act 2; :val 5; :dom 4; ()
