Ses01F_impro03_M000 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M001 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M002 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M003 :act 2; :val 1; :dom 3; ()
Ses01F_impro03_M004 :act 3; :val 1; :dom 3; ()
Ses01F_impro03_M005 :act 3; :val 1; :dom 3; ()
Ses01F_impro03_M006 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M007 :act 3; :val 1; :dom 3; ()
Ses01F_impro03_M008 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M009 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M010 :act 3; :val 2; :dom 2; ()
Ses01F_impro03_M011 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M012 :act 4; :val 1; :dom 2; ()
Ses01F_impro03_M013 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M014 :act 3; :val 1; :dom 2; ()
Ses01F_impro03_M015 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M016 :act 4; :val 1; :dom 2; ()
Ses01F_impro03_M017 :act 4; :val 1; :dom 2; ()
Ses01F_impro03_M018 :act 4; :val 1; :dom 2; ()
Ses01F_impro03_M019 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M020 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M021 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M022 :act 4; :val 2; :dom 2; ()
Ses01F_impro03_M023 :act 3; :val 1; :dom 3; ()
Ses01F_impro03_M024 :act 3; :val 2; :dom 2; ()
