Ses01F_impro04_M000 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M001 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M002 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M003 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M004 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M005 :act 3; :val 3; :dom 3; ()
Ses01F_impro04_M006 :act 4; :val 2; :dom 2; ()
Ses01F_impro04_M007 :act 3; :val 3; :dom 2; ()
Ses01F_impro04_M008 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M009 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M010 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M011 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M012 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M013 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M014 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M015 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M016 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M017 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M018 :act 3; :val 3; :dom 2; ()
Ses01F_impro04_M019 :act 5; :val 3; :dom 2; ()
Ses01F_impro04_M020 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M021 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M022 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M023 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M024 :act 3; :val 3; :dom 3; ()
Ses01F_impro04_M025 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M026 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M027 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M028 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M029 :act 3; :val 3; :dom 3; ()
Ses01F_impro04_M030 :act 3; :val 3; :dom 3; ()
Ses01F_impro04_M031 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M032 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M033 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M034 :act 4; :val 3; :dom 2; ()
Ses01F_impro04_M035 :act 3; :val 3; :dom 3; ()
Ses01F_impro04_M036 :act 3; :val 3; :dom 2; ()
