Ses01F_impro07_M000 :act 3; :val 2; :dom 3; ()
Ses01F_impro07_M001 :act 2; :val 2; :dom 3; ()
Ses01F_impro07_M002 :act 2; :val 2; :dom 2; ()
Ses01F_impro07_M003 :act 2; :val 1; :dom 2; ()
Ses01F_impro07_M004 :act 2; :val 1; :dom 2; ()
Ses01F_impro07_M005 :act 2; :val 2; :dom 3; ()
Ses01F_impro07_M006 :act 2; :val 1; :dom 3; ()
Ses01F_impro07_M007 :act 2; :val 1; :dom 3; ()
Ses01F_impro07_M008 :act 3; :val 2; :dom 3; ()
Ses01F_impro07_M009 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M010 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M011 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M012 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M013 :act 2; :val 1; :dom 4; ()
Ses01F_impro07_M014 :act 2; :val 1; :dom 3; ()
Ses01F_impro07_M015 :act 2; :val 1; :dom 3; ()
Ses01F_impro07_M016 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M017 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M018 :act 3; :val 1; :dom 3; ()
Ses01F_impro07_M019 :act 2; :val 1; :dom 3; ()
