Ses01M_impro05_M000 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M001 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M002 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M003 :act 1; :val 5; :dom 4; ()
Ses01M_impro05_M004 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M005 :act 3; :val 4; :dom 3; ()
Ses01M_impro05_M006 :act 1; :val 5; :dom 5; ()
Ses01M_impro05_M007 :act 1; :val 5; :dom 5; ()
Ses01M_impro05_M008 :act 1; :val 5; :dom 5; ()
Ses01M_impro05_M009 :act 3; :val 4; :dom 4; ()
Ses01M_impro05_M010 :act 3; :val 5; :dom 4; ()
Ses01M_impro05_M011 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M012 :act 1; :val 5; :dom 5; ()
Ses01M_impro05_M013 :act 1; :val 4; :dom 5; ()
Ses01M_impro05_M014 :act 4; :val 4; :dom 3; ()
Ses01M_impro05_M015 :act 3; :val 3; :dom 2; ()
Ses01M_impro05_M016 :act 2; :val 4; :dom 3; ()
Ses01M_impro05_M017 :act 3; :val 4; :dom 3; ()
Ses01M_impro05_M018 :act 3; :val 4; :dom 3; ()
Ses01M_impro05_M019 :act 4; :val 4; :dom 3; ()
Ses01M_impro05_M020 :act 3; :val 4; :dom 3; ()
Ses01M_impro05_M021 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M022 :act 2; :val 4; :dom 3; ()
Ses01M_impro05_M023 :act 2; :val 5; :dom 5; ()
Ses01M_impro05_M024 :act 2; :val 4; :dom 4; ()
Ses01M_impro05_M025 :act 2; :val 5; :dom 4; ()
Ses01M_impro05_M026 :act 2; :val 5; :dom 5; ()
Ses01M_impro05_M027 :act 3; :val 4; :dom 3; ()
Ses01M_impro05_M028 :act 3; :val 5; :dom 3; ()
Ses01M_impro05_M029 :act 2; :val 5; :dom 2; ()
Ses01M_impro05_M030 :act 4; :val 5; :dom 1; ()
Ses01M_impro05_M031 :act 1; :val 5; :dom 3; ()
