Ses01M_impro01_M000 :act 2; :val 4; :dom 3; ()
Ses01M_impro01_M001 :act 3; :val 3; :dom 3; ()
Ses01M_impro01_M002 :act 3; :val 3; :dom 4; ()
Ses01M_impro01_M003 :act 3; :val 3; :dom 3; ()
Ses01M_impro01_M004 :act 3; :val 4; :dom 3; ()
Ses01M_impro01_M005 :act 2; :val 4; :dom 3; ()
Ses01M_impro01_M006 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M007 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M008 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M009 :act 2; :val 5; :dom 4; ()
Ses01M_impro01_M010 :act 3; :val 4; :dom 3; ()
Ses01M_impro01_M011 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M012 :act 2; :val 5; :dom 4; ()
Ses01M_impro01_M013 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M014 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M015 :act 2; :val 5; :dom 4; ()
Ses01M_impro01_M016 :act 2; :val 5; :dom 3; ()
Ses01M_impro01_M017 :act 1; :val 4; :dom 5; ()
Ses01M_impro01_M018 :act 1; :val 5; :dom 5; ()
Ses01M_impro01_M019 :act 1; :val 5; :dom 5; ()
Ses01M_impro01_M020 :act 1; :val 5; :dom 5; ()
Ses01M_impro01_M021 :act 2; :val 5; :dom 4; ()
Ses01M_impro01_M022 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M023 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M024 :act 3; :val 4; :dom 4; ()
Ses01M_impro01_M025 :act 1; :val 5; :dom 5; ()
Ses01M_impro01_M026 :act 2; :val 3; :dom 3; ()
Ses01M_impro01_M027 :act 3; :val 3; :dom 3; ()
Ses01M_impro01_M028 :act 3; :val 4; :dom 3; ()
Ses01M_impro01_M029 :act 2; :val 4; :dom 4; ()
Ses01M_impro01_M030 :act 2; :val 5; :dom 3; ()
Ses01M_impro01_M031 :act 2; :val 5; :dom 4; ()
Ses01M_impro01_M032 :act 2; :val 5; :dom 4; ()
Ses01M_impro01_M033 :act 2; :val 5; :dom 4; ()
