Ses01M_impro06_M000 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M001 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M002 :act 4; :val 4; :dom 1; ()
Ses01M_impro06_M003 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M004 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M005 :act 4; :val 4; :dom 1; ()
Ses01M_impro06_M006 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M007 :act 5; :val 5; :dom 1; ()
Ses01M_impro06_M008 :act 5; :val 5; :dom 1; ()
Ses01M_impro06_M009 :act 5; :val 4; :dom 1; ()
Ses01M_impro06_M010 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M011 :act 5; :val 5; :dom 1; ()
Ses01M_impro06_M012 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M013 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M014 :act 4; :val 5; :dom 2; ()
Ses01M_impro06_M015 :act 3; :val 5; :dom 2; ()
Ses01M_impro06_M016 :act 5; :val 5; :dom 2; ()
Ses01M_impro06_M017 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M018 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M019 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M020 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M021 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M022 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M023 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M024 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M025 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M026 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M027 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M028 :act 4; :val 5; :dom 1; ()
Ses01M_impro06_M029 :act 4; :val 4; :dom 1; ()
Ses01M_impro06_M030 :act 4; :val 4; :dom 1; ()
