Ses01F_impro02_F000 :act 3; :val 3; :dom 4; ()
Ses01F_impro02_F001 :act 4; :val 3; :dom 3; ()
Ses01F_impro02_F002 :act 4; :val 4; :dom 3; ()
Ses01F_impro02_F003 :act 3; :val 4; :dom 4; ()
Ses01F_impro02_F004 :act 3; :val 4; :dom 4; ()
Ses01F_impro02_F005 :act 3; :val 4; :dom 3; ()
Ses01F_impro02_F006 :act 3; :val 3; :dom 3; ()
Ses01F_impro02_F007 :act 2; :val 4; :dom 4; ()
Ses01F_impro02_F008 :act 3; :val 4; :dom 3; ()
Ses01F_impro02_F009 :act 3; :val 4; :dom 2; ()
Ses01F_impro02_F010 :act 4; :val 4; :dom 2; ()
Ses01F_impro02_F011 :act 4; :val 3; :dom 3; ()
Ses01F_impro02_F012 :act 3; :val 3; :dom 4; ()
Ses01F_impro02_F013 :act 2; :val 5; :dom 3; ()
Ses01F_impro02_F014 :act 3; :val 5; :dom 3; ()
Ses01F_impro02_F015 :act 3; :val 5; :dom 3; ()
Ses01F_impro02_F016 :act 4; :val 4; :dom 4; ()
Ses01F_impro02_F017 :act 2; :val 2; :dom 5; ()
Ses01F_impro02_F018 :act 3; :val 3; :dom 4; ()
Ses01F_impro02_F019 :act 4; :val 4; :dom 4; ()
Ses01F_impro02_F020 :act 3; :val 4; :dom 4; ()
