Ses01F_impro02_M000 :act 3; :val 4; :dom 3; ()
Ses01F_impro02_M001 :act 3; :val 4; :dom 3; ()
Ses01F_impro02_M002 :act 4; :val 5; :dom 2; ()
Ses01F_impro02_M003 :act 3; :val 4; :dom 2; ()
Ses01F_impro02_M004 :act 4; :val 4; :dom 2; ()
Ses01F_impro02_M005 :act 3; :val 4; :dom 2; ()
Ses01F_impro02_M006 :act 4; :val 5; :dom 2; ()
Ses01F_impro02_M007 :act 3; :val 5; :dom 2; ()
Ses01F_impro02_M008 :act 3; :val 4; :dom 2; ()
Ses01F_impro02_M009 :act 4; :val 4; :dom 2; ()
Ses01F_impro02_M010 :act 4; :val 4; :dom 2; ()
Ses01F_impro02_M011 :act 4; :val 4; :dom 1; ()
Ses01F_impro02_M012 :act 4; :val 5; :dom 2; ()
Ses01F_impro02_M013 :act 4; :val 5; :dom 1; ()
Ses01F_impro02_M014 :act 4; :val 5; :dom 1; ()
Ses01F_impro02_M015 :act 4; :val 4; :dom 2; ()
Ses01F_impro02_M016 :act 4; :val 4; :dom 1; ()
