Ses01F_impro06_M000 :act 4; :val 4; :dom 3; ()
Ses01F_impro06_M001 :act 3; :val 4; :dom 2; ()
Ses01F_impro06_M002 :act 5; :val 3; :dom 1; ()
Ses01F_impro06_M003 :act 4; :val 4; :dom 2; ()
Ses01F_impro06_M004 :act 5; :val 3; :dom 1; ()
Ses01F_impro06_M005 :act 4; :val 4; :dom 1; ()
Ses01F_impro06_M006 :act 5; :val 4; :dom 1; ()
Ses01F_impro06_M007 :act 5; :val 4; :dom 1; ()
Ses01F_impro06_M008 :act 4; :val 3; :dom 2; ()
Ses01F_impro06_M009 :act 5; :val 3; :dom 1; ()
Ses01F_impro06_M010 :act 4; :val 3; :dom 1; ()
Ses01F_impro06_M011 :act 5; :val 3; :dom 1; ()
Ses01F_impro06_M012 :act 4; :val 3; :dom 1; ()
Ses01F_impro06_M013 :act 4; :val 3; :dom 1; ()
Ses01F_impro06_M014 :act 5; :val 4; :dom 1; ()
Ses01F_impro06_M015 :act 4; :val 2; :dom 1; ()
Ses01F_impro06_M016 :act 3; :val 3; :dom 1; ()
Ses01F_impro06_M017 :act 3; :val 2; :dom 1; ()
