Ses03F_impro05_F000 :act 3; :val 4; :dom 4; ()
Ses03F_impro05_F001 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F002 :act 1; :val 4; :dom 4; ()
Ses03F_impro05_F003 :act 1; :val 4; :dom 4; ()
Ses03F_impro05_F004 :act 3; :val 4; :dom 4; ()
Ses03F_impro05_F005 :act 2; :val 3; :dom 4; ()
Ses03F_impro05_F006 :act 1; :val 4; :dom 4; ()
Ses03F_impro05_F007 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F008 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F009 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F010 :act 3; :val 4; :dom 3; ()
Ses03F_impro05_F011 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F012 :act 3; :val 4; :dom 4; ()
Ses03F_impro05_F013 :act 2; :val 4; :dom 3; ()
Ses03F_impro05_F014 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F015 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_F016 :act 2; :val 4; :dom 5; ()
Ses03F_impro05_F017 :act 2; :val 4; :dom 4; ()
Ses03F_impro05_M000 :act 4; :val 3; :dom 2; ()
Ses03F_impro05_M001 :act 4; :val 3; :dom 3; ()
Ses03F_impro05_M002 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M003 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M004 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M005 :act 3; :val 3; :dom 4; ()
Ses03F_impro05_M006 :act 4; :val 3; :dom 3; ()
Ses03F_impro05_M007 :act 4; :val 3; :dom 2; ()
Ses03F_impro05_M008 :act 4; :val 3; :dom 3; ()
Ses03F_impro05_M009 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M010 :act 4; :val 3; :dom 3; ()
Ses03F_impro05_M011 :act 4; :val 2; :dom 3; ()
Ses03F_impro05_M012 :act 4; :val 3; :dom 3; ()
Ses03F_impro05_M013 :act 3; :val 3; :dom 3; ()
Ses03F_impro05_M014 :act 3; :val 2; :dom 4; ()
