Ses03F_impro01_F000 :act 2; :val 2; :dom 3; ()
Ses03F_impro01_F001 :act 2; :val 3; :dom 3; ()
Ses03F_impro01_F002 :act 5; :val 3; :dom 3; ()
Ses03F_impro01_F003 :act 2; :val 3; :dom 4; ()
Ses03F_impro01_F004 :act 2; :val 3; :dom 3; ()
Ses03F_impro01_F005 :act 2; :val 4; :dom 4; ()
Ses03F_impro01_F006 :act 1; :val 4; :dom 4; ()
Ses03F_impro01_F007 :act 2; :val 4; :dom 4; ()
Ses03F_impro01_F008 :act 2; :val 4; :dom 2; ()
Ses03F_impro01_F009 :act 1; :val 4; :dom 3; ()
Ses03F_impro01_F010 :act 2; :val 4; :dom 4; ()
Ses03F_impro01_F011 :act 2; :val 2; :dom 3; ()
Ses03F_impro01_M000 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M001 :act 2; :val 3; :dom 3; ()
Ses03F_impro01_M002 :act 2; :val 3; :dom 4; ()
Ses03F_impro01_M003 :act 2; :val 3; :dom 3; ()
Ses03F_impro01_M004 :act 4; :val 3; :dom 3; ()
Ses03F_impro01_M005 :act 2; :val 4; :dom 3; ()
Ses03F_impro01_M006 :act 3; :val 3; :dom 3; ()
Ses03F_impro01_M007 :act 2; :val 3; :dom 4; ()
Ses03F_impro01_M008 :act 4; :val 3; :dom 3; ()
Ses03F_impro01_M009 :act 2; :val 3; :dom 3; ()
Ses03F_impro01_M010 :act 4; :val 3; :dom 4; ()
Ses03F_impro01_M011 :act 2; :val 4; :dom 5; ()
