Ses03M_impro01_F000 :act 3; :val 4; :dom 4; ()
Ses03M_impro01_F001 :act 2; :val 3; :dom 4; ()
Ses03M_impro01_F002 :act 2; :val 5; :dom 3; ()
Ses03M_impro01_F003 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F004 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F005 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_F006 :act 4; :val 5; :dom 4; ()
Ses03M_impro01_F007 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F008 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_F009 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F010 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F011 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F012 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_F013 :act 3; :val 4; :dom 3; ()
Ses03M_impro01_F014 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_F015 :act 2; :val 4; :dom 5; ()
Ses03M_impro01_F016 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F017 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F018 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_F019 :act 2; :val 4; :dom 5; ()
Ses03M_impro01_F020 :act 3; :val 4; :dom 4; ()
Ses03M_impro01_F021 :act 1; :val 4; :dom 5; ()
Ses03M_impro01_F022 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_F023 :act 1; :val 5; :dom 5; ()
Ses03M_impro01_F024 :act 2; :val 5; :dom 4; ()
Ses03M_impro01_F025 :act 1; :val 5; :dom 4; ()
Ses03M_impro01_M000 :act 3; :val 4; :dom 4; ()
Ses03M_impro01_M001 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_M002 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_M003 :act 2; :val 5; :dom 3; ()
Ses03M_impro01_M004 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_M005 :act 4; :val 4; :dom 3; ()
Ses03M_impro01_M006 :act 4; :val 4; :dom 3; ()
Ses03M_impro01_M007 :act 2; :val 4; :dom 5; ()
Ses03M_impro01_M008 :act 3; :val 5; :dom 4; ()
Ses03M_impro01_M009 :act 2; :val 5; :dom 4; ()
Ses03M_impro01_M010 :act 4; :val 5; :dom 4; ()
Ses03M_impro01_M011 :act 2; :val 5; :dom 4; ()
Ses03M_impro01_M012 :act 3; :val 4; :dom 4; ()
Ses03M_impro01_M013 :act 2; :val 3; :dom 3; ()
Ses03M_impro01_M014 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_M015 :act 1; :val 5; :dom 3; ()
Ses03M_impro01_M016 :act 3; :val 4; :dom 4; ()
Ses03M_impro01_M017 :act 2; :val 2; :dom 4; ()
Ses03M_impro01_M018 :act 1; :val 5; :dom 5; ()
Ses03M_impro01_M019 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_M020 :act 3; :val 4; :dom 4; ()
Ses03M_impro01_M021 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_M022 :act 2; :val 4; :dom 3; ()
Ses03M_impro01_M023 :act 1; :val 5; :dom 4; ()
Ses03M_impro01_M024 :act 2; :val 4; :dom 4; ()
Ses03M_impro01_M025 :act 3; :val 4; :dom 3; ()
Ses03M_impro01_M026 :act 4; :val 4; :dom 3; ()
Ses03M_impro01_M027 :act 2; :val 5; :dom 4; ()
Ses03M_impro01_M028 :act 1; :val 5; :dom 5; ()
Ses03M_impro01_M029 :act 1; :val 5; :dom 5; ()
