Ses03M_impro08b_F000 :act 4; :val 4; :dom 4; ()
Ses03M_impro08b_F001 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F002 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F003 :act 3; :val 4; :dom 4; ()
Ses03M_impro08b_F004 :act 1; :val 5; :dom 5; ()
Ses03M_impro08b_F005 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F006 :act 3; :val 5; :dom 4; ()
Ses03M_impro08b_F007 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F008 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F009 :act 2; :val 5; :dom 4; ()
Ses03M_impro08b_F010 :act 3; :val 4; :dom 5; ()
Ses03M_impro08b_F011 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F012 :act 2; :val 4; :dom 4; ()
Ses03M_impro08b_F013 :act 2; :val 5; :dom 5; ()
Ses03M_impro08b_F014 :act 2; :val 4; :dom 4; ()
Ses03M_impro08b_F015 :act 2; :val 5; :dom 4; ()
Ses03M_impro08b_F016 :act 3; :val 4; :dom 2; ()
Ses03M_impro08b_F017 :act 2; :val 4; :dom 5; ()
Ses03M_impro08b_F018 :act 2; :val 4; :dom 4; ()
Ses03M_impro08b_F019 :act 2; :val 3; :dom 5; ()
Ses03M_impro08b_F020 :act 3; :val 4; :dom 4; ()
Ses03M_impro08b_F021 :act 2; :val 4; :dom 3; ()
Ses03M_impro08b_F022 :act 3; :val 4; :dom 4; ()
Ses03M_impro08b_F023 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_F024 :act 3; :val 2; :dom 3; ()
Ses03M_impro08b_M000 :act 2; :val 3; :dom 3; ()
Ses03M_impro08b_M001 :act 2; :val 3; :dom 3; ()
Ses03M_impro08b_M002 :act 3; :val 4; :dom 3; ()
Ses03M_impro08b_M003 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M004 :act 3; :val 4; :dom 3; ()
Ses03M_impro08b_M005 :act 3; :val 3; :dom 4; ()
Ses03M_impro08b_M006 :act 3; :val 4; :dom 4; ()
Ses03M_impro08b_M007 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M008 :act 3; :val 4; :dom 3; ()
Ses03M_impro08b_M009 :act 4; :val 3; :dom 2; ()
Ses03M_impro08b_M010 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_M011 :act 2; :val 3; :dom 3; ()
Ses03M_impro08b_M012 :act 3; :val 3; :dom 4; ()
Ses03M_impro08b_M013 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M014 :act 3; :val 3; :dom 4; ()
Ses03M_impro08b_M015 :act 2; :val 4; :dom 5; ()
Ses03M_impro08b_M016 :act 2; :val 3; :dom 3; ()
Ses03M_impro08b_M017 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M018 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M019 :act 2; :val 3; :dom 4; ()
Ses03M_impro08b_M020 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M021 :act 3; :val 3; :dom 3; ()
Ses03M_impro08b_M022 :act 2; :val 3; :dom 4; ()
