Ses05F_impro05_F000 :act 4; :val 4; :dom 3; ()
Ses05F_impro05_F001 :act 4; :val 4; :dom 3; ()
Ses05F_impro05_F002 :act 4; :val 3; :dom 3; ()
Ses05F_impro05_F003 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F004 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F005 :act 4; :val 4; :dom 3; ()
Ses05F_impro05_F006 :act 4; :val 3; :dom 3; ()
Ses05F_impro05_F007 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F008 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F009 :act 4; :val 4; :dom 4; ()
Ses05F_impro05_F010 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F011 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F012 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F013 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F014 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F015 :act 2; :val 3; :dom 4; ()
Ses05F_impro05_F016 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F017 :act 2; :val 5; :dom 5; ()
Ses05F_impro05_F018 :act 2; :val 5; :dom 5; ()
Ses05F_impro05_F019 :act 2; :val 4; :dom 5; ()
Ses05F_impro05_F020 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F021 :act 2; :val 5; :dom 5; ()
Ses05F_impro05_F022 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F023 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F024 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F025 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F026 :act 2; :val 5; :dom 5; ()
Ses05F_impro05_F027 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F028 :act 3; :val 4; :dom 4; ()
Ses05F_impro05_F029 :act 2; :val 4; :dom 5; ()
Ses05F_impro05_F030 :act 3; :val 4; :dom 4; ()
Ses05F_impro05_F031 :act 3; :val 4; :dom 5; ()
Ses05F_impro05_F032 :act 2; :val 5; :dom 5; ()
Ses05F_impro05_F033 :act 2; :val 4; :dom 4; ()
Ses05F_impro05_F034 :act 2; :val 4; :dom 3; ()
Ses05F_impro05_F035 :act 3; :val 4; :dom 3; ()
Ses05F_impro05_F036 :act 2; :val 5; :dom 5; ()
Ses05F_impro05_F037 :act 3; :val 4; :dom 4; ()
