Ses05M_impro04_F000 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F001 :act 3; :val 5; :dom 4; ()
Ses05M_impro04_F002 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F003 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F004 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F005 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F006 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F007 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F008 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_F009 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_F010 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F011 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F012 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F013 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F014 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F015 :act 2; :val 4; :dom 3; ()
Ses05M_impro04_F016 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F017 :act 2; :val 4; :dom 3; ()
Ses05M_impro04_F018 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F019 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F020 :act 4; :val 4; :dom 3; ()
Ses05M_impro04_F021 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F022 :act 3; :val 3; :dom 4; ()
Ses05M_impro04_F023 :act 2; :val 2; :dom 3; ()
Ses05M_impro04_F024 :act 3; :val 2; :dom 4; ()
Ses05M_impro04_F025 :act 2; :val 2; :dom 4; ()
Ses05M_impro04_F026 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F027 :act 2; :val 4; :dom 3; ()
Ses05M_impro04_F028 :act 3; :val 2; :dom 3; ()
Ses05M_impro04_F029 :act 3; :val 2; :dom 4; ()
Ses05M_impro04_F030 :act 3; :val 2; :dom 4; ()
Ses05M_impro04_F031 :act 3; :val 2; :dom 3; ()
Ses05M_impro04_F032 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F033 :act 2; :val 3; :dom 4; ()
Ses05M_impro04_F034 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_F035 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F036 :act 3; :val 2; :dom 3; ()
Ses05M_impro04_F037 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_F038 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M000 :act 2; :val 5; :dom 5; ()
Ses05M_impro04_M001 :act 2; :val 5; :dom 5; ()
Ses05M_impro04_M002 :act 2; :val 5; :dom 5; ()
Ses05M_impro04_M003 :act 2; :val 4; :dom 5; ()
Ses05M_impro04_M004 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M005 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M006 :act 2; :val 5; :dom 5; ()
Ses05M_impro04_M007 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M008 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M009 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M010 :act 3; :val 3; :dom 4; ()
Ses05M_impro04_M011 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M012 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M013 :act 2; :val 4; :dom 5; ()
Ses05M_impro04_M014 :act 2; :val 4; :dom 5; ()
Ses05M_impro04_M015 :act 2; :val 4; :dom 3; ()
Ses05M_impro04_M016 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M017 :act 1; :val 4; :dom 5; ()
Ses05M_impro04_M018 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M019 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M020 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M021 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M022 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M023 :act 2; :val 4; :dom 5; ()
Ses05M_impro04_M024 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M025 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M026 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M027 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M028 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M029 :act 2; :val 3; :dom 3; ()
Ses05M_impro04_M030 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M031 :act 2; :val 4; :dom 5; ()
Ses05M_impro04_M032 :act 2; :val 5; :dom 5; ()
Ses05M_impro04_M033 :act 3; :val 3; :dom 4; ()
Ses05M_impro04_M034 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_M035 :act 2; :val 4; :dom 4; ()
Ses05M_impro04_M036 :act 2; :val 5; :dom 4; ()
Ses05M_impro04_M037 :act 3; :val 4; :dom 3; ()
Ses05M_impro04_M038 :act 2; :val 3; :dom 4; ()
Ses05M_impro04_M039 :act 3; :val 4; :dom 4; ()
Ses05M_impro04_M040 :act 2; :val 3; :dom 4; ()
Ses05M_impro04_M041 :act 3; :val 4; :dom 4; ()
