Ses05F_impro03_F000 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F001 :act 3; :val 1; :dom 3; ()
Ses05F_impro03_F002 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_F003 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_F004 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_F005 :act 3; :val 1; :dom 5; ()
Ses05F_impro03_F006 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F007 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_F008 :act 1; :val 1; :dom 4; ()
Ses05F_impro03_F009 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_F010 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_F011 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F012 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F013 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F014 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F015 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F016 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F017 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F018 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F019 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F020 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F021 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F022 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F023 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F024 :act 3; :val 3; :dom 3; ()
Ses05F_impro03_F025 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F026 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F027 :act 2; :val 1; :dom 4; ()
Ses05F_impro03_F028 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F029 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F030 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_F031 :act 4; :val 2; :dom 4; ()
Ses05F_impro03_F032 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F033 :act 3; :val 2; :dom 5; ()
Ses05F_impro03_F034 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F035 :act 2; :val 1; :dom 4; ()
Ses05F_impro03_F036 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F037 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_F038 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F039 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F040 :act 2; :val 2; :dom 3; ()
Ses05F_impro03_F041 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F042 :act 2; :val 1; :dom 4; ()
Ses05F_impro03_F043 :act 2; :val 1; :dom 4; ()
Ses05F_impro03_F044 :act 2; :val 2; :dom 3; ()
Ses05F_impro03_F045 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F046 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F047 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F048 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F049 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F050 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F051 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F052 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_F053 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F054 :act 4; :val 2; :dom 3; ()
Ses05F_impro03_F055 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_F056 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_F057 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F058 :act 2; :val 2; :dom 3; ()
Ses05F_impro03_F059 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_F060 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M000 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M001 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M002 :act 1; :val 3; :dom 5; ()
Ses05F_impro03_M003 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M004 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M005 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M006 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M007 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M008 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M009 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M010 :act 3; :val 2; :dom 5; ()
Ses05F_impro03_M011 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M012 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_M013 :act 1; :val 2; :dom 5; ()
Ses05F_impro03_M014 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M015 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M016 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M017 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M018 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M019 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M020 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M021 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M022 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M023 :act 2; :val 3; :dom 4; ()
Ses05F_impro03_M024 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M025 :act 2; :val 3; :dom 3; ()
Ses05F_impro03_M026 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_M027 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M028 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_M029 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M030 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M031 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M032 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M033 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M034 :act 3; :val 2; :dom 5; ()
Ses05F_impro03_M035 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M036 :act 3; :val 2; :dom 5; ()
Ses05F_impro03_M037 :act 2; :val 2; :dom 5; ()
Ses05F_impro03_M038 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M039 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M040 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M041 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M042 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M043 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M044 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_M045 :act 3; :val 2; :dom 5; ()
Ses05F_impro03_M046 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M047 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_M048 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M049 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_M050 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M051 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M052 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M053 :act 2; :val 2; :dom 3; ()
Ses05F_impro03_M054 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M055 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M056 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M057 :act 2; :val 1; :dom 5; ()
Ses05F_impro03_M058 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M059 :act 4; :val 2; :dom 3; ()
Ses05F_impro03_M060 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M061 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M062 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_M063 :act 2; :val 2; :dom 4; ()
Ses05F_impro03_M064 :act 3; :val 2; :dom 3; ()
Ses05F_impro03_M065 :act 1; :val 1; :dom 5; ()
Ses05F_impro03_M066 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M067 :act 3; :val 2; :dom 4; ()
Ses05F_impro03_M068 :act 2; :val 2; :dom 5; ()
