Ses04F_impro07_F000 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F001 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F002 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F003 :act 2; :val 1; :dom 4; ()
Ses04F_impro07_F004 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F005 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F006 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F007 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F008 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F009 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F010 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F011 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F012 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F013 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F014 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F015 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F016 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F017 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F018 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_F019 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_F020 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F021 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F022 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F023 :act 4; :val 2; :dom 2; ()
Ses04F_impro07_F024 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_F025 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F026 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F027 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F028 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F029 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F030 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F031 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_F032 :act 2; :val 3; :dom 2; ()
Ses04F_impro07_F033 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_F034 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F035 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F036 :act 2; :val 2; :dom 2; ()
Ses04F_impro07_F037 :act 2; :val 1; :dom 3; ()
Ses04F_impro07_F038 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F039 :act 3; :val 2; :dom 4; ()
Ses04F_impro07_F040 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F041 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_F042 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_F043 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F044 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F045 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F046 :act 3; :val 2; :dom 4; ()
Ses04F_impro07_F047 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_F048 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F049 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F050 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F051 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_F052 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F053 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_F054 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_F055 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_F056 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_F057 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F058 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F059 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_F060 :act 4; :val 2; :dom 4; ()
Ses04F_impro07_F061 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_F062 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_F063 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_F064 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_F065 :act 2; :val 2; :dom 2; ()
Ses04F_impro07_F066 :act 2; :val 3; :dom 4; ()
Ses04F_impro07_F067 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_F068 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_F069 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_F070 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F071 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F072 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_F073 :act 2; :val 3; :dom 4; ()
Ses04F_impro07_F074 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_F075 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_F076 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_F077 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F078 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_F079 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M000 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M001 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M002 :act 4; :val 2; :dom 3; ()
Ses04F_impro07_M003 :act 4; :val 1; :dom 3; ()
Ses04F_impro07_M004 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M005 :act 2; :val 2; :dom 3; ()
Ses04F_impro07_M006 :act 2; :val 2; :dom 4; ()
Ses04F_impro07_M007 :act 3; :val 2; :dom 4; ()
Ses04F_impro07_M008 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M009 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M010 :act 4; :val 2; :dom 3; ()
Ses04F_impro07_M011 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M012 :act 4; :val 2; :dom 2; ()
Ses04F_impro07_M013 :act 4; :val 2; :dom 4; ()
Ses04F_impro07_M014 :act 4; :val 2; :dom 4; ()
Ses04F_impro07_M015 :act 4; :val 2; :dom 3; ()
Ses04F_impro07_M016 :act 4; :val 2; :dom 2; ()
Ses04F_impro07_M017 :act 4; :val 2; :dom 3; ()
Ses04F_impro07_M018 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M019 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M020 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M021 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M022 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M023 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M024 :act 4; :val 2; :dom 3; ()
Ses04F_impro07_M025 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_M026 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M027 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M028 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M029 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M030 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M031 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_M032 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M033 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M034 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_M035 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M036 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M037 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_M038 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M039 :act 3; :val 2; :dom 4; ()
Ses04F_impro07_M040 :act 4; :val 2; :dom 2; ()
Ses04F_impro07_M041 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_M042 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M043 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M044 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M045 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M046 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M047 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M048 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M049 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_M050 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M051 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M052 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M053 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M054 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M055 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M056 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M057 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M058 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M059 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M060 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M061 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_M062 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_M063 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M064 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M065 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M066 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_M067 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M068 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_M069 :act 3; :val 2; :dom 2; ()
Ses04F_impro07_M070 :act 4; :val 3; :dom 2; ()
Ses04F_impro07_M071 :act 3; :val 2; :dom 3; ()
Ses04F_impro07_M072 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_M073 :act 4; :val 2; :dom 2; ()
Ses04F_impro07_M074 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_M075 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M076 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M077 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_M078 :act 2; :val 3; :dom 2; ()
Ses04F_impro07_M079 :act 2; :val 3; :dom 3; ()
Ses04F_impro07_M080 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M081 :act 3; :val 3; :dom 4; ()
Ses04F_impro07_M082 :act 3; :val 3; :dom 2; ()
Ses04F_impro07_M083 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M084 :act 4; :val 3; :dom 3; ()
Ses04F_impro07_M085 :act 3; :val 3; :dom 3; ()
Ses04F_impro07_M086 :act 4; :val 3; :dom 2; ()
