Ses02F_impro02_F000 :act 4; :val 3; :dom 2; ()
Ses02F_impro02_F001 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_F002 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_F003 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_F004 :act 3; :val 4; :dom 1; ()
Ses02F_impro02_F005 :act 4; :val 4; :dom 1; ()
Ses02F_impro02_F006 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_F007 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_F008 :act 4; :val 4; :dom 3; ()
Ses02F_impro02_F009 :act 4; :val 4; :dom 1; ()
Ses02F_impro02_F010 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_F011 :act 4; :val 5; :dom 2; ()
Ses02F_impro02_F012 :act 5; :val 4; :dom 1; ()
Ses02F_impro02_F013 :act 3; :val 4; :dom 3; ()
Ses02F_impro02_M000 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_M001 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_M002 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_M003 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_M004 :act 4; :val 4; :dom 1; ()
Ses02F_impro02_M005 :act 3; :val 3; :dom 3; ()
Ses02F_impro02_M006 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_M007 :act 4; :val 4; :dom 1; ()
Ses02F_impro02_M008 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_M009 :act 4; :val 4; :dom 2; ()
Ses02F_impro02_M010 :act 3; :val 3; :dom 3; ()
Ses02F_impro02_M011 :act 3; :val 4; :dom 2; ()
Ses02F_impro02_M012 :act 4; :val 3; :dom 1; ()
