Ses02M_impro04_F000 :act 4; :val 3; :dom 1; ()
Ses02M_impro04_F001 :act 4; :val 3; :dom 1; ()
Ses02M_impro04_F002 :act 5; :val 3; :dom 2; ()
Ses02M_impro04_F003 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F004 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F005 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F006 :act 4; :val 3; :dom 1; ()
Ses02M_impro04_F007 :act 4; :val 2; :dom 2; ()
Ses02M_impro04_F008 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F009 :act 5; :val 4; :dom 1; ()
Ses02M_impro04_F010 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F011 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F012 :act 5; :val 3; :dom 2; ()
Ses02M_impro04_F013 :act 3; :val 2; :dom 2; ()
Ses02M_impro04_F014 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F015 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F016 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_F017 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_M000 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M001 :act 4; :val 4; :dom 1; ()
Ses02M_impro04_M002 :act 3; :val 3; :dom 3; ()
Ses02M_impro04_M003 :act 4; :val 3; :dom 2; ()
Ses02M_impro04_M004 :act 3; :val 4; :dom 2; ()
Ses02M_impro04_M005 :act 3; :val 4; :dom 2; ()
Ses02M_impro04_M006 :act 4; :val 4; :dom 1; ()
Ses02M_impro04_M007 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M008 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M009 :act 3; :val 4; :dom 2; ()
Ses02M_impro04_M010 :act 3; :val 4; :dom 2; ()
Ses02M_impro04_M011 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M012 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M013 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M014 :act 4; :val 3; :dom 1; ()
Ses02M_impro04_M015 :act 4; :val 3; :dom 1; ()
Ses02M_impro04_M016 :act 3; :val 3; :dom 2; ()
Ses02M_impro04_M017 :act 3; :val 4; :dom 2; ()
Ses02M_impro04_M018 :act 4; :val 4; :dom 2; ()
Ses02M_impro04_M019 :act 3; :val 4; :dom 2; ()
Ses02M_impro04_M020 :act 4; :val 4; :dom 1; ()
Ses02M_impro04_M021 :act 4; :val 4; :dom 1; ()
Ses02M_impro04_M022 :act 5; :val 4; :dom 1; ()
